Etext Number,Type,Issued,Title,Language,LoCC,Bookshelves,Authors,rights,Subjects,Read online (web),EPUB3 (E-readers incl. Send-to-Kindle),EPUB (older E-readers),"EPUB (no images, older E-readers)",Kindle,Kindle (E-readers incl. Send-to-Kindle),"Kindle (no images, older E-readers)",Plain Text UTF-8,Download HTML(zip),Resource Description Framework (RDF),Other Links,published_year,Opium Keywords
16,Text,2008-06-25,Peter Pan,en,PR; PZ,Children's Literature; Movie Books; Browsing: Children & Young Adult Reading; Browsing: Literature; Browsing: Science-Fiction & Fantasy; Browsing: Fiction,"Barrie, J. M. (James Matthew)",Public domain in the USA.,Peter Pan (Fictitious character) -- Fiction ; Fairies -- Fiction ; Fantasy literature ; PZ ; Never-Never Land (Imaginary place) -- Fiction ; Pirates -- Fiction ; PR,https://www.gutenberg.org/ebooks/16.html.images,https://www.gutenberg.org/ebooks/16.epub3.images,https://www.gutenberg.org/ebooks/16.epub.images,https://www.gutenberg.org/ebooks/16.epub.noimages,https://www.gutenberg.org/ebooks/16.kf8.images,https://www.gutenberg.org/ebooks/16.kindle.images,https://www.gutenberg.org/ebooks/16.kindle.noimages,https://www.gutenberg.org/ebooks/16.txt.utf-8,https://www.gutenberg.org/files/16/16-h.zip,https://www.gutenberg.org/ebooks/16.rdf,https://www.gutenberg.org/cache/epub/16/pg16.cover.medium.jpg ; https://www.gutenberg.org/cache/epub/16/pg16.cover.small.jpg ; https://www.gutenberg.org/files/16/16-0.zip ; https://www.gutenberg.org/files/16/16-0.txt ; https://www.gutenberg.org/files/16/16-h/16-h.htm,1800,['heroin']
22,Text,1991-12-01,Roget's Thesaurus,en,PE,Reference; Browsing: Encyclopedias/Dictionaries/Reference; Browsing: Language & Communication; Browsing: Literature,"Roget, Peter Mark",Public domain in the USA.,English language -- Synonyms and antonyms ; PE,https://www.gutenberg.org/ebooks/22.html.images,https://www.gutenberg.org/ebooks/22.epub3.images,https://www.gutenberg.org/ebooks/22.epub.images,https://www.gutenberg.org/ebooks/22.epub.noimages,https://www.gutenberg.org/ebooks/22.kf8.images,https://www.gutenberg.org/ebooks/22.kindle.images,https://www.gutenberg.org/ebooks/22.kindle.noimages,https://www.gutenberg.org/ebooks/22.txt.utf-8,https://www.gutenberg.org/files/22/22-h.zip,https://www.gutenberg.org/ebooks/22.rdf,https://www.gutenberg.org/cache/epub/22/pg22.cover.small.jpg ; https://www.gutenberg.org/files/22/22-0.txt ; https://www.gutenberg.org/files/22/22-h/22-h.htm ; https://www.gutenberg.org/cache/epub/22/pg22.cover.medium.jpg ; https://www.gutenberg.org/files/22/22-0.zip,1805,"['opium', 'morphine', 'poppy', 'nepenthe', 'laudanum', 'paregoric', 'heroin', 'narcotic', 'soporific', 'anodyne']"
24,Text,2008-06-27,O Pioneers!,en,PS,Browsing: Culture/Civilization/Society; Browsing: History - American; Browsing: Literature; Browsing: Fiction,"Cather, Willa",Public domain in the USA.,Swedish Americans -- Fiction ; Frontier and pioneer life -- Nebraska -- Fiction ; Women immigrants -- Fiction ; Nebraska -- Fiction ; Women farmers -- Fiction ; Farm life -- Fiction ; PS ; Historical fiction ; Siblings -- Fiction ; Women pioneers -- Fiction ; Domestic fiction,https://www.gutenberg.org/ebooks/24.html.images,https://www.gutenberg.org/ebooks/24.epub3.images,https://www.gutenberg.org/ebooks/24.epub.images,https://www.gutenberg.org/ebooks/24.epub.noimages,https://www.gutenberg.org/ebooks/24.kf8.images,https://www.gutenberg.org/ebooks/24.kindle.images,https://www.gutenberg.org/ebooks/24.kindle.noimages,https://www.gutenberg.org/ebooks/24.txt.utf-8,https://www.gutenberg.org/files/24/24-h.zip,https://www.gutenberg.org/ebooks/24.rdf,https://www.gutenberg.org/files/24/24-0.zip ; https://www.gutenberg.org/files/24/24-h/24-h.htm ; https://www.gutenberg.org/cache/epub/24/pg24.cover.small.jpg ; https://www.gutenberg.org/files/24/24-0.txt ; https://www.gutenberg.org/cache/epub/24/pg24.cover.medium.jpg,1855,['poppy']
27,Text,1992-03-01,Far from the Madding Crowd,en,PR,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction,"Hardy, Thomas",Public domain in the USA.,Triangles (Interpersonal relations) -- Fiction ; Love stories ; Pastoral fiction ; Women farmers -- Fiction ; Farm life -- Fiction ; Wessex (England) -- Fiction ; Didactic fiction ; PR,https://www.gutenberg.org/ebooks/27.html.images,https://www.gutenberg.org/ebooks/27.epub3.images,https://www.gutenberg.org/ebooks/27.epub.images,https://www.gutenberg.org/ebooks/27.epub.noimages,https://www.gutenberg.org/ebooks/27.kf8.images,https://www.gutenberg.org/ebooks/27.kindle.images,https://www.gutenberg.org/ebooks/27.kindle.noimages,https://www.gutenberg.org/ebooks/27.txt.utf-8,https://www.gutenberg.org/cache/epub/27/pg27-h.zip,https://www.gutenberg.org/ebooks/27.rdf,https://www.gutenberg.org/files/27/27-0.txt ; https://www.gutenberg.org/files/27/27-0.zip ; https://www.gutenberg.org/cache/epub/27/pg27.cover.medium.jpg ; https://www.gutenberg.org/cache/epub/27/pg27.cover.small.jpg ; https://www.gutenberg.org/files/27/27-h/27-h.htm,1838,['heroin']
33,Text,1992-06-01,The Scarlet Letter,en,PS,Harvard Classics; Movie Books; Browsing: Culture/Civilization/Society; Browsing: History - American; Browsing: Literature; Browsing: Fiction,"Hawthorne, Nathaniel",Public domain in the USA.,"Revenge -- Fiction ; Women immigrants -- Fiction ; Illegitimate children -- Fiction ; Triangles (Interpersonal relations) -- Fiction ; Adultery -- Fiction ; Boston (Mass.) -- History -- Colonial period, ca. 1600-1775 -- Fiction ; Married women -- Fiction ; Psychological fiction ; Clergy -- Fiction ; PS ; Puritans -- Fiction ; Historical fiction",https://www.gutenberg.org/ebooks/33.html.images,https://www.gutenberg.org/ebooks/33.epub3.images,https://www.gutenberg.org/ebooks/33.epub.images,https://www.gutenberg.org/ebooks/33.epub.noimages,https://www.gutenberg.org/ebooks/33.kf8.images,https://www.gutenberg.org/ebooks/33.kindle.images,https://www.gutenberg.org/ebooks/33.kindle.noimages,https://www.gutenberg.org/ebooks/33.txt.utf-8,https://www.gutenberg.org/cache/epub/33/pg33-h.zip,https://www.gutenberg.org/ebooks/33.rdf,https://www.gutenberg.org/files/33/33-0.zip ; https://www.gutenberg.org/cache/epub/33/pg33.cover.medium.jpg ; https://www.gutenberg.org/files/33/33-h/33-h.htm ; https://www.gutenberg.org/cache/epub/33/pg33.cover.small.jpg ; https://www.gutenberg.org/files/33/33-0.txt,1822,['nepenthe']
36,Text,2004-10-01,The War of the Worlds,en,PR,Science Fiction; Movie Books; Browsing: History - Warfare; Browsing: Science-Fiction & Fantasy; Browsing: Fiction,"Wells, H. G. (Herbert George)",Public domain in the USA.,Imaginary wars and battles -- Fiction ; Mars (Planet) -- Fiction ; Space warfare -- Fiction ; Science fiction ; Martians -- Fiction ; Life on other planets -- Fiction ; War stories ; PR,https://www.gutenberg.org/ebooks/36.html.images,https://www.gutenberg.org/ebooks/36.epub3.images,https://www.gutenberg.org/ebooks/36.epub.images,https://www.gutenberg.org/ebooks/36.epub.noimages,https://www.gutenberg.org/ebooks/36.kf8.images,https://www.gutenberg.org/ebooks/36.kindle.images,https://www.gutenberg.org/ebooks/36.kindle.noimages,https://www.gutenberg.org/ebooks/36.txt.utf-8,https://www.gutenberg.org/cache/epub/36/pg36-h.zip,https://www.gutenberg.org/ebooks/36.rdf,https://www.gutenberg.org/cache/epub/36/pg36.cover.medium.jpg ; https://www.gutenberg.org/files/36/36-0.zip ; https://www.gutenberg.org/files/36/36-0.txt ; https://www.gutenberg.org/cache/epub/36/pg36.cover.small.jpg ; https://www.gutenberg.org/files/36/36-h/36-h.htm,1892,['black smoke']
44,Text,2008-06-27,The Song of the Lark,en,PS,Opera; Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction,"Cather, Willa",Public domain in the USA.,Opera -- Fiction ; Chicago (Ill.) -- Fiction ; Colorado -- Fiction ; Swedish Americans -- Fiction ; Young women -- Fiction ; Women singers -- Fiction ; PS ; Bildungsromans ; Children of clergy -- Fiction ; Musical fiction,https://www.gutenberg.org/ebooks/44.html.images,https://www.gutenberg.org/ebooks/44.epub3.images,https://www.gutenberg.org/ebooks/44.epub.images,https://www.gutenberg.org/ebooks/44.epub.noimages,https://www.gutenberg.org/ebooks/44.kf8.images,https://www.gutenberg.org/ebooks/44.kindle.images,https://www.gutenberg.org/ebooks/44.kindle.noimages,https://www.gutenberg.org/ebooks/44.txt.utf-8,https://www.gutenberg.org/files/44/44-h.zip,https://www.gutenberg.org/ebooks/44.rdf,https://www.gutenberg.org/cache/epub/44/pg44.cover.medium.jpg ; https://www.gutenberg.org/files/44/44-0.txt ; https://www.gutenberg.org/files/44/44-0.zip ; https://www.gutenberg.org/cache/epub/44/pg44.cover.small.jpg ; https://www.gutenberg.org/files/44/44-h/44-h.htm,1900,"['heroin', 'opium']"
45,Text,2008-06-27,Anne of Green Gables,en,PZ,Canada; Children's Literature; Browsing: Children & Young Adult Reading; Browsing: Culture/Civilization/Society; Browsing: History - General; Browsing: Fiction,"Montgomery, L. M. (Lucy Maud)",Public domain in the USA.,"Canada -- History -- 1867-1914 -- Fiction ; Country life -- Prince Edward Island -- Fiction ; Girls -- Fiction ; Prince Edward Island -- History -- 20th century -- Fiction ; PZ ; Orphans -- Fiction ; Islands -- Fiction ; Shirley, Anne (Fictitious character) -- Fiction ; Bildungsromans ; Friendship -- Fiction",https://www.gutenberg.org/ebooks/45.html.images,https://www.gutenberg.org/ebooks/45.epub3.images,https://www.gutenberg.org/ebooks/45.epub.images,https://www.gutenberg.org/ebooks/45.epub.noimages,https://www.gutenberg.org/ebooks/45.kf8.images,https://www.gutenberg.org/ebooks/45.kindle.images,https://www.gutenberg.org/ebooks/45.kindle.noimages,https://www.gutenberg.org/ebooks/45.txt.utf-8,https://www.gutenberg.org/files/45/45-h.zip,https://www.gutenberg.org/ebooks/45.rdf,https://www.gutenberg.org/files/45/45-h/45-h.htm ; https://www.gutenberg.org/files/45/45-0.zip ; https://www.gutenberg.org/files/45/45-0.txt ; https://www.gutenberg.org/cache/epub/45/pg45.cover.small.jpg ; https://www.gutenberg.org/cache/epub/45/pg45.cover.medium.jpg,1908,"['heroin', 'anodyne']"
47,Text,2006-03-08,Anne of Avonlea,en,PZ,Canada; Children's Literature; Browsing: Children & Young Adult Reading; Browsing: Literature; Browsing: Fiction,"Montgomery, L. M. (Lucy Maud)",Public domain in the USA.,"Teachers -- Fiction ; PZ ; Orphans -- Fiction ; Islands -- Fiction ; Shirley, Anne (Fictitious character) -- Fiction ; Prince Edward Island -- History -- 20th century -- Fiction ; Canada -- History -- 1914-1945 -- Fiction",https://www.gutenberg.org/ebooks/47.html.images,https://www.gutenberg.org/ebooks/47.epub3.images,https://www.gutenberg.org/ebooks/47.epub.images,https://www.gutenberg.org/ebooks/47.epub.noimages,https://www.gutenberg.org/ebooks/47.kf8.images,https://www.gutenberg.org/ebooks/47.kindle.images,https://www.gutenberg.org/ebooks/47.kindle.noimages,https://www.gutenberg.org/ebooks/47.txt.utf-8,https://www.gutenberg.org/cache/epub/47/pg47-h.zip,https://www.gutenberg.org/ebooks/47.rdf,https://www.gutenberg.org/cache/epub/47/pg47.cover.medium.jpg ; https://www.gutenberg.org/files/47/47-0.txt ; https://www.gutenberg.org/files/47/47-h/47-h.htm ; https://www.gutenberg.org/cache/epub/47/pg47.cover.small.jpg,1911,['heroin']
51,Text,2006-03-08,Anne of the Island,en,PZ,Canada; Children's Literature; Browsing: Children & Young Adult Reading; Browsing: Literature; Browsing: Fiction,"Montgomery, L. M. (Lucy Maud)",Public domain in the USA.,"Nova Scotia -- History -- 20th century -- Fiction ; PZ ; Orphans -- Fiction ; Shirley, Anne (Fictitious character) -- Fiction ; Self-perception -- Fiction ; Universities and colleges -- Fiction ; Interpersonal relations -- Fiction ; Prince Edward Island -- History -- 20th century -- Fiction ; Canada -- History -- 1914-1945 -- Fiction",https://www.gutenberg.org/ebooks/51.html.images,https://www.gutenberg.org/ebooks/51.epub3.images,https://www.gutenberg.org/ebooks/51.epub.images,https://www.gutenberg.org/ebooks/51.epub.noimages,https://www.gutenberg.org/ebooks/51.kf8.images,https://www.gutenberg.org/ebooks/51.kindle.images,https://www.gutenberg.org/ebooks/51.kindle.noimages,https://www.gutenberg.org/ebooks/51.txt.utf-8,https://www.gutenberg.org/cache/epub/51/pg51-h.zip,https://www.gutenberg.org/ebooks/51.rdf,https://www.gutenberg.org/files/51/51-0.txt ; https://www.gutenberg.org/files/51/51-h/51-h.htm ; https://www.gutenberg.org/cache/epub/51/pg51.cover.medium.jpg ; https://www.gutenberg.org/cache/epub/51/pg51.cover.small.jpg,1914,['heroin']
