Etext Number,Type,Issued,Title,Language,LoCC,Authors,published_year,Opium Keywords,Genres,Themes
16,Text,2008-06-25,Peter Pan,en,PR; PZ,"Barrie, J. M. (James Matthew)",1800,['heroin'],"[""Children's Literature"", 'Movie Books', 'Science-Fiction & Fantasy', 'Children & Young Adult Reading', 'Fiction', 'Literature']","['Pirates', 'Fairies', 'Fantasy literature', 'Never-Never Land (Imaginary place)', 'Peter Pan (Fictitious character)']"
24,Text,2008-06-27,O Pioneers!,en,PS,"Cather, Willa",1855,['poppy'],"['Culture/Civilization/Society', 'Fiction', 'History', 'Literature']","['Women immigrants', 'Women farmers', 'Nebraska', 'Farm life', 'Swedish Americans', 'Domestic fiction', 'Women pioneers', 'Siblings', 'Frontier and pioneer life']"
27,Text,1992-03-01,Far from the Madding Crowd,en,PR,"Hardy, Thomas",1838,['heroin'],"['Culture/Civilization/Society', 'Fiction', 'Literature']","['Didactic fiction', 'Women farmers', 'Farm life', 'Love stories', 'Triangles (Interpersonal relations)', 'Pastoral fiction', 'Wessex (England)']"
33,Text,1992-06-01,The Scarlet Letter,en,PS,"Hawthorne, Nathaniel",1822,['nepenthe'],"['History', 'Harvard Classics', 'Movie Books', 'Culture/Civilization/Society', 'Fiction', 'Literature']","['Illegitimate children', 'Women immigrants', 'Psychological fiction', 'Adultery', 'Triangles (Interpersonal relations)', 'Puritans', 'Married women', 'Revenge', 'Colonial period, ca. 1600-1775', 'Clergy', 'Boston (Mass.)']"
36,Text,2004-10-01,The War of the Worlds,en,PR,"Wells, H. G. (Herbert George)",1892,['black smoke'],"['History', 'Movie Books', 'Science-Fiction & Fantasy', 'Science Fiction', 'Fiction']","['Martians', 'Imaginary wars and battles', 'Mars (Planet)', 'Life on other planets', 'War stories', 'Space warfare']"
44,Text,2008-06-27,The Song of the Lark,en,PS,"Cather, Willa",1900,"['heroin', 'opium']","['Culture/Civilization/Society', 'Fiction', 'Opera', 'Literature']","['Children of clergy', 'Young women', 'Swedish Americans', 'Colorado', 'Musical fiction', 'Bildungsromans', 'Women singers', 'Chicago (Ill.)']"
60,Text,2006-03-08,The Scarlet Pimpernel,en,PR,"Orczy, Emmuska Orczy, Baroness",1875,['heroin'],"['Best Books Ever Listings', 'History', 'Adventure', 'Movie Books', 'Fiction', 'Literature']","['Blakeney, Percy, Sir (Fictitious character)', 'Nobility', 'Adventure stories', 'Revolution, 1789-1799', 'British']"
77,Text,1993-08-01,The House of the Seven Gables,en,PS,"Hawthorne, Nathaniel",1850,['heroin'],"['Best Books Ever Listings', 'History', 'Culture/Civilization/Society', 'Fiction', 'Literature']","['Paranormal fiction', 'Domestic fiction', 'Haunted houses', 'Salem (Mass.)']"
78,Text,1993-08-01,Tarzan of the Apes,en,PS,"Burroughs, Edgar Rice",1890,['black smoke'],"['Adventure', 'Movie Books', 'Science-Fiction & Fantasy', 'Culture/Civilization/Society', 'Fiction']","['Wild men', 'Adventure stories', 'British', 'Tarzan (Fictitious character)', 'Fantasy fiction']"
82,Text,2008-06-25,Ivanhoe: A Romance,en,PR,"Scott, Walter",1876,"['heroin', 'narcotic', 'opium']","['Best Books Ever Listings', 'History', 'Historical Fiction', 'Culture/Civilization/Society', 'Fiction', 'Literature']","['Great Britain', 'Richard I, 1189-1199', 'Love stories', 'Jews', 'Knights and knighthood', 'Triangles (Interpersonal relations)', 'England', 'Normans', 'Ivanhoe, Wilfred of, Sir (Fictitious character)', 'Anglo-Saxons']"
91,Text,2004-09-14,Tom Sawyer Abroad,en,PS,"Twain, Mark",1853,['black smoke'],"['Travel & Geography', 'Fiction', 'Literature']","['Balloon ascensions', 'Foreign countries', 'Americans', 'Adventure stories', 'Sawyer, Tom (Fictitious character)']"
98,Text,1994-01-01,A Tale of Two Cities,en,PR,"Dickens, Charles",1815,"['narcotic', 'laudanum']","['Fiction', 'Historical Fiction', 'History', 'Literature']","['Paris', '1789-1799', 'London (England)', 'Executions and executioners', 'Revolution, 1789-1799', 'Paris (France)', '18th century', 'War stories', 'French', 'British', 'England', 'Lookalikes', 'London']"
102,Text,2004-09-14,The Tragedy of Pudd'nhead Wilson,en,PS,"Twain, Mark",1882,['heroin'],"['Culture/Civilization/Society', 'Fiction', 'Literature']","['Race relations', 'Trials (Murder)', 'Infants switched at birth', 'Impostors and imposture', 'Missouri', 'Legal stories', 'Passing (Identity)']"
