,author,count
0,"Balzac, Honoré de",38
1,"Trollope, Anthony",37
2,"James, Henry",36
3,"Hardy, Thomas",28
4,"Howells, William Dean",28
5,"Wells, Carolyn",28
6,"Dickens, Charles",27
7,"Oppenheim, E. Phillips (Edward Phillips)",26
8,"Burroughs, Edgar Rice",25
9,"Meade, L. T.",25
10,"Doyle, Arthur Conan",23
11,"Kipling, Rudyard",23
12,"Baum, L. Frank (Lyman Frank)",22
13,"Lang, Andrew",22
14,"Harte, Bret",22
15,"Oliphant, Mrs. (Margaret)",22
16,"Davis, Richard Harding",21
17,"MacDonald, George",21
18,"Chesterton, G. K. (Gilbert Keith)",21
19,"Crawford, F. Marion (Francis Marion)",21
20,"Chambers, Robert W. (Robert William)",21
21,"Barbour, Ralph Henry",21
22,"Ballantyne, R. M. (Robert Michael)",21
23,"Wells, H. G. (Herbert George)",20
24,"Scott, Walter",20
25,"Bindloss, Harold",20
26,"Benson, E. F. (Edward Frederic)",20
27,"Wodehouse, P. G. (Pelham Grenville)",19
28,"Le Queux, William",19
29,"Richards, Laura Elizabeth Howe",19
30,"Brazil, Angela",19
31,"Fenn, George Manville",19
32,"Montgomery, L. M. (Lucy Maud)",18
33,"London, Jack",18
34,"Haggard, H. Rider (Henry Rider)",18
35,"Yonge, Charlotte M. (Charlotte Mary)",18
36,"Hume, Fergus",18
37,"Vandercook, Margaret",18
38,"Galsworthy, John",17
39,"Warner, Charles Dudley",17
40,"McCutcheon, George Barr",17
41,"Eliot, George",16
42,"Lawrence, D. H. (David Herbert)",16
43,"Conrad, Joseph",16
44,"Henty, G. A. (George Alfred)",16
45,"Ward, Humphry, Mrs.",16
46,"Williamson, C. N. (Charles Norris) ; Williamson, A. M. (Alice Muriel)",16
47,"Douglas, Amanda M.",16
48,"Kingston, William Henry Giles",16
49,"Kingsley, Charles",15
50,"Braddon, M. E. (Mary Elizabeth)",15
51,"Marryat, Frederick",15
52,"Bower, B. M.",14
53,"Shaw, Bernard",14
54,"Zola, Émile",14
55,"Molesworth, Mrs.",14
56,"Twain, Mark",13
57,"Verne, Jules",13
58,"Collins, Wilkie",13
59,"Wilde, Oscar",13
60,"Wharton, Edith",13
61,"White, Stewart Edward",13
62,"Atherton, Gertrude Franklin Horn",13
63,"Alcott, Louisa May",13
64,"Thackeray, William Makepeace",13
65,"Holmes, Mary Jane",13
66,"Bennett, Arnold",13
67,"Johnston, Annie F. (Annie Fellows)",13
68,"Hope, Anthony",13
69,"Nicholson, Meredith",13
70,"Vaizey, George de Horne, Mrs.",13
71,"Reid, Mayne",13
72,"Raymond, Evelyn",13
73,"Wiggin, Kate Douglas Smith",12
74,"Hornung, E. W. (Ernest William)",12
75,"Nesbit, E. (Edith)",12
76,"Tolstoy, Leo, graf",12
77,"MacGrath, Harold",12
78,"Roe, Edward Payson",12
79,"Moore, George",12
80,"Southworth, Emma Dorothy Eliza Nevitte",12
81,"Steel, Flora Annie Webster",12
82,"Burnett, Frances Hodgson",11
83,"Rinehart, Mary Roberts",11
84,"Stephens, Ann S. (Ann Sophia)",11
85,"Wade, Mary Hazelton Blanchard",11
86,"Croker, B. M. (Bithia Mary)",11
87,"Sinclair, Upton",10
88,"Gissing, George",10
89,"Lincoln, Joseph Crosby",10
90,"Baring-Gould, S. (Sabine)",10
91,"Yeats, W. B. (William Butler)",10
92,"King, Basil",10
93,"Stacpoole, H. De Vere (Henry De Vere)",10
94,Various,10
95,"Bowen, Robert Sidney",10
96,"Orczy, Emmuska Orczy, Baroness",9
97,"Webster, Jean",9
98,"Defoe, Daniel",9
99,"Holmes, Oliver Wendell",9
100,"Gautier, Théophile",9
101,"Henry, O.",9
102,"Cooper, James Fenimore",9
103,"Hichens, Robert",9
104,Ouida,9
105,"Locke, William John",9
106,"Maeterlinck, Maurice",9
107,"Zangwill, Israel",9
108,"Sedgwick, Anne Douglas",9
109,"Cable, George Washington",9
110,"Lowndes, Marie Belloc",9
111,"Garland, Hamlin",9
112,"Miller, Alex. McVeigh, Mrs.",9
113,"Hawthorne, Nathaniel",8
114,"Austen, Jane",8
115,"Stoker, Bram",8
116,"Stevenson, Robert Louis",8
117,"Gaskell, Elizabeth Cleghorn",8
118,"Jerome, Jerome K. (Jerome Klapka)",8
119,"Tarkington, Booth",8
120,"Rohmer, Sax",8
121,"Packard, Frank L. (Frank Lucius)",8
122,"Masters, Edgar Lee",8
123,"Phillpotts, Eden",8
124,"Reade, Charles",8
125,"Wallace, Edgar",8
126,"Bangs, John Kendrick",8
127,"Dreiser, Theodore",8
128,"Burroughs, John",8
129,"Fisher, Dorothy Canfield",8
130,"Penrose, Margaret",8
131,"Allen, Grant",8
132,"Jefferies, Richard",8
133,"Glasgow, Ellen Anderson Gholson",8
134,"Quiller-Couch, Arthur",8
135,"Repplier, Agnes",8
136,"Stringer, Arthur",8
137,"Speed, Nell",8
138,"Collingwood, Harry",8
139,"Barrie, J. M. (James Matthew)",7
140,"Cather, Willa",7
141,"Morley, Christopher",7
142,"Maugham, W. Somerset (William Somerset)",7
143,"Dumas, Alexandre",7
144,"Raine, William MacLeod",7
145,"Daudet, Alphonse",7
146,"Reeve, Arthur B. (Arthur Benjamin)",7
147,"France, Anatole",7
148,"De Quincey, Thomas",7
149,Homer,7
150,"Gibbs, Philip",7
151,"Benson, Arthur Christopher",7
152,Anonymous,7
153,"Tracy, Louis",7
154,"Herrick, Robert",7
155,"Hill, Grace Livingston",7
156,"Snell, Roy J. (Roy Judson)",7
157,"Ellis, Edward Sylvester",7
158,"Lynde, Francis",7
159,"Dell, Ethel M. (Ethel May)",7
160,"Mason, A. E. W. (Alfred Edward Woodley)",7
161,"Huneker, James",7
162,"Fitzhugh, Percy Keese",7
163,"Bailey, Temple",7
164,"Lucas, E. V. (Edward Verrall)",7
165,"Bourget, Paul",7
166,"Belloc, Hilaire",7
167,"Jókai, Mór",7
168,"D'Annunzio, Gabriele",7
169,"MacKenzie, Compton",7
170,"Rives, Hallie Erminie",7
171,"Wirt, Mildred A. (Mildred Augustine)",7
172,"Besant, Walter",7
173,"Barr, Amelia E.",6
174,"Alger, Horatio, Jr.",6
175,"Ferber, Edna",6
176,"Austin, Mary",6
177,"Stockton, Frank R.",6
178,"Phillips, David Graham",6
179,"Tennyson, Alfred Tennyson, Baron",6
180,"Poe, Edgar Allan",6
181,"Duncan, Sara Jeannette",6
182,"Gaboriau, Emile",6
183,"Green, Anna Katharine",6
184,"Cobb, Irvin S. (Irvin Shrewsbury)",6
185,"Sand, George",6
186,"Terhune, Albert Payson",6
187,"Leacock, Stephen",6
188,"Carey, Rosa Nouchette",6
189,"Swinburne, Algernon Charles",6
190,"Evans, Augusta J. (Augusta Jane)",6
191,"Beach, Rex",6
192,"Harland, Henry",6
193,"Coleridge, Samuel Taylor",6
194,"Cawein, Madison Julius",6
195,"Disraeli, Benjamin, Earl of Beaconsfield",6
196,"White, Fred M. (Fred Merrick)",6
197,"Le Fanu, Joseph Sheridan",6
198,"May, Sophie",6
199,"Ade, George",6
200,"Huysmans, J.-K. (Joris-Karl)",6
201,"Johnston, Mary",6
202,"King, Charles",6
203,"Russell, William Clark",6
204,"Smith, George O. (George Oliver)",6
205,"Rolland, Romain",6
206,"Strang, Herbert",6
207,"Thorne, Guy",6
208,"McManus, Blanche",6
209,"Snaith, J. C. (John Collis)",6
210,"Grier, Sydney C.",6
211,"Stowe, Harriet Beecher",5
212,Virgil,5
213,"Norris, Frank",5
214,"Lewis, Sinclair",5
215,"Maquet, Auguste ; Dumas, Alexandre",5
216,"Brontë, Charlotte",5
217,"Carlyle, Thomas",5
218,"Darwin, Charles",5
219,"Flaubert, Gustave",5
220,"Shakespeare, William",5
221,"Van Dyke, Henry",5
222,"Huxley, Aldous",5
223,"Giles, Herbert Allen",5
224,"Bird, Isabella L. (Isabella Lucy)",5
225,"Forster, E. M. (Edward Morgan)",5
226,"Stoddard, Charles Warren",5
227,"Smith, Francis Hopkinson",5
228,"Holley, Marietta",5
229,"Walpole, Hugh",5
230,"Maupassant, Guy de",5
231,"Jonson, Ben",5
232,"Merriman, Henry Seton",5
233,"Corelli, Marie",5
234,"Arnold, Matthew",5
235,"Saltus, Edgar",5
236,"Morris, Gouverneur",5
237,"Crabbe, George",5
238,"Ewing, Juliana Horatia",5
239,"Riis, Jacob A. (Jacob August)",5
240,"Dos Passos, John",5
241,"Deland, Margaret Wade Campbell",5
242,"Serviss, Garrett Putman",5
243,"Rice, Alice Caldwell Hegan",5
244,"Woolson, Constance Fenimore",5
245,"Tagore, Rabindranath",5
246,"Roberts, Charles G. D., Sir",5
247,"Gosse, Edmund",5
248,"Bates, Arlo",5
249,"Earle, Alice Morse",5
250,"Leverson, Ada",5
251,"Eggleston, Edward",5
252,"Isham, Frederic Stewart",5
253,"Birmingham, George A.",5
254,"Gibbs, George",5
255,"Bell, Lilian",5
256,"Sinclair, May",5
257,"Graham, Stephen",5
258,"Reed, Myrtle",5
259,"Machen, Arthur",5
260,"Onions, Oliver",5
261,"Grant, Robert",5
262,"Warner, Anne",5
263,"Norton, Andre",5
