,Etext Number,Keyword,Snippet,Title,Authors,LoCC,Bookshelves,Subjects,rights,Published Year,Normalised Authors,Author Gender,Author Nationality,Author Birth,Author Death,Author Info Source,Author Info Found,Number of books by author
16,145,opium,"it may confidently await those messages from the universe which summon it to its peculiar work, only placing itself in an attitude of receptivity towards all sublime chances. The attitudes of receptivity are various, and Will had sincerely tried many of them. He was not excessively fond of wine, but he had several times taken too much, simply as an experiment in that form of ecstasy; he had fasted till he was faint, and then supped on lobster; he had made himself ill with doses of opium. Nothing greatly original had resulted from these measures; and the effects of the opium had convinced him that there was an entire dissimilarity between his constitution and De Quincey’s. The superadded circumstance which would evolve the genius had not yet come; the universe had not yet beckoned. Even Caesar’s fortune at one time was but a grand presentiment. We know what a masquerade all development is, and what effective shapes may be disguised in helpless embryos. In fact, the world is full of hopeful analogies and handsome dubious eggs called possibilities. Will saw clearly enough the pitiable instances of long incubation producing no chick, and but for gratitude would have laughed at Casaubon, whose",Middlemarch,"Eliot, George",PR,Historical Fiction; Best Books Ever Listings; Browsing: Culture/Civilization/Society; Browsing: History - British; Browsing: Literature; Browsing: Fiction,City and town life -- Fiction ; Love stories ; Young women -- Fiction ; Married people -- Fiction ; England -- Fiction ; Didactic fiction ; Bildungsromans ; PR ; Domestic fiction,Public domain in the USA.,1871,George Eliot,female,English,1819.0,1880.0,Wikipedia,True,9
17,145,opium,"guinea when everybody knows that the seats have been sold wholesale. Wait for wisdom and conscience in public agents—fiddlestick! The only conscience we can trust to is the massive sense of wrong in a class, and the best wisdom that will work is the wisdom of balancing claims. That’s my text—which side is injured? I support the man who supports their claims; not the virtuous upholder of the wrong.” “That general talk about a particular case is mere question begging, Ladislaw. When I say, I go in for the dose that cures, it doesn’t follow that I go in for opium in a given case of gout.” “I am not begging the question we are upon—whether we are to try for nothing till we find immaculate men to work with. Should you go on that plan? If there were one man who would carry you a medical reform and another who would oppose it, should you inquire which had the better motives or even the better brains?” “Oh, of course,” said Lydgate, seeing himself checkmated by a move which he had often used himself, “if one did not work with such men as are at hand, things must come to a",Middlemarch,"Eliot, George",PR,Historical Fiction; Best Books Ever Listings; Browsing: Culture/Civilization/Society; Browsing: History - British; Browsing: Literature; Browsing: Fiction,City and town life -- Fiction ; Love stories ; Young women -- Fiction ; Married people -- Fiction ; England -- Fiction ; Didactic fiction ; Bildungsromans ; PR ; Domestic fiction,Public domain in the USA.,1871,George Eliot,female,English,1819.0,1880.0,Wikipedia,True,9
18,145,opium,"of miracle-workers. Some of that twice-blessed mercy was always with Lydgate in his work at the Hospital or in private houses, serving better than any opiate to quiet and sustain him under his anxieties and his sense of mental degeneracy. Mr. Farebrother’s suspicion as to the opiate was true, however. Under the first galling pressure of foreseen difficulties, and the first perception that his marriage, if it were not to be a yoked loneliness, must be a state of effort to go on loving without too much care about being loved, he had once or twice tried a dose of opium . But he had no hereditary constitutional craving after such transient escapes from the hauntings of misery. He was strong, could drink a great deal of wine, but did not care about it; and when the men round him were drinking spirits, he took sugar and water, having a contemptuous pity even for the earliest stages of excitement from drink. It was the same with gambling. He had looked on at a great deal of gambling in Paris, watching it as if it had been a disease. He was no more tempted by such winning than he was by drink.",Middlemarch,"Eliot, George",PR,Historical Fiction; Best Books Ever Listings; Browsing: Culture/Civilization/Society; Browsing: History - British; Browsing: Literature; Browsing: Fiction,City and town life -- Fiction ; Love stories ; Young women -- Fiction ; Married people -- Fiction ; England -- Fiction ; Didactic fiction ; Bildungsromans ; PR ; Domestic fiction,Public domain in the USA.,1871,George Eliot,female,English,1819.0,1880.0,Wikipedia,True,9
19,145,opium,"of gambling in Paris, watching it as if it had been a disease. He was no more tempted by such winning than he was by drink. He had said to himself that the only winning he cared for must be attained by a conscious process of high, difficult combination tending towards a beneficent result. The power he longed for could not be represented by agitated fingers clutching a heap of coin, or by the half-barbarous, half-idiotic triumph in the eyes of a man who sweeps within his arms the ventures of twenty chapfallen companions. But just as he had tried opium , so his thought now began to turn upon gambling—not with appetite for its excitement, but with a sort of wistful inward gaze after that easy way of getting money, which implied no asking and brought no responsibility. If he had been in London or Paris at that time, it is probable that such thoughts, seconded by opportunity, would have taken him into a gambling-house, no longer to watch the gamblers, but to watch with them in kindred eagerness. Repugnance would have been surmounted by the immense need to win, if chance would be kind enough to let him. An",Middlemarch,"Eliot, George",PR,Historical Fiction; Best Books Ever Listings; Browsing: Culture/Civilization/Society; Browsing: History - British; Browsing: Literature; Browsing: Fiction,City and town life -- Fiction ; Love stories ; Young women -- Fiction ; Married people -- Fiction ; England -- Fiction ; Didactic fiction ; Bildungsromans ; PR ; Domestic fiction,Public domain in the USA.,1871,George Eliot,female,English,1819.0,1880.0,Wikipedia,True,9
20,145,opium,"disease. Still, new symptoms may arise. I shall come again to-morrow morning.” After waiting for the note to be carried to Mrs. Bulstrode, Lydgate rode away, forming no conjectures, in the first instance, about the history of Raffles, but rehearsing the whole argument, which had lately been much stirred by the publication of Dr. Ware’s abundant experience in America, as to the right way of treating cases of alcoholic poisoning such as this. Lydgate, when abroad, had already been interested in this question: he was strongly convinced against the prevalent practice of allowing alcohol and persistently administering large doses of opium ; and he had repeatedly acted on this conviction with a favorable result. “The man is in a diseased state,” he thought, “but there’s a good deal of wear in him still. I suppose he is an object of charity to Bulstrode. It is curious what patches of hardness and tenderness lie side by side in men’s dispositions. Bulstrode seems the most unsympathetic fellow I ever saw about some people, and yet he has taken no end of trouble, and spent a great deal of money, on benevolent objects. I suppose he has some test by which he finds out",Middlemarch,"Eliot, George",PR,Historical Fiction; Best Books Ever Listings; Browsing: Culture/Civilization/Society; Browsing: History - British; Browsing: Literature; Browsing: Fiction,City and town life -- Fiction ; Love stories ; Young women -- Fiction ; Married people -- Fiction ; England -- Fiction ; Didactic fiction ; Bildungsromans ; PR ; Domestic fiction,Public domain in the USA.,1871,George Eliot,female,English,1819.0,1880.0,Wikipedia,True,9
21,145,opium,"here yourself?” said Lydgate, looking at Bulstrode with an abrupt question, which made him uneasy, though in reality it was not due to any suspicious conjecture. “Yes, I think so,” said Bulstrode, governing himself and speaking with deliberation. “Mrs. Bulstrode is advised of the reasons which detain me. Mrs. Abel and her husband are not experienced enough to be left quite alone, and this kind of responsibility is scarcely included in their service of me. You have some fresh instructions, I presume.” The chief new instruction that Lydgate had to give was on the administration of extremely moderate doses of opium , in case of the sleeplessness continuing after several hours. He had taken the precaution of bringing opium in his pocket, and he gave minute directions to Bulstrode as to the doses, and the point at which they should cease. He insisted on the risk of not ceasing; and repeated his order that no alcohol should be given. “From what I see of the case,” he ended, “narcotism is the only thing I should be much afraid of. He may wear through even without much food. There’s a good deal of strength in him.” “You look ill yourself, Mr. Lydgate—a",Middlemarch,"Eliot, George",PR,Historical Fiction; Best Books Ever Listings; Browsing: Culture/Civilization/Society; Browsing: History - British; Browsing: Literature; Browsing: Fiction,City and town life -- Fiction ; Love stories ; Young women -- Fiction ; Married people -- Fiction ; England -- Fiction ; Didactic fiction ; Bildungsromans ; PR ; Domestic fiction,Public domain in the USA.,1871,George Eliot,female,English,1819.0,1880.0,Wikipedia,True,9
22,145,opium,"at the persistent life in this man, whom he would fain have seen sinking into the silence of death: imperious will stirred murderous impulses towards this brute life, over which will, by itself, had no power. He said inwardly that he was getting too much worn; he would not sit up with the patient to-night, but leave him to Mrs. Abel, who, if necessary, could call her husband. At six o’clock, Raffles, having had only fitful perturbed snatches of sleep, from which he waked with fresh restlessness and perpetual cries that he was sinking away, Bulstrode began to administer the opium according to Lydgate’s directions. At the end of half an hour or more he called Mrs. Abel and told her that he found himself unfit for further watching. He must now consign the patient to her care; and he proceeded to repeat to her Lydgate’s directions as to the quantity of each dose. Mrs. Abel had not before known anything of Lydgate’s prescriptions; she had simply prepared and brought whatever Bulstrode ordered, and had done what he pointed out to her. She began now to ask what else she should do besides administering the opium. “Nothing at present, except the",Middlemarch,"Eliot, George",PR,Historical Fiction; Best Books Ever Listings; Browsing: Culture/Civilization/Society; Browsing: History - British; Browsing: Literature; Browsing: Fiction,City and town life -- Fiction ; Love stories ; Young women -- Fiction ; Married people -- Fiction ; England -- Fiction ; Didactic fiction ; Bildungsromans ; PR ; Domestic fiction,Public domain in the USA.,1871,George Eliot,female,English,1819.0,1880.0,Wikipedia,True,9
23,145,opium,"Bulstrode began to administer the opium according to Lydgate’s directions. At the end of half an hour or more he called Mrs. Abel and told her that he found himself unfit for further watching. He must now consign the patient to her care; and he proceeded to repeat to her Lydgate’s directions as to the quantity of each dose. Mrs. Abel had not before known anything of Lydgate’s prescriptions; she had simply prepared and brought whatever Bulstrode ordered, and had done what he pointed out to her. She began now to ask what else she should do besides administering the opium . “Nothing at present, except the offer of the soup or the soda-water: you can come to me for further directions. Unless there is any important change, I shall not come into the room again to-night. You will ask your husband for help if necessary. I must go to bed early.” “You’ve much need, sir, I’m sure,” said Mrs. Abel, “and to take something more strengthening than what you’ve done.” Bulstrode went away now without anxiety as to what Raffles might say in his raving, which had taken on a muttering incoherence not likely to create any dangerous belief. At",Middlemarch,"Eliot, George",PR,Historical Fiction; Best Books Ever Listings; Browsing: Culture/Civilization/Society; Browsing: History - British; Browsing: Literature; Browsing: Fiction,City and town life -- Fiction ; Love stories ; Young women -- Fiction ; Married people -- Fiction ; England -- Fiction ; Didactic fiction ; Bildungsromans ; PR ; Domestic fiction,Public domain in the USA.,1871,George Eliot,female,English,1819.0,1880.0,Wikipedia,True,9
24,145,opium,"him from seeing the one probability to be, that Raffles recovered would be just the same man as before, with his strength as a tormentor renewed, obliging him to drag away his wife to spend her years apart from her friends and native place, carrying an alienating suspicion against him in her heart. He had sat an hour and a half in this conflict by the firelight only, when a sudden thought made him rise and light the bed-candle, which he had brought down with him. The thought was, that he had not told Mrs. Abel when the doses of opium must cease. He took hold of the candlestick, but stood motionless for a long while. She might already have given him more than Lydgate had prescribed. But it was excusable in him, that he should forget part of an order, in his present wearied condition. He walked up-stairs, candle in hand, not knowing whether he should straightway enter his own room and go to bed, or turn to the patient’s room and rectify his omission. He paused in the passage, with his face turned towards Raffles’s room, and he could hear him moaning and murmuring. He was not asleep, then.",Middlemarch,"Eliot, George",PR,Historical Fiction; Best Books Ever Listings; Browsing: Culture/Civilization/Society; Browsing: History - British; Browsing: Literature; Browsing: Fiction,City and town life -- Fiction ; Love stories ; Young women -- Fiction ; Married people -- Fiction ; England -- Fiction ; Didactic fiction ; Bildungsromans ; PR ; Domestic fiction,Public domain in the USA.,1871,George Eliot,female,English,1819.0,1880.0,Wikipedia,True,9
25,145,opium,"towards Raffles’s room, and he could hear him moaning and murmuring. He was not asleep, then. Who could know that Lydgate’s prescription would not be better disobeyed than followed, since there was still no sleep? He turned into his own room. Before he had quite undressed, Mrs. Abel rapped at the door; he opened it an inch, so that he could hear her speak low. “If you please, sir, should I have no brandy nor nothing to give the poor creetur? He feels sinking away, and nothing else will he swaller—and but little strength in it, if he did—only the opium . And he says more and more he’s sinking down through the earth.” To her surprise, Mr. Bulstrode did not answer. A struggle was going on within him. “I think he must die for want o’ support, if he goes on in that way. When I nursed my poor master, Mr. Robisson, I had to give him port-wine and brandy constant, and a big glass at a time,” added Mrs. Abel, with a touch of remonstrance in her tone. But again Mr. Bulstrode did not answer immediately, and she continued, “It’s not a time to spare when people are at",Middlemarch,"Eliot, George",PR,Historical Fiction; Best Books Ever Listings; Browsing: Culture/Civilization/Society; Browsing: History - British; Browsing: Literature; Browsing: Fiction,City and town life -- Fiction ; Love stories ; Young women -- Fiction ; Married people -- Fiction ; England -- Fiction ; Didactic fiction ; Bildungsromans ; PR ; Domestic fiction,Public domain in the USA.,1871,George Eliot,female,English,1819.0,1880.0,Wikipedia,True,9
