,Etext Number,Keyword,Snippet,Title,Authors,LoCC,Bookshelves,Subjects,rights,Published Year,Normalised Authors,Author Gender,Author Nationality,Author Birth,Author Death,Author Info Source,Author Info Found,Number of books by author
1823,12672,laudanum,"set aside. Every one came to this, sooner or later. Why not choose? Why not drain the Cup now? When it had all been bitter, why hesitate to drink the lees? The monstrous and incredible passion of the race was slowly creeping upon her. Her eyes gleamed and her cheeks burned. The hunger for death at her own hands and on her own terms possessed her frail body to the full. ""If there had been a God in Heaven,"" she said, aloud, ""surely I must have died!"" The words startled her and her hand shook so that some of the laudanum was spilled. It was long since she had heard her own voice in more than a monosyllabic answer to some necessary question. Inscrutably veiled in many folds of chiffon, she held herself apart from the world, and the world, carelessly kind, had left her wholly to herself. Slowly, she put the cork tightly into the vial and slipped it back into her bag. ""Tomorrow,"" she sighed; ""to-morrow I shall set myself free."" The fire flickered and without warning the candle went out, in a gust of wind which shook the house to its foundations. Stray currents of air had come",A Spinner in the Sun,"Reed, Myrtle",PS,Browsing: Literature; Browsing: Fiction,Fiction ; PS,Public domain in the USA.,1906,Myrtle Reed,female,American,1874.0,1911.0,"Wikipedia, OpenLibrary",True,9
1824,12672,laudanum,"Miss Hitty, tasted of the soup. A little later, she put the tray out on the doorstep again, having eaten as she had not eaten for months. She considered the chain of circumstances that had led her back to Rushton. First, the knowledge that Doctor Dexter had left the place for good. She had heard of that, long ago, but, until now, no one had told her that he had returned. She had thought it impossible for him ever to return--even to think of it again, Otherwise--here the thread of her thought snapped, and she clutched at the vial of laudanum which, as always, was in the bag at her belt. She perceived that the way of escape was closed to her. Broken in spirit though she was, she was yet too proud to die like a dog at Anthony Dexter's door, even after five-and-twenty years. Bitterest need alone had driven her to take the step which she so keenly regretted now. The death of her mother, hastened by misfortune, had left her with a small but certain income, paid regularly from two separate sources. One source had failed without warning, and her slender legacy was cut literally in two. Upon",A Spinner in the Sun,"Reed, Myrtle",PS,Browsing: Literature; Browsing: Fiction,Fiction ; PS,Public domain in the USA.,1906,Myrtle Reed,female,American,1874.0,1911.0,"Wikipedia, OpenLibrary",True,9
1825,12672,laudanum,"crossed the tracks again, at the deserted point she had chosen, but, in reality, it was only a few minutes. At last she reached home, utterly exhausted by the strain she had put upon herself. She had seen no one, heard no footstep save her own; she had gone and returned as mysteriously as the night itself. When she slept, she dreamed of the poppy bed on the western slope of the garden. It was twilight, and she stood there with a vial of laudanum in one hand and a necklace of discoloured pearls in the other. She poured the laudanum upon the earth and a great black poppy with a deadly fragrance sprang up at her feet. Then Anthony Dexter drove up in a carriage and took the pearls away from her. She could not see him clearly, because his face was veiled, like her own. The odour of the black poppy made her faint and she went into the house to escape from it, but the scent of it clung to her garments and hands and could not be washed away. IV ""From the Depths of his Love"" At seven o'clock, precisely, Anthony Dexter's old housekeeper rang the rising",A Spinner in the Sun,"Reed, Myrtle",PS,Browsing: Literature; Browsing: Fiction,Fiction ; PS,Public domain in the USA.,1906,Myrtle Reed,female,American,1874.0,1911.0,"Wikipedia, OpenLibrary",True,9
1826,12672,laudanum,"side of the house was, as yet, untouched, and the trees and shrubbery all needed trimming. The wall was broken in places, earth had drifted upon it, and grass and weeds had taken root in the crevices. Upon one side of the house, nearly all of the bare earth had been raked clean. He was on the western slope, now, where the splendid poppies had once grown. Pausing in his whistling, the Piper stooped and picked up some small object. Miss Evelina cowered behind her shielding shutters, for she guessed that he had found the empty vial which had contained laudanum . The Piper sniffed twice at the bottle. His scent was as keen as a hunting dog's. Then he glanced quickly toward the house where Miss Evelina, unveiled, shrank back into the farthest corner of an upper room. He walked to the gate, no longer whistling, and slowly, thoughtfully, buried it deep in the rubbish. Could Miss Evelina have seen his face, she would have marvelled at the tenderness which transfigured it and wondered at the mist that veiled his eyes. He stood at the gate for a long time, leaning on his scythe, his back to the house. In",A Spinner in the Sun,"Reed, Myrtle",PS,Browsing: Literature; Browsing: Fiction,Fiction ; PS,Public domain in the USA.,1906,Myrtle Reed,female,American,1874.0,1911.0,"Wikipedia, OpenLibrary",True,9
1827,12672,laudanum,"about among the rubbish. By a flash of intuition, Miss Evelina knew that the finding of the bottle had made clear to the Piper much that he had not known before. She felt herself an open book before those kind, keen eyes, which neither sought nor avoided her veiled face. All the sorrow and the secret suffering would be his, if he chose to read it. Miss Evelina knew that she must keep away. The sun set without splendour. Still the Piper stood there, leaning on his scythe, thinking. All the rubbish in the garden was old, except the empty laudanum bottle. The label was still legible, and also the warning word, ""Poison."" She had put it there herself--he had no doubt of that. The dog whined and licked his master's hand, as though to say it was time to go home. At length the Piper roused himself and gathered up his tools. He carried them to a shed at the back of the house, and Miss Evelina, watching, knew that he was coming back to finish his self-appointed task. ""Yes,"" said the Piper, ""we'll be going. 'T is not needful to bark."" He went down-hill slowly, the little dog trotting",A Spinner in the Sun,"Reed, Myrtle",PS,Browsing: Literature; Browsing: Fiction,Fiction ; PS,Public domain in the USA.,1906,Myrtle Reed,female,American,1874.0,1911.0,"Wikipedia, OpenLibrary",True,9
1828,12672,laudanum,"shall clasp thee again, And with God be the rest!"" The wonderful words sang themselves over in his consciousness. He smiled and the unveiled Evelina smiled back at him, with infinite tenderness, infinite love. To-night he would sleep as he had not slept before--in the sleep that knows no waking. He had the tiny white tablets, plenty of them, but the fancy seized him to taste this last bitterness to the full. He took a wine glass from his chiffonier--those white, blunt fingers had never been more steady than now. He lifted the vial on high and poured out the laudanum , faltering no more than when he had guided the knife in an operation that made him famous throughout the State. ""Evelina,"" he said, his voice curiously soft, ""I pledge you now, in a bond that cannot break!"" Was it fancy, or did the violet eyes soften with tears, even though the scarlet lips smiled? He drank. The silken petals of the poppies, crushed into the peace that passeth all understanding, began their gentle ministry. He made his way to his bed, put out his candle, and lay down. The Spirit of the Poppies stood before him--a woman with a",A Spinner in the Sun,"Reed, Myrtle",PS,Browsing: Literature; Browsing: Fiction,Fiction ; PS,Public domain in the USA.,1906,Myrtle Reed,female,American,1874.0,1911.0,"Wikipedia, OpenLibrary",True,9
1829,12672,laudanum,"easier. He rapped once, with hesitation, then again, more definitely. There was no answer. Wholly without suspicion, Ralph opened the door, and went in. Anthony Dexter lay upon his bed, fully dressed. On his face was a smile of ineffable peace. Ralph went to him quickly, shook him, and felt his pulse, but vainly. The heart of the man made no answer to the questioning fingers of his son. The eyes were closed and, his hands trembling now, Ralph forced them open. The contracted pupils gave him all the information he needed. He found the wineglass, which still smelled of laudanum . He washed it carefully, put it away, then went down-stairs. His first sensation was entirely relief. Anthony Dexter had chosen the one sure way out. Ralph had a distinct sense of gratitude until he remembered that death did not end disgrace. Never again need he look in his father's eyes; there was no imperative demand that he should conceal his contempt. With the hiding of Anthony Dexter's body beneath the shriving sod, all would be over save memory. Could he put by this memory as his father had his? Ralph did not know. The sorrowful preliminaries were all over",A Spinner in the Sun,"Reed, Myrtle",PS,Browsing: Literature; Browsing: Fiction,Fiction ; PS,Public domain in the USA.,1906,Myrtle Reed,female,American,1874.0,1911.0,"Wikipedia, OpenLibrary",True,9
1830,12672,laudanum,"you. God knows I haven't forgiven him myself, but I know I've got to, and you'll have to, too. Miss Evelina, you've got to forgive him, or I never can bear my disgrace."" She let him lead her out of the house. On the long way to Anthony Dexter's, no word passed between them. Only the sound of their footfalls, and Ralph's long, choking breaths, half sobs, broke the silence. At the gate, the usual knot of curious people had gathered. They were wondering, in undertones, how one so skilful as Doctor Dexter had happened to take an overdose of laudanum , but they stood by, respectfully, to make way for Ralph and the mysterious, veiled woman in black. The audible whispers followed them up to the very door: ""Who is she? What had she to do with him?"" As yet, Anthony Dexter's body lay in his own room. Ralph led Miss Evelina in, and closed the door. ""Here he is,"" sobbed the boy. ""He has gone and left the shame for me. Forgive him, Miss Evelina! For the love of God, forgive him!"" Evelina sighed. She was standing close to Anthony Dexter now without fear. She had no wish to",A Spinner in the Sun,"Reed, Myrtle",PS,Browsing: Literature; Browsing: Fiction,Fiction ; PS,Public domain in the USA.,1906,Myrtle Reed,female,American,1874.0,1911.0,"Wikipedia, OpenLibrary",True,9
1831,12672,anodyne,"She mused, ironically, upon the permanence of things usually considered transient and temporary. Her mother's sewing was still upon the marble-topped table, but the hands that held it were long since mingled with the dust. Her own embroidery had apparently but just fallen from the chair, and the dream that had led to its fashioning--was only a dream, from which she awoke to enduring agony. With swift hatred, she turned her back upon the embroidery frame, and hid her face in her hands. Time, as time, had ceased to exist for her. She suffered until suffering brought its own far anodyne --the inability to sustain it further,--then she slept, from sheer weariness. Before dawn, usually, she awoke, sufficiently rested to suffer again. When she felt faint, she ate, scarcely knowing what she ate, for food was as dust and ashes in her mouth. In the bag that hung from her belt was a vial of laudanum, renewed from time to time as she feared its strength was waning. She had been taught that it was wicked to take one's own life, and that God was always kind. Not having experienced the kindness, she began to doubt the existence of God, and",A Spinner in the Sun,"Reed, Myrtle",PS,Browsing: Literature; Browsing: Fiction,Fiction ; PS,Public domain in the USA.,1906,Myrtle Reed,female,American,1874.0,1911.0,"Wikipedia, OpenLibrary",True,9
1832,12672,soporific,"a great black poppy with a deadly fragrance sprang up at her feet. Then Anthony Dexter drove up in a carriage and took the pearls away from her. She could not see him clearly, because his face was veiled, like her own. The odour of the black poppy made her faint and she went into the house to escape from it, but the scent of it clung to her garments and hands and could not be washed away. IV ""From the Depths of his Love"" At seven o'clock, precisely, Anthony Dexter's old housekeeper rang the rising bell. Drowsy with the soporific he had taken, the doctor did not at once respond to the summons. In fact, the breakfast bell had rung before he was fully awake. He dressed leisurely, and was haunted by a vague feeling that something unpleasant had happened. At length he remembered that just before dusk, in the garden of Evelina Grey's old house, he had seen a ghost--a ghost who confronted him mutely with a thing he had long since forgotten. ""It was subjective, purely,"" mused Anthony Dexter. ""I have been working too hard."" His reason was fully satisfied with the plausible explanation, but he was not",A Spinner in the Sun,"Reed, Myrtle",PS,Browsing: Literature; Browsing: Fiction,Fiction ; PS,Public domain in the USA.,1906,Myrtle Reed,female,American,1874.0,1911.0,"Wikipedia, OpenLibrary",True,9
