,Etext Number,Keyword,Snippet,Title,Authors,LoCC,Bookshelves,Subjects,rights,Published Year,Normalised Authors,Author Gender,Author Nationality,Author Birth,Author Death,Author Info Source,Author Info Found,Number of books by author
91,173,opium,"afraid to trust you--yet. Be comforted, for there is one near who would have killed you had I wished it. Remember, I will come to you whenever you will take me and hide me."" Light footsteps pattered down the stairs. I heard a stifled cry from Mrs. Dolan as the mysterious visitor ran past her. The front door opened and closed. CHAPTER V ""Shen-Yan's is a dope-shop in one of the burrows off the old Ratcliff Highway,"" said Inspector Weymouth. ""'Singapore Charlie's,' they call it. It's a center for some of the Chinese societies, I believe, but all sorts of opium -smokers use it. There have never been any complaints that I know of. I don't understand this."" We stood in his room at New Scotland Yard, bending over a sheet of foolscap upon which were arranged some burned fragments from poor Cadby's grate, for so hurriedly had the girl done her work that combustion had not been complete. ""What do we make of this?"" said Smith. ""'. . . Hunchback . . . lascar went up . . . unlike others . . . not return . . . till Shen-Yan' (there is no doubt about the name, I think)",The Insidious Dr. Fu Manchu,"Rohmer, Sax",PR,Crime Fiction; Browsing: Crime/Mystery; Browsing: Literature; Browsing: Fiction,"Criminals -- Fiction ; Detective and mystery stories ; PR ; Fu Manchu, Doctor (Fictitious character) -- Fiction",Public domain in the USA.,1913,Sax Rohmer,male,English,1883.0,1959.0,Wikipedia,True,13
92,173,opium,"'lascar' as the dacoit who was murdered by Fu-Manchu! It is sheer supposition, however. But that Cadby meant to pay another visit to the place in a different 'make-up' or disguise, is evident, and that the Tuesday night proposed was last night is a reasonable deduction. The reference to a pigtail is principally interesting because of what was found on Cadby's body."" Inspector Weymouth nodded affirmatively, and Smith glanced at his watch. ""Exactly ten-twenty-three,"" he said. ""I will trouble you, Inspector, for the freedom of your fancy wardrobe. There is time to spend an hour in the company of Shen-Yan's opium friends."" Weymouth raised his eyebrows. ""It might be risky. What about an official visit?"" Nayland Smith laughed. ""Worse than useless! By your own showing, the place is open to inspection. No; guile against guile! We are dealing with a Chinaman, with the incarnate essence of Eastern subtlety, with the most stupendous genius that the modern Orient has produced."" ""I don't believe in disguises,"" said Weymouth, with a certain truculence. ""It's mostly played out, that game, and generally leads to failure. Still, if you're determined, sir, there's an end of it. Foster will make your face up. What disguise do you",The Insidious Dr. Fu Manchu,"Rohmer, Sax",PR,Crime Fiction; Browsing: Crime/Mystery; Browsing: Literature; Browsing: Fiction,"Criminals -- Fiction ; Detective and mystery stories ; PR ; Fu Manchu, Doctor (Fictitious character) -- Fiction",Public domain in the USA.,1913,Sax Rohmer,male,English,1883.0,1959.0,Wikipedia,True,13
93,173,opium,"""You are forgetting me, Smith,"" I said. He turned to me quickly. ""Petrie,"" he replied, ""it is MY business, unfortunately, but it is no sort of hobby."" ""You mean that you can no longer rely upon me?"" I said angrily. Smith grasped my hand, and met my rather frigid stare with a look of real concern on his gaunt, bronzed face. ""My dear old chap,"" he answered, ""that was really unkind. You know that I meant something totally different."" ""It's all right, Smith;"" I said, immediately ashamed of my choler, and wrung his hand heartily. ""I can pretend to smoke opium as well as another. I shall be going, too, Inspector."" As a result of this little passage of words, some twenty minutes later two dangerous-looking seafaring ruffians entered a waiting cab, accompanied by Inspector Weymouth, and were driven off into the wilderness of London's night. In this theatrical business there was, to my mind, something ridiculous--almost childish--and I could have laughed heartily had it not been that grim tragedy lurked so near to farce. The mere recollection that somewhere at our journey's end Fu-Manchu awaited us was sufficient to sober my reflections--Fu-Manchu, who, with all the powers represented by Nayland",The Insidious Dr. Fu Manchu,"Rohmer, Sax",PR,Crime Fiction; Browsing: Crime/Mystery; Browsing: Literature; Browsing: Fiction,"Criminals -- Fiction ; Detective and mystery stories ; PR ; Fu Manchu, Doctor (Fictitious character) -- Fiction",Public domain in the USA.,1913,Sax Rohmer,male,English,1883.0,1959.0,Wikipedia,True,13
94,173,opium,"could get through to the front and watch from there."" ""Good!"" cried the Inspector. ""See you are not spotted, though; and if you hear the whistle, don't mind doing a bit of damage, but be inside Shen-Yan's like lightning. Otherwise, wait for orders."" Inspector Ryman came in, glancing at the clock. ""Launch is waiting,"" he said. ""Right,"" replied Smith thoughtfully. ""I am half afraid, though, that the recent alarms may have scared our quarry--your man, Mason, and then Cadby. Against which we have that, so far as he is likely to know, there has been no clew pointing to this opium den. Remember, he thinks Cadby's notes are destroyed."" ""The whole business is an utter mystery to me,"" confessed Ryman. ""I'm told that there's some dangerous Chinese devil hiding somewhere in London, and that you expect to find him at Shen-Yan's. Supposing he uses that place, which is possible, how do you know he's there to-night?"" ""I don't,"" said Smith; ""but it is the first clew we have had pointing to one of his haunts, and time means precious lives where Dr. Fu-Manchu is concerned."" ""Who is he, sir, exactly, this Dr. Fu-Manchu?"" ""I have only the vaguest idea, Inspector; but",The Insidious Dr. Fu Manchu,"Rohmer, Sax",PR,Crime Fiction; Browsing: Crime/Mystery; Browsing: Literature; Browsing: Fiction,"Criminals -- Fiction ; Detective and mystery stories ; PR ; Fu Manchu, Doctor (Fictitious character) -- Fiction",Public domain in the USA.,1913,Sax Rohmer,male,English,1883.0,1959.0,Wikipedia,True,13
95,173,opium,"I was with this form of gentle persuasion. ""Kop 'old o' that,"" he said, and thrust a coin into the Chinaman's yellow paw. ""Keep me waitin' an' I'll pull the dam' shop down, Charlie. You can lay to it."" ""No hab got pipee--"" began the other. Smith raised his fist, and Yan capitulated. ""Allee lightee,"" he said. ""Full up--no loom. You come see."" He dived behind the dirty curtain, Smith and I following, and ran up a dark stair. The next moment I found myself in an atmosphere which was literally poisonous. It was all but unbreathable, being loaded with opium fumes. Never before had I experienced anything like it. Every breath was an effort. A tin oil-lamp on a box in the middle of the floor dimly illuminated the horrible place, about the walls of which ten or twelve bunks were ranged and all of them occupied. Most of the occupants were lying motionless, but one or two were squatting in their bunks noisily sucking at the little metal pipes. These had not yet attained to the opium-smoker's Nirvana. ""No loom--samee tella you,"" said Shen-Yan, complacently testing Smith's shilling with his yellow, decayed teeth. Smith walked to a corner and",The Insidious Dr. Fu Manchu,"Rohmer, Sax",PR,Crime Fiction; Browsing: Crime/Mystery; Browsing: Literature; Browsing: Fiction,"Criminals -- Fiction ; Detective and mystery stories ; PR ; Fu Manchu, Doctor (Fictitious character) -- Fiction",Public domain in the USA.,1913,Sax Rohmer,male,English,1883.0,1959.0,Wikipedia,True,13
96,173,opium,"stair. The next moment I found myself in an atmosphere which was literally poisonous. It was all but unbreathable, being loaded with opium fumes. Never before had I experienced anything like it. Every breath was an effort. A tin oil-lamp on a box in the middle of the floor dimly illuminated the horrible place, about the walls of which ten or twelve bunks were ranged and all of them occupied. Most of the occupants were lying motionless, but one or two were squatting in their bunks noisily sucking at the little metal pipes. These had not yet attained to the opium -smoker's Nirvana. ""No loom--samee tella you,"" said Shen-Yan, complacently testing Smith's shilling with his yellow, decayed teeth. Smith walked to a corner and dropped cross-legged, on the floor, pulling me down with him. ""Two pipe quick,"" he said. ""Plenty room. Two piecee pipe--or plenty heap trouble."" A dreary voice from one of the bunks came: ""Give 'im a pipe, Charlie, curse yer! an' stop 'is palaver."" Yan performed a curious little shrug, rather of the back than of the shoulders, and shuffled to the box which bore the smoky lamp. Holding a needle in the flame, he dipped it, when",The Insidious Dr. Fu Manchu,"Rohmer, Sax",PR,Crime Fiction; Browsing: Crime/Mystery; Browsing: Literature; Browsing: Fiction,"Criminals -- Fiction ; Detective and mystery stories ; PR ; Fu Manchu, Doctor (Fictitious character) -- Fiction",Public domain in the USA.,1913,Sax Rohmer,male,English,1883.0,1959.0,Wikipedia,True,13
97,173,opium,"his yellow, decayed teeth. Smith walked to a corner and dropped cross-legged, on the floor, pulling me down with him. ""Two pipe quick,"" he said. ""Plenty room. Two piecee pipe--or plenty heap trouble."" A dreary voice from one of the bunks came: ""Give 'im a pipe, Charlie, curse yer! an' stop 'is palaver."" Yan performed a curious little shrug, rather of the back than of the shoulders, and shuffled to the box which bore the smoky lamp. Holding a needle in the flame, he dipped it, when red-hot, into an old cocoa tin, and withdrew it with a bead of opium adhering to the end. Slowly roasting this over the lamp, he dropped it into the bowl of the metal pipe which he held ready, where it burned with a spirituous blue flame. ""Pass it over,"" said Smith huskily, and rose on his knees with the assumed eagerness of a slave to the drug. Yan handed him the pipe, which he promptly put to his lips, and prepared another for me. ""Whatever you do, don't inhale any,"" came Smith's whispered injunction. It was with a sense of nausea greater even than that occasioned by the disgusting atmosphere of the den that",The Insidious Dr. Fu Manchu,"Rohmer, Sax",PR,Crime Fiction; Browsing: Crime/Mystery; Browsing: Literature; Browsing: Fiction,"Criminals -- Fiction ; Detective and mystery stories ; PR ; Fu Manchu, Doctor (Fictitious character) -- Fiction",Public domain in the USA.,1913,Sax Rohmer,male,English,1883.0,1959.0,Wikipedia,True,13
98,173,opium,"me that we were on the right scent--that this was one of the doctor's servants. How I came to that conclusion, I cannot explain; but with no doubt in my mind that this was a member of the formidable murder group, I saw the yellow man creep nearer, nearer, silently, bent and peering. He was watching us. Of another circumstance I became aware, and a disquieting circumstance. There were fewer murmurings and sighings from the surrounding bunks. The presence of the crouching figure had created a sudden semi-silence in the den, which could only mean that some of the supposed opium -smokers had merely feigned coma and the approach of coma. Nayland Smith lay like a dead man, and trusting to the darkness, I, too, lay prone and still, but watched the evil face bending lower and lower, until it came within a few inches of my own. I completely closed my eyes. Delicate fingers touched my right eyelid. Divining what was coming, I rolled my eyes up, as the lid was adroitly lifted and lowered again. The man moved away. I had saved the situation! And noting anew the hush about me--a hush in which I fancied many pairs of",The Insidious Dr. Fu Manchu,"Rohmer, Sax",PR,Crime Fiction; Browsing: Crime/Mystery; Browsing: Literature; Browsing: Fiction,"Criminals -- Fiction ; Detective and mystery stories ; PR ; Fu Manchu, Doctor (Fictitious character) -- Fiction",Public domain in the USA.,1913,Sax Rohmer,male,English,1883.0,1959.0,Wikipedia,True,13
99,173,opium,"Chinaman. I expect that's why she managed to slip away."" I recalled how I had been dragged from the pit by the false queue, how the strange discovery which had brought death to poor Cadby had brought life to me, and I seemed to remember, too, that Smith had dropped it as he threw his arm about me on the ladder. Her mask the girl might have retained, but her wig, I felt certain, had been dropped into the water. It was later that night, when the brigade still were playing upon the blackened shell of what had been Shen-Yan's opium -shop, and Smith and I were speeding away in a cab from the scene of God knows how many crimes, that I had an idea. ""Smith,"" I said, ""did you bring the pigtail with you that was found on Cadby?"" ""Yes. I had hoped to meet the owner."" ""Have you got it now?"" ""No. I met the owner."" I thrust my hands deep into the pockets of the big pea-jacket lent to me by Inspector Ryman, leaning back in my corner. ""We shall never really excel at this business,"" continued Nayland Smith. ""We are far too sentimental. I knew what",The Insidious Dr. Fu Manchu,"Rohmer, Sax",PR,Crime Fiction; Browsing: Crime/Mystery; Browsing: Literature; Browsing: Fiction,"Criminals -- Fiction ; Detective and mystery stories ; PR ; Fu Manchu, Doctor (Fictitious character) -- Fiction",Public domain in the USA.,1913,Sax Rohmer,male,English,1883.0,1959.0,Wikipedia,True,13
100,173,opium,"continued Fu-Manchu, ""to meddle with a world-change. Poor spiders--caught in the wheels of the inevitable! You have linked my name with the futility of the Young China Movement--the name of Fu-Manchu! Mr. Smith, you are an incompetent meddler--I despise you! Dr. Petrie, you are a fool--I am sorry for you!"" He rested one bony hand on his hip, narrowing the long eyes as he looked down on us. The purposeful cruelty of the man was inherent; it was entirely untheatrical. Still Smith remained silent. ""So I am determined to remove you from the scene of your blunders!"" added Fu-Manchu. "" Opium will very shortly do the same for you!"" I rapped at him savagely. Without emotion he turned the narrowed eyes upon me. ""That is a matter of opinion, Doctor,"" he said. ""You may have lacked the opportunities which have been mine for studying that subject--and in any event I shall not be privileged to enjoy your advice in the future."" ""You will not long outlive me,"" I replied. ""And our deaths will not profit you, incidentally; because--"" Smith's foot touched mine. ""Because?"" inquired Fu-Manchu softly. ""Ah! Mr. Smith is so prudent! He is thinking that I have FILES!"" He pronounced",The Insidious Dr. Fu Manchu,"Rohmer, Sax",PR,Crime Fiction; Browsing: Crime/Mystery; Browsing: Literature; Browsing: Fiction,"Criminals -- Fiction ; Detective and mystery stories ; PR ; Fu Manchu, Doctor (Fictitious character) -- Fiction",Public domain in the USA.,1913,Sax Rohmer,male,English,1883.0,1959.0,Wikipedia,True,13
