Etext Number,Type,Issued,Title,Language,LoCC,Authors,Opium Keywords,Published Year,Genres,Themes
15,Text,1991-05-01,"Moby-Dick; or, The Whale",en,PS,"Melville, Herman","['opium', 'paregoric', 'laudanum']",1851,"['Fiction', 'Literature', 'Adventure', 'Best Books Ever Listings']","['Mentally ill', 'Psychological fiction', 'Sea stories', 'Adventure stories', 'Whaling ships', 'Whaling', 'Whales', 'Ahab, Captain (Fictitious character)', 'Ship captains']"
16,Text,2008-06-25,Peter Pan,en,PR; PZ,"Barrie, J. M. (James Matthew)",['heroin'],1906,"[""Children's Literature"", 'Literature', 'Fiction', 'Science-Fiction & Fantasy', 'Children & Young Adult Reading', 'Movie Books']","['Pirates', 'Fantasy literature', 'Fairies', 'Peter Pan (Fictitious character)', 'Never-Never Land (Imaginary place)']"
24,Text,2008-06-27,O Pioneers!,en,PS,"Cather, Willa",['poppy'],1913,"['Fiction', 'History', 'Culture/Civilization/Society', 'Literature']","['Swedish Americans', 'Nebraska', 'Farm life', 'Women farmers', 'Siblings', 'Domestic fiction', 'Women pioneers', 'Frontier and pioneer life', 'Women immigrants']"
27,Text,1992-03-01,Far from the Madding Crowd,en,PR,"Hardy, Thomas",['heroin'],1874,"['Fiction', 'Culture/Civilization/Society', 'Literature']","['Love stories', 'Farm life', 'Women farmers', 'Pastoral fiction', 'Wessex (England)', 'Triangles (Interpersonal relations)', 'Didactic fiction']"
33,Text,1992-06-01,The Scarlet Letter,en,PS,"Hawthorne, Nathaniel",['nepenthe'],1850,"['History', 'Literature', 'Fiction', 'Harvard Classics', 'Culture/Civilization/Society', 'Movie Books']","['Puritans', 'Adultery', 'Psychological fiction', 'Revenge', 'Colonial period, ca. 1600-1775', 'Married women', 'Clergy', 'Illegitimate children', 'Triangles (Interpersonal relations)', 'Women immigrants', 'Boston (Mass.)']"
36,Text,2004-10-01,The War of the Worlds,en,PR,"Wells, H. G. (Herbert George)",['black smoke'],1897,"['History', 'Fiction', 'Science-Fiction & Fantasy', 'Movie Books', 'Science Fiction']","['Martians', 'Space warfare', 'Mars (Planet)', 'War stories', 'Imaginary wars and battles', 'Life on other planets']"
44,Text,2008-06-27,The Song of the Lark,en,PS,"Cather, Willa","['opium', 'heroin']",1915,"['Opera', 'Fiction', 'Culture/Civilization/Society', 'Literature']","['Women singers', 'Bildungsromans', 'Swedish Americans', 'Young women', 'Colorado', 'Children of clergy', 'Musical fiction', 'Chicago (Ill.)']"
60,Text,2006-03-08,The Scarlet Pimpernel,en,PR,"Orczy, Emmuska Orczy, Baroness",['heroin'],1900,"['History', 'Literature', 'Adventure', 'Fiction', 'Best Books Ever Listings', 'Movie Books']","['Revolution, 1789-1799', 'Blakeney, Percy, Sir (Fictitious character)', 'Adventure stories', 'Nobility', 'British']"
77,Text,1993-08-01,The House of the Seven Gables,en,PS,"Hawthorne, Nathaniel",['heroin'],1850,"['History', 'Literature', 'Fiction', 'Best Books Ever Listings', 'Culture/Civilization/Society']","['Haunted houses', 'Salem (Mass.)', 'Paranormal fiction', 'Domestic fiction']"
78,Text,1993-08-01,Tarzan of the Apes,en,PS,"Burroughs, Edgar Rice",['black smoke'],1912,"['Adventure', 'Fiction', 'Science-Fiction & Fantasy', 'Culture/Civilization/Society', 'Movie Books']","['Wild men', 'Adventure stories', 'Fantasy fiction', 'British', 'Tarzan (Fictitious character)']"
82,Text,2008-06-25,Ivanhoe: A Romance,en,PR,"Scott, Walter","['opium', 'narcotic', 'heroin']",1800,"['History', 'Literature', 'Fiction', 'Best Books Ever Listings', 'Culture/Civilization/Society', 'Historical Fiction']","['Knights and knighthood', 'Ivanhoe, Wilfred of, Sir (Fictitious character)', 'Love stories', 'Anglo-Saxons', 'Richard I, 1189-1199', 'Normans', 'Triangles (Interpersonal relations)', 'Great Britain', 'England', 'Jews']"
84,Text,1993-10-01,"Frankenstein; Or, The Modern Prometheus",en,PR,"Shelley, Mary Wollstonecraft",['laudanum'],1818,"['Gender & Sexuality Studies', 'Literature', 'Fiction', 'Science-Fiction & Fantasy', 'Precursors of Science Fiction', 'Culture/Civilization/Society', 'Movie Books', 'Science Fiction by Women', 'Gothic Fiction']","['Monsters', ""Frankenstein's monster (Fictitious character)"", 'Frankenstein, Victor (Fictitious character)', 'Scientists', 'Horror tales']"
91,Text,2004-09-14,Tom Sawyer Abroad,en,PS,"Twain, Mark",['black smoke'],1894,"['Fiction', 'Literature', 'Travel & Geography']","['Americans', 'Adventure stories', 'Balloon ascensions', 'Sawyer, Tom (Fictitious character)', 'Foreign countries']"
95,Text,2006-01-09,The prisoner of Zenda,en,PR,"Hope, Anthony",['narcotic'],1894,"['History', 'Literature', 'Adventure', 'Fiction', 'Best Books Ever Listings', 'Bestsellers, American, 1895-1923', 'Movie Books']","['Political kidnapping', 'Love stories', 'Foreign countries', 'Adventure stories', 'Kings and rulers', 'Impostors and imposture', 'British']"
98,Text,1994-01-01,A Tale of Two Cities,en,PR,"Dickens, Charles","['narcotic', 'laudanum']",1859,"['Fiction', 'Historical Fiction', 'History', 'Literature']","['French', 'London (England)', 'Paris', 'Revolution, 1789-1799', 'Lookalikes', 'Paris (France)', 'Executions and executioners', 'War stories', 'England', 'London', '1789-1799', 'British', '18th century']"
102,Text,2004-09-14,The Tragedy of Pudd'nhead Wilson,en,PS,"Twain, Mark",['heroin'],1882,"['Fiction', 'Culture/Civilization/Society', 'Literature']","['Passing (Identity)', 'Infants switched at birth', 'Trials (Murder)', 'Impostors and imposture', 'Legal stories', 'Missouri', 'Race relations']"
107,Text,1994-02-01,Far from the Madding Crowd,en,PR,"Hardy, Thomas",['heroin'],1874,"['Fiction', 'Culture/Civilization/Society', 'Literature']","['Love stories', 'Farm life', 'Women farmers', 'Pastoral fiction', 'Wessex (England)', 'Triangles (Interpersonal relations)', 'Didactic fiction']"
110,Text,1994-02-01,Tess of the d'Urbervilles: A Pure Woman,en,PR,"Hardy, Thomas","['narcotic', 'heroin']",1919,"['Fiction', ""Banned Books from Anne Haight's list"", 'Literature']","['Man-woman relationships', 'Women murderers', 'Poor families', 'Children of clergy', 'Women household employees', 'Children of the rich', 'Wessex (England)', 'Pastoral fiction', 'Rape victims', 'Triangles (Interpersonal relations)', 'Didactic fiction']"
119,Text,2004-06-19,A Tramp Abroad,en,PS,"Twain, Mark","['paregoric', 'heroin']",1880,"['Fiction', 'Culture/Civilization/Society', 'Travel & Geography', 'Humour']","['Europe', 'Walking', 'Americans', 'Humorous stories']"
121,Text,1994-04-01,Northanger Abbey,en,PR,"Austen, Jane",['heroin'],1880,"['Fiction', 'Culture/Civilization/Society', 'Literature', 'Gothic Fiction']","['Books and reading', 'Appreciation', 'Horror tales', 'Love stories', 'Young women', 'Social life and customs', 'Gentry', 'Economic aspects', 'Satire', '19th century', 'England', 'Marriage']"
133,Text,2006-03-08,The Damnation of Theron Ware,en,PS,"Frederic, Harold",['opium'],1896,"['Fiction', 'Culture/Civilization/Society', 'Literature', 'Bestsellers, American, 1895-1923']","['Psychological fiction', 'Clergy', 'Belief and doubt', 'New York (State)', 'Methodists']"
139,Text,1994-06-01,The Lost World,en,PR,"Doyle, Arthur Conan","['opium', 'narcotic']",1900,"['Science-Fiction & Fantasy', 'Fiction', 'Science Fiction', 'Literature']","['Prehistoric peoples', 'Fantasy fiction', 'Dinosaurs', 'Challenger, Professor (Fictitious character)']"
140,Text,2006-03-11,The Jungle,en,PS,"Sinclair, Upton","['black smoke', 'opium', 'morphine']",1905,"['Contemporary Reviews', 'History', ""Banned Books from Anne Haight's list"", 'Banned Books List from the American Library Association', 'Literature', 'Fiction', 'Bestsellers, American, 1895-1923', 'Culture/Civilization/Society']","['Meat industry and trade', 'Stockyards', 'Immigrants', 'Political fiction', 'Working class', 'Lithuanian Americans', 'Chicago (Ill.)']"
143,Text,2006-03-11,The Mayor of Casterbridge,en,PR,"Hardy, Thomas",['heroin'],1886,"['Fiction', 'Culture/Civilization/Society', 'Literature']","['Atonement', 'Runaway husbands', 'Psychological fiction', 'Mayors', 'Men', 'Wessex (England)', 'Fathers and daughters', 'England']"
144,Text,2006-01-12,The Voyage Out,en,PR,"Woolf, Virginia",['heroin'],1915,"['Fiction', 'Culture/Civilization/Society', 'Literature']","['Women travelers', 'Bildungsromans', 'Love stories', 'Young women', 'Ocean travel', 'British']"
145,Text,1994-07-01,Middlemarch,en,PR,"Eliot, George","['opium', 'heroin', 'anodyne']",1871,"['History', 'Literature', 'Fiction', 'Best Books Ever Listings', 'Culture/Civilization/Society', 'Historical Fiction']","['City and town life', 'Bildungsromans', 'Love stories', 'Young women', 'Domestic fiction', 'Married people', 'Didactic fiction', 'England']"
154,Text,1994-08-01,The Rise of Silas Lapham,en,PS,"Howells, William Dean",['heroin'],1884,"['Fiction', 'Contemporary Reviews', 'Culture/Civilization/Society', 'Literature']","['Socialites', 'Rich people', 'Psychological fiction', 'Businessmen', 'Domestic fiction', 'Boston (Mass.)']"
155,Text,2006-01-12,The Moonstone,en,PR,"Collins, Wilkie","['opium', 'laudanum']",1868,"['Literature', 'Fiction', 'Detective Fiction', 'Mystery Fiction', 'Crime/Mystery']","['Police', 'East Indians', 'Country homes', 'Jewelry theft', 'England']"
157,Text,1994-08-01,Daddy-Long-Legs,en,PS,"Webster, Jean",['heroin'],1912,"['Literature', 'Fiction', 'Teaching & Education', 'Culture/Civilization/Society', 'School Stories']","['Bildungsromans', 'Women authors', 'Philanthropists', 'Love stories', 'Young women', 'Boarding schools', 'Letters', 'Orphans', 'Epistolary fiction', 'Schools', 'Universities and colleges', 'Women college students']"
