,Authors,Normalised Authors,Author Gender,Author Nationality,Author Birth,Author Death,Author Info Source,Author Info Found
0,"Parker, Gilbert",Gilbert Parker,male,"Canadian, British",1862.0,1932.0,Wikipedia,True
1,"Twain, Mark",Mark Twain,male,American,1835.0,1910.0,Wikipedia,True
2,"James, Henry",Henry James,male,"American, British, American-British, English",1843.0,1916.0,Wikipedia,True
3,"Doyle, Arthur Conan",Arthur Conan Doyle,male,British,1859.0,1930.0,Wikipedia,True
4,"Howells, William Dean",William Dean Howells,male,American,1837.0,1920.0,Wikipedia,True
5,"Oppenheim, E. Phillips (Edward Phillips)",Edward Phillips Oppenheim,male,English,1866.0,1946.0,Wikipedia,True
6,"Haggard, H. Rider (Henry Rider)",Henry Rider Haggard,male,"English, British",1856.0,1925.0,Wikipedia,True
7,"Le Queux, William",William Le Queux,male,"French, English, British, Russian, German",1864.0,1927.0,Wikipedia,True
8,"London, Jack",Jack London,male,American,1876.0,1916.0,Wikipedia,True
9,"Wells, H. G. (Herbert George)",Herbert George Wells,male,English,1866.0,1946.0,OpenLibrary,True
10,"Oliphant, Mrs. (Margaret)",Margaret Oliphant,female,Scottish,1828.0,1897.0,Wikipedia,True
11,"Crawford, F. Marion (Francis Marion)",Francis Marion Crawford,male,American,1854.0,1909.0,Wikipedia,True
12,"Bindloss, Harold",Harold Bindloss,male,English,1866.0,1945.0,"Wikipedia, OpenLibrary",True
13,"Kipling, Rudyard",Rudyard Kipling,male,"English, British",1865.0,1936.0,Wikipedia,True
14,"Whittier, John Greenleaf",John Greenleaf Whittier,male,"American, Scottish",1807.0,1892.0,Wikipedia,True
15,"MacDonald, George",George MacDonald,male,Scottish,1824.0,1905.0,Wikipedia,True
16,"Becke, Louis",Louis Becke,male,Australian,1855.0,1913.0,"Wikipedia, OpenLibrary",True
17,"Davis, Richard Harding",Richard Harding Davis,male,American,1864.0,1916.0,Wikipedia,True
18,"Harte, Bret",Bret Harte,male,American,1836.0,1902.0,Wikipedia,True
19,"Fenn, George Manville",George Manville Fenn,male,English,1831.0,1909.0,Wikipedia,True
20,"Green, Anna Katharine",Anna Katharine Green,female,American,1846.0,1935.0,Wikipedia,True
21,"Chambers, Robert W. (Robert William)",Robert William Chambers,male,American,1865.0,1933.0,Wikipedia,True
22,"Stevenson, Robert Louis",Robert Louis Stevenson,male,Scottish,1850.0,1894.0,Wikipedia,True
23,"Hope, Anthony",Anthony Hope,male,"English, British",1863.0,1933.0,Wikipedia,True
24,"Hume, Fergus",Fergus Hume,male,English,1859.0,1932.0,"Wikipedia, OpenLibrary",True
25,"Bennett, Arnold",Arnold Bennett,male,"English, British",1867.0,1931.0,Wikipedia,True
26,"Wharton, Edith",Edith Wharton,female,American,1862.0,1937.0,Wikipedia,True
27,"Benson, E. F. (Edward Frederic)",Edward Frederic Benson,male,English,1867.0,1940.0,"Wikipedia, Wikidata",True
28,"McCutcheon, George Barr",George Barr McCutcheon,male,American,1866.0,1928.0,Wikipedia,True
29,"Galsworthy, John",John Galsworthy,male,English,1867.0,1933.0,Wikipedia,True
30,"Quiller-Couch, Arthur",Arthur Quiller-Couch,male,"English, American",1863.0,1944.0,Wikipedia,True
31,"Chesterton, G. K. (Gilbert Keith)",Gilbert Keith Chesterton,male,English,1874.0,1936.0,Wikipedia,True
32,"Conrad, Joseph",Joseph Conrad,male,"Polish, British, English",1857.0,1924.0,Wikipedia,True
33,"Shaw, Bernard",Bernard Shaw,male,Irish,1856.0,1950.0,Wikipedia,True
34,"Craddock, Charles Egbert",Charles Egbert Craddock,female,American,1850.0,1922.0,Wikipedia,True
35,"Warner, Charles Dudley",Charles Dudley Warner,male,American,1829.0,1900.0,Wikipedia,True
36,"Hornung, E. W. (Ernest William)",Ernest William Hornung,male,"British, English, Australian",1866.0,1921.0,Wikipedia,True
37,"Trollope, Anthony",Anthony Trollope,male,English,1815.0,1882.0,Wikipedia,True
38,"Yeats, W. B. (William Butler)",William Butler Yeats,male,Irish,1865.0,1939.0,OpenLibrary,True
39,"Bower, B. M.",B. M. Bower,female,American,1874.0,1940.0,"Wikipedia, OpenLibrary",True
40,"Weyman, Stanley John",Stanley John Weyman,male,English,1855.0,1928.0,Wikipedia,True
41,"Yonge, Charlotte M. (Charlotte Mary)",Charlotte Mary Yonge,female,English,1823.0,1901.0,Wikipedia,True
42,"Hichens, Robert",Robert Hichens,male,"United Kingdom, United Kingdom of Great Britain and Ireland",1864.0,1950.0,"OpenLibrary, Wikidata",True
43,"Bangs, John Kendrick",John Kendrick Bangs,male,American,1862.0,1922.0,"Wikipedia, OpenLibrary, Wikidata",True
