,Etext Number,Title,Authors,LoCC,Bookshelves,Subjects,rights,Published Year,Normalised Authors,Author Gender,Author Nationality,Author Birth,Author Death,Author Info Source,Author Info Found,Number of books by author
0,11,Alice's Adventures in Wonderland,"Carroll, Lewis",PR; PZ,Children's Literature; Browsing: Children & Young Adult Reading; Browsing: Fiction,Imaginary places -- Juvenile fiction ; Children's stories ; PZ ; Alice (Fictitious character from Carroll) -- Juvenile fiction ; Fantasy fiction ; PR,Public domain in the USA.,1865,Lewis Carroll,male,"British, English",1832.0,1898.0,Wikipedia,True,3
1,12,Through the Looking-Glass,"Carroll, Lewis",PR; PZ,Children's Literature; Best Books Ever Listings; Browsing: Children & Young Adult Reading; Browsing: Literature; Browsing: Fiction,Imaginary places -- Juvenile fiction ; Children's stories ; PZ ; Alice (Fictitious character from Carroll) -- Juvenile fiction ; Fantasy fiction ; PR,Public domain in the USA.,1871,Lewis Carroll,male,"British, English",1832.0,1898.0,Wikipedia,True,3
2,13,The Hunting of the Snark: An Agony in Eight Fits,"Carroll, Lewis",PR,Children's Literature; Browsing: Children & Young Adult Reading; Browsing: Literature,"PR ; Nonsense verses, English",Public domain in the USA.,1876,Lewis Carroll,male,"British, English",1832.0,1898.0,Wikipedia,True,3
3,15,"Moby-Dick; or, The Whale","Melville, Herman",PS,Adventure; Best Books Ever Listings; Browsing: Literature; Browsing: Fiction,"Whales -- Fiction ; Ahab, Captain (Fictitious character) -- Fiction ; Psychological fiction ; Adventure stories ; Sea stories ; Whaling ships -- Fiction ; Whaling -- Fiction ; PS ; Ship captains -- Fiction ; Mentally ill -- Fiction",Public domain in the USA.,1851,Herman Melville,male,American,1819.0,1891.0,Wikipedia,True,1
4,16,Peter Pan,"Barrie, J. M. (James Matthew)",PR; PZ,Children's Literature; Movie Books; Browsing: Children & Young Adult Reading; Browsing: Literature; Browsing: Science-Fiction & Fantasy; Browsing: Fiction,Peter Pan (Fictitious character) -- Fiction ; Fairies -- Fiction ; Fantasy literature ; PZ ; Never-Never Land (Imaginary place) -- Fiction ; Pirates -- Fiction ; PR,Public domain in the USA.,1906,James Matthew Barrie,male,Scottish,1860.0,1937.0,Wikipedia,True,19
5,19,The Song of Hiawatha,"Longfellow, Henry Wadsworth",PS,Children's Literature; Poetry; Native America; Browsing: Children & Young Adult Reading; Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Poetry,"Iroquois Indians -- Kings and rulers -- Poetry ; Hiawatha, active 15th century -- Poetry ; Indians of North America -- Poetry ; PS",Public domain in the USA.,1855,Henry Wadsworth Longfellow,male,American,1807.0,1882.0,Wikipedia,True,8
6,24,O Pioneers!,"Cather, Willa",PS,Browsing: Culture/Civilization/Society; Browsing: History - American; Browsing: Literature; Browsing: Fiction,Swedish Americans -- Fiction ; Frontier and pioneer life -- Nebraska -- Fiction ; Women immigrants -- Fiction ; Nebraska -- Fiction ; Women farmers -- Fiction ; Farm life -- Fiction ; PS ; Historical fiction ; Siblings -- Fiction ; Women pioneers -- Fiction ; Domestic fiction,Public domain in the USA.,1913,Willa Cather,female,American,1873.0,1947.0,Wikipedia,True,7
7,27,Far from the Madding Crowd,"Hardy, Thomas",PR,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction,Triangles (Interpersonal relations) -- Fiction ; Love stories ; Pastoral fiction ; Women farmers -- Fiction ; Farm life -- Fiction ; Wessex (England) -- Fiction ; Didactic fiction ; PR,Public domain in the USA.,1874,Thomas Hardy,male,English,1840.0,1928.0,Wikipedia,True,19
8,32,Herland,"Gilman, Charlotte Perkins",PS,Best Books Ever Listings; Browsing: Culture/Civilization/Society; Browsing: Gender & Sexuality Studies; Browsing: Literature; Browsing: Fiction,Women -- Fiction ; Utopias -- Fiction ; Black humor ; PS ; Utopian fiction,Public domain in the USA.,1915,Charlotte Perkins Gilman,female,American,1860.0,1935.0,Wikipedia,True,4
9,33,The Scarlet Letter,"Hawthorne, Nathaniel",PS,Harvard Classics; Movie Books; Browsing: Culture/Civilization/Society; Browsing: History - American; Browsing: Literature; Browsing: Fiction,"Revenge -- Fiction ; Women immigrants -- Fiction ; Illegitimate children -- Fiction ; Triangles (Interpersonal relations) -- Fiction ; Adultery -- Fiction ; Boston (Mass.) -- History -- Colonial period, ca. 1600-1775 -- Fiction ; Married women -- Fiction ; Psychological fiction ; Clergy -- Fiction ; PS ; Puritans -- Fiction ; Historical fiction",Public domain in the USA.,1850,Nathaniel Hawthorne,male,American,1804.0,1864.0,Wikipedia,True,4
10,35,The Time Machine,"Wells, H. G. (Herbert George)",PR,Science Fiction; Movie Books; Browsing: Literature; Browsing: Science-Fiction & Fantasy; Browsing: Fiction,Science fiction ; Time travel -- Fiction ; PR ; Dystopias -- Fiction,Public domain in the USA.,1895,Herbert George Wells,male,English,1866.0,1946.0,OpenLibrary,True,41
11,36,The War of the Worlds,"Wells, H. G. (Herbert George)",PR,Science Fiction; Movie Books; Browsing: History - Warfare; Browsing: Science-Fiction & Fantasy; Browsing: Fiction,Imaginary wars and battles -- Fiction ; Mars (Planet) -- Fiction ; Space warfare -- Fiction ; Science fiction ; Martians -- Fiction ; Life on other planets -- Fiction ; War stories ; PR,Public domain in the USA.,1897,Herbert George Wells,male,English,1866.0,1946.0,OpenLibrary,True,41
12,41,The Legend of Sleepy Hollow,"Irving, Washington",PS,Children's Literature; Harvard Classics; Browsing: Children & Young Adult Reading; Browsing: History - American; Browsing: Literature; Browsing: Fiction,New York (State) -- History -- 1775-1865 -- Fiction ; PS ; Ghosts -- Fiction,Public domain in the USA.,1906,Washington Irving,male,American,1783.0,1859.0,Wikipedia,True,1
13,42,The Strange Case of Dr. Jekyll and Mr. Hyde,"Stevenson, Robert Louis",PR,Precursors of Science Fiction; Horror; Gothic Fiction; Movie Books; Browsing: Literature; Browsing: Science-Fiction & Fantasy; Browsing: Fiction,Horror tales ; London (England) -- Fiction ; Physicians -- Fiction ; Self-experimentation in medicine -- Fiction ; Science fiction ; Psychological fiction ; Multiple personality -- Fiction ; PR,Public domain in the USA.,1875,Robert Louis Stevenson,male,Scottish,1850.0,1894.0,Wikipedia,True,31
