,Authors,nb_opium_books,total_nb_snippets,snippets_per_book,max_nb_snippets_per_book,Author Gender,Author Nationality,Number of books by author
0,"Rohmer, Sax",11,183,"{(173, 'The Insidious Dr. Fu Manchu'): 22, (1182, 'Dope'): 66, (1183, 'The Return of Dr. Fu-Manchu'): 4, (2028, 'The Yellow Claw'): 49, (5697, 'Tales of Chinatown'): 9, (17959, 'The Hand of Fu-Manchu\r\nBeing a New Phase in the Activities of Fu-Manchu, the Devil Doctor'): 10, (18613, 'The Golden Scorpion'): 17, (19142, 'The Devil Doctor'): 1, (19706, 'Brood of the Witch-Queen'): 1, (27461, 'The Orchard of Tears'): 3, (40108, 'Tales of Secret Egypt'): 1}",66,male,English,13
1,"Collins, Wilkie",12,95,"{(155, 'The Moonstone'): 60, (1438, 'No Name'): 13, (1621, 'Miss or Mrs.?'): 1, (1622, 'The Law and the Lady'): 1, (1624, 'The Two Destinies'): 1, (1626, 'After Dark'): 1, (1895, 'Armadale'): 6, (1917, 'The Queen of Hearts'): 7, (3632, 'Poor Miss Finch'): 1, (7892, 'Heart and Science: A Story of the Present Time'): 2, (7893, 'Hide and Seek'): 1, (7894, 'The Fallen Leaves'): 1}",60,female,English,15
2,"Ottolengui, Rodrigues",1,92,"{(32985, 'A Modern Wizard'): 92}",92,male,American,2
3,"Reeve, Arthur B. (Arthur Benjamin)",13,80,"{(2454, 'The Silent Bullet'): 10, (5007, 'The Poisoned Pen'): 9, (5054, 'The Dream Doctor'): 20, (5073, 'The War Terror'): 16, (5087, 'The Treasure-Train'): 3, (5094, 'The Romance of Elaine\r\nSequel to ""Exploits of Elaine""'): 1, (5150, 'The Ear in the Wall'): 7, (5151, 'The Exploits of Elaine'): 3, (5163, 'Guy Garrick'): 3, (5261, 'Constance Dunlap'): 2, (5270, 'The Film Mystery'): 1, (33466, 'The Social Gangster'): 2, (56902, 'The Soul Scar: A Craig Kennedy Scientific Mystery Novel'): 3}",20,male,American,14
4,"Roe, Edward Payson",4,68,"{(5433, 'Without a Home'): 64, (6090, 'What Can She Do?'): 2, (6128, 'His Sombre Rivals'): 1, (6719, 'The Earth Trembled'): 1}",64,male,American,14
5,"Steel, Flora Annie Webster",12,65,"{(39794, 'King-Errant'): 1, (39810, 'A Prince of Dreamers'): 8, (39813, 'A Sovereign Remedy'): 4, (39821, 'From the Five Rivers'): 2, (39857, 'Marmaduke'): 2, (39985, ""The Potter's Thumb""): 7, (39987, 'The Flower of Forgiveness'): 14, (39991, 'The Hosts of the Lord'): 3, (40045, 'Voices in the Night'): 2, (40136, 'The Mercy of the Lord'): 3, (40140, 'On the Face of the Waters: A Tale of the Mutiny'): 14, (40142, ""Miss Stuart's Legacy""): 5}",14,female,"English, British",14
6,"De Quincey, Thomas",8,62,"{(6147, 'Narrative and Miscellaneous Papers — Volume 2'): 32, (6148, 'Narrative and Miscellaneous Papers'): 6, (6169, 'Memorials and Other Papers — Volume 1'): 4, (6314, 'Biographical Essays'): 1, (7306, 'Autobiographic Sketches'): 7, (10708, 'Miscellaneous Essays'): 3, (18862, 'The Uncollected Writings of Thomas de Quincey—Vol. 1\nWith a Preface and Annotations by James Hogg'): 3, (23788, 'The Posthumous Works of Thomas De Quincey,  Vol. 1'): 6}",32,male,English,2
7,"Holmes, Oliver Wendell",10,52,"{(751, 'The Autocrat of the Breakfast-Table'): 4, (2665, 'The Professor at the Breakfast-Table'): 8, (2666, 'The Poet at the Breakfast-Table'): 2, (2696, 'Elsie Venner'): 3, (2697, 'The Guardian Angel'): 1, (2698, 'A Mortal Antipathy'): 1, (2699, 'Pages from an Old Volume of Life; A Collection of Essays, 1857-1881'): 3, (3252, 'Complete Project Gutenberg Oliver Wendell Holmes, Sr. Works'): 27, (7390, 'The Poetical Works of Oliver Wendell Holmes — Volume 03: Medical Poems'): 2, (7398, 'The Poetical Works of Oliver Wendell Holmes — Volume 11\r\nPoems from the Teacups Series'): 1}",27,male,United States,15
8,"Freeman, R. Austin (Richard Austin)",3,48,"{(12187, 'The Mystery of 31 New Inn'): 37, (70996, ""The D'Arblay mystery""): 2, (72782, 'As a thief in the night'): 9}",37,male,British,5
9,"Doyle, Arthur Conan",20,48,"{(139, 'The Lost World'): 1, (244, 'A Study in Scarlet'): 2, (290, 'The Stark Munro Letters\r\nBeing series of twelve letters written by J. Stark Munro, M.B., to his friend and former fellow-student, Herbert Swanborough, of Lowell, Massachusetts, during the years 1881-1884'): 2, (294, 'The Captain of the Polestar, and Other Tales'): 4, (355, 'The Parasite: A Story'): 1, (423, 'Round the Red Lamp: Being Facts and Fancies of Medical Life'): 3, (537, 'Tales of Terror and Mystery'): 2, (834, 'The Memoirs of Sherlock Holmes'): 5, (1661, 'The Adventures of Sherlock Holmes'): 11, (2097, 'The Sign of the Four'): 2, (2343, 'The Adventure of Wisteria Lodge'): 1, (2348, 'The Disappearance of Lady Frances Carfax'): 1, (2350, 'His Last Bow: An Epilogue of Sherlock Holmes'): 1, (5148, 'Rodney Stone'): 1, (5317, 'Through the Magic Door'): 1, (7964, 'The mystery of Cloomber'): 2, (12555, 'The Tragedy of the Korosko'): 2, (13152, 'The Firm of Girdlestone'): 1, (34627, 'The Dealings of Captain Sharkey, and Other Tales of Pirates'): 2, (69700, 'The case-book of Sherlock Holmes'): 3}",11,male,British,55
10,"Kipling, Rudyard",17,47,"{(323, 'Verses 1889-1896'): 1, (1858, 'Plain Tales from the Hills'): 4, (2163, 'The Bridge-Builders'): 6, (2226, 'Kim'): 9, (2227, 'Soldiers Three - Part 2'): 1, (2569, ""The Day's Work""): 2, (3006, 'Stalky & Co.'): 1, (5777, ""Life's Handicap: Being Stories of Mine Own People""): 1, (6120, 'Soldiers Three'): 1, (9790, 'Traffics and Discoveries'): 2, (13085, 'A Diversity of Creatures'): 1, (23163, 'The Eyes of Asia'): 2, (30568, 'Kipling Stories and Poems Every Child Should Know, Book II'): 2, (35555, 'Kim'): 6, (59332, 'Abaft the Funnel'): 3, (61834, 'The City of Dreadful Night'): 3, (62346, 'In Black and White'): 2}",9,male,"English, British",35
11,"Hume, Fergus",10,46,"{(4946, 'Madame Midas'): 4, (23474, ""The Bishop's Secret""): 3, (35146, 'The Solitary Farm'): 5, (35240, ""A Woman's Burden: A Novel""): 6, (36346, ""The Mandarin's Fan""): 7, (55137, 'The Mystery Queen'): 1, (55404, 'The Man with a Secret: A Novel'): 1, (55510, 'Lady Jim of Curzon Street: A Novel'): 3, (56080, 'The Fever of Life'): 1, (56432, 'The Peacock of Jewels'): 15}",15,male,English,31
12,"Crawford, F. Marion (Francis Marion)",17,44,"{(3816, 'The Witch of Prague: A Fantastic Tale'): 1, (5227, ""Sant' Ilario""): 10, (6350, 'Via Crucis: A Romance of the Second Crusade'): 1, (10521, 'The Primadonna\r\nA Sequel to ""Fair Margaret""'): 11, (12346, 'A Roman Singer'): 1, (13757, 'Saracinesca'): 1, (13932, 'Whosoever Shall Offend'): 1, (15223, 'Doctor Claudius, A True Story'): 1, (16100, 'Marietta: A Maid of Venice'): 1, (18847, 'The White Sister'): 2, (22879, 'Paul Patoff'): 4, (31723, 'Cecilia: A Story of Modern Rome'): 2, (40922, 'Pietro Ghisleri'): 1, (41009, 'A Rose of Yesterday'): 1, (41929, 'Arethusa'): 3, (49954, 'The Ralstons'): 1, (53486, 'The Three Fates'): 2}",11,male,American,38
13,"Lang, Andrew",6,40,"{(738, ""The Puzzle of Dickens's Last Plot""): 27, (1491, 'Letters to Dead Authors'): 1, (1994, 'Adventures Among Books'): 3, (21821, 'The Mark of Cain'): 2, (21933, 'Much Darker Days'): 2, (56613, 'History of English Literature from ""Beowulf"" to Swinburne'): 5}",27,male,Scottish,15
14,"Hergesheimer, Joseph",4,39,"{(6847, 'Cytherea'): 3, (9865, 'Java Head'): 31, (15135, 'The Three Black Pennys: A Novel'): 4, (42383, 'Hugh Walpole: An Appreciation'): 1}",31,male,American,8
15,"MacDonald, George",19,38,"{(2291, 'David Elginbrod'): 1, (2370, 'Sir Gibbie'): 1, (2433, 'Donal Grant'): 4, (2561, 'Robert Falconer'): 12, (5974, 'Thomas Wingfold, Curate V2'): 1, (6364, ""Warlock o' Glenwarlock: A Homely Romance""): 1, (7127, 'Malcolm'): 1, (7174, 'The Marquis of Lossie'): 2, (8201, 'Mary Marston'): 1, (8551, 'The Seaboard Parish Volume 1'): 1, (8924, 'Home Again'): 2, (8929, 'Adela Cathcart, Volume 2'): 1, (9096, 'Weighed and Wanting'): 1, (9154, 'Salted with Fire'): 1, (9183, 'Wilfrid Cumbermede'): 2, (9543, 'The poetical works of George MacDonald in two volumes — Volume 1'): 2, (10375, ""England's Antiphon""): 2, (10578, 'A Hidden Life and Other Poems'): 1, (12387, 'Paul Faber, Surgeon'): 1}",12,male,Scottish,34
16,"Coleridge, Samuel Taylor",1,35,"{(43099, ""Biographia Epistolaris, Volume 2\r\nbeing The Biographical Supplement of Coleridge's Biographia Literaria""): 35}",35,male,English,2
17,"Parker, Gilbert",19,34,"{(3746, 'The Judgment House'): 1, (6175, 'Pierre and His People: Tales of the Far North. Volume 2.'): 7, (6179, 'Pierre and His People: Tales of the Far North. Complete'): 3, (6190, 'Northern Lights, Volume 5.'): 1, (6197, ""Cumner's Son and Other South Sea Folk — Volume 03""): 3, (6198, ""Cumner's Son and Other South Sea Folk — Volume 04""): 1, (6201, ""Cumner's Son and Other South Sea Folk — Complete""): 2, (6213, 'The Translation of a Savage, Volume 3'): 2, (6219, 'The Trespasser, Volume 1'): 1, (6240, 'The Lane That Had No Turning, Volume 4'): 2, (6241, 'The Lane That Had No Turning, Complete'): 1, (6246, 'The Right of Way — Volume 04'): 3, (6249, 'The Right of Way — Complete'): 1, (6259, 'Donovan Pasha, and Some People of Egypt — Volume 4'): 1, (6263, 'The Weavers: a tale of England and Egypt of fifty years ago - Volume 2'): 1, (6264, 'The Weavers: a tale of England and Egypt of fifty years ago - Volume 4'): 1, (6267, 'The Weavers: a tale of England and Egypt of fifty years ago - Complete'): 1, (6281, 'The World for Sale, Volume 1.'): 1, (6282, 'The World for Sale, Volume 2.'): 1}",7,male,"Canadian, British",131
18,"Stevenson, Robert Louis",9,31,"{(387, 'Vailima Letters\r\nBeing Correspondence Addressed by Robert Louis Stevenson to Sidney Colvin, November 1890-October 1894'): 5, (425, 'Familiar Studies of Men and Books'): 2, (464, 'In the South Seas\r\nBeing an Account of Experiences and Observations in the Marquesas, Paumotus and Gilbert Islands in the Course of Two Cruises on the Yacht ""Casco"" (1888) and the Schooner ""Equator"" (1889)'): 11, (534, 'An Inland Voyage'): 1, (614, 'Across the Plains, with Other Memories and Essays'): 2, (622, 'The Letters of Robert Louis Stevenson — Volume 1'): 5, (2537, 'The Pocket R.L.S.: Being Favourite Passages from the Works of Stevenson'): 1, (30527, 'The Works of Robert Louis Stevenson - Swanston Edition, Vol. 02'): 3, (31557, 'The Works of Robert Louis Stevenson - Swanston Edition, Vol. 18'): 1}",11,male,Scottish,31
