,Published Year,Etext Number
0,1979,52532
1,1979,63675
2,1979,51039
3,1979,38035
4,1979,74349
5,1979,49581
6,1979,55375
7,1979,72903
8,1979,70589
9,1979,61896
10,1979,45760
11,1979,46038
12,1979,51226
13,1979,73997
14,1979,58009
15,1979,75179
16,1979,47113
17,1979,65512
18,1979,30875
19,1979,30589
20,1979,19878
21,1979,58962
22,1979,20221
23,1979,64964
24,1979,37568
25,1979,28059
26,1979,37735
27,1979,21442
28,1979,39778
29,1979,55432
30,1979,63119
31,1979,21029
32,1979,72061
33,1979,36817
34,1979,65287
35,1979,60272
36,1979,24586
37,1979,43505
38,1979,54632
39,1979,59721
40,1979,28456
41,1979,41200
42,1979,64219
43,1979,61433
44,1979,49980
45,1979,48645
46,1979,66137
47,1979,25041
48,1979,52845
49,1979,52939
50,1979,35752
51,1979,19202
52,1979,59837
53,1979,40366
54,1979,59867
55,1979,27221
56,1979,56621
57,1979,58042
58,1979,13285
59,1979,66181
60,1979,66767
61,1979,64074
62,1979,57159
63,1979,33899
64,1979,72987
65,1979,29074
66,1979,46560
67,1979,39655
68,1979,49699
69,1979,30066
70,1979,45132
71,1979,47655
72,1979,74360
73,1979,57614
74,1979,43876
75,1979,70535
76,1979,60894
77,1979,54189
78,1979,58861
79,1979,29299
80,1979,44837
81,1979,15917
82,1979,55247
83,1979,44444
84,1979,60070
85,1979,26475
86,1979,73641
87,1979,67851
88,1979,69105
89,1979,48235
90,1979,25664
91,1979,73663
92,1979,47157
93,1979,25947
94,1979,35997
95,1979,63554
96,1979,19448
97,1979,22739
98,1979,25940
99,1979,27529
100,1979,39015
101,1979,73964
102,1979,24682
103,1979,50026
104,1979,58839
105,1979,51668
106,1979,21510
107,1979,55910
108,1979,49348
109,1979,58422
110,1979,42041
111,1979,68713
112,1979,71410
113,1979,39833
114,1979,37309
115,1979,20734
116,1979,45347
117,1979,29984
118,1979,48016
119,1979,68762
120,1979,73932
121,1979,72886
122,1979,55472
123,1979,20432
124,1979,13930
125,1979,29385
126,1979,55381
127,1979,53858
128,1979,72265
129,1979,41921
130,1979,72953
131,1979,46921
132,1979,16872
133,1979,42821
134,1979,52231
135,1979,60852
136,1979,28422
137,1979,33805
138,1979,43520
139,1979,49466
140,1979,65867
141,1979,59737
142,1979,45981
143,1979,43602
144,1979,62068
145,1979,71893
146,1979,34269
147,1979,35952
148,1979,70622
149,1979,53652
150,1979,55478
151,1979,31718
152,1979,24947
153,1979,25389
154,1979,37636
155,1979,72694
156,1979,34902
157,1979,62714
158,1979,55964
159,1979,65132
160,1979,51976
161,1979,22675
162,1979,22049
163,1979,34368
164,1979,39595
165,1979,25611
166,1979,47273
167,1979,72735
168,1979,57325
169,1979,60389
170,1979,56764
171,1979,70981
172,1979,29572
173,1979,57806
174,1979,23204
175,1979,68573
176,1979,46394
177,1979,42229
178,1979,7053
179,1979,67548
180,1979,26062
181,1979,38691
182,1979,70726
183,1979,56165
184,1979,30370
185,1979,66113
186,1979,55168
187,1979,66451
188,1979,64279
189,1979,55427
190,1979,59971
191,1979,74445
192,1979,24656
193,1979,47055
194,1979,58246
195,1979,43237
196,1979,33914
197,1979,46040
198,1979,28116
199,1979,30938
200,1979,64515
201,1979,53072
202,1979,75131
203,1979,57740
204,1979,44175
205,1979,70019
206,1979,15304
207,1979,41774
208,1979,29020
209,1979,57022
210,1979,67152
211,1979,60740
212,1979,57189
213,1979,37778
214,1979,57098
215,1979,38008
216,1979,56576
217,1979,39875
218,1979,27476
219,1979,40932
220,1979,71021
221,1979,36954
222,1979,18912
223,1979,66192
224,1979,69648
225,1979,44785
226,1979,25506
227,1979,31835
228,1979,62663
229,1979,71961
230,1979,34689
231,1979,42549
232,1979,65564
233,1979,30437
234,1979,51875
235,1979,70991
236,1979,51285
237,1979,60230
238,1979,49238
239,1979,71696
240,1979,28667
241,1979,30180
242,1979,29664
243,1979,55560
244,1979,56462
245,1979,55403
246,1979,58783
247,1979,58715
248,1979,63241
249,1979,52371
250,1979,42434
251,1979,46289
252,1979,23147
253,1979,20504
254,1979,65265
255,1979,33956
256,1979,49055
257,1979,63394
258,1979,27494
259,1979,65425
260,1979,32762
261,1979,33609
262,1979,66252
263,1979,39844
264,1979,67246
265,1979,45502
266,1979,71186
267,1979,19006
268,1979,55129
269,1979,34804
270,1979,30130
271,1979,27394
272,1979,43347
273,1979,39918
274,1979,43369
275,1979,66002
276,1979,39606
