,Etext Number,Title,Authors,LoCC,Bookshelves,Subjects,rights,Published Year
0,1,The Declaration of Independence of the United States of America,"Jefferson, Thomas",E201; JK,Politics; American Revolutionary War; United States Law; Browsing: History - American; Browsing: History - Warfare; Browsing: Politics,"E201 ; JK ; United States -- History -- Revolution, 1775-1783 -- Sources ; United States. Declaration of Independence",Public domain in the USA.,1878
1,3,John F. Kennedy's Inaugural Address,"Kennedy, John F. (John Fitzgerald)",E838,Browsing: History - American; Browsing: Politics,E838 ; United States -- Foreign relations -- 1961-1963 ; Presidents -- United States -- Inaugural addresses,Public domain in the USA.,1776
2,5,The United States Constitution,United States,JK; KF,United States; Politics; American Revolutionary War; United States Law; Browsing: History - American; Browsing: Law & Criminology; Browsing: Politics,JK ; United States. Constitution ; United States -- Politics and government -- 1783-1789 -- Sources ; KF,Public domain in the USA.,1776
3,6,Give Me Liberty or Give Me Death,"Henry, Patrick",E201,American Revolutionary War; Browsing: History - American; Browsing: History - Warfare; Browsing: Politics,"E201 ; United States -- Politics and government -- 1775-1783 -- Sources ; Virginia -- Politics and government -- 1775-1783 -- Sources ; Speeches, addresses, etc., American",Public domain in the USA.,1878
4,8,Abraham Lincoln's Second Inaugural Address,"Lincoln, Abraham",E456,US Civil War; Browsing: History - American; Browsing: Politics,E456 ; United States -- Politics and government -- 1861-1865 ; Presidents -- United States -- Inaugural addresses,Public domain in the USA.,1861
5,9,Abraham Lincoln's First Inaugural Address,"Lincoln, Abraham",E456,US Civil War; Browsing: History - American; Browsing: Politics,E456 ; Presidents -- United States -- Inaugural addresses ; United States -- Politics and government -- 1861-1865,Public domain in the USA.,1851
6,10,The King James Version of the Bible,,BS,Banned Books List from the American Library Association; Browsing: History - Religious; Browsing: Religion/Spirituality/Paranormal,Bible ; BS,Public domain in the USA.,1863
7,11,Alice's Adventures in Wonderland,"Carroll, Lewis",PR; PZ,Children's Literature; Browsing: Children & Young Adult Reading; Browsing: Fiction,Imaginary places -- Juvenile fiction ; Children's stories ; PZ ; Alice (Fictitious character from Carroll) -- Juvenile fiction ; Fantasy fiction ; PR,Public domain in the USA.,1865
8,12,Through the Looking-Glass,"Carroll, Lewis",PR; PZ,Children's Literature; Best Books Ever Listings; Browsing: Children & Young Adult Reading; Browsing: Literature; Browsing: Fiction,Imaginary places -- Juvenile fiction ; Children's stories ; PZ ; Alice (Fictitious character from Carroll) -- Juvenile fiction ; Fantasy fiction ; PR,Public domain in the USA.,1871
9,13,The Hunting of the Snark: An Agony in Eight Fits,"Carroll, Lewis",PR,Children's Literature; Browsing: Children & Young Adult Reading; Browsing: Literature,"PR ; Nonsense verses, English",Public domain in the USA.,1876
