Book_ID,Title,Authors,LoCC,Keyword,Snippet
24,O Pioneers!,"Cather, Willa",PS,poppy,"contralto voice called, “Almost through, Emil?” He dropped his scythe and went toward the fence, wiping his face and neck with his handkerchief. In the cart sat a young woman who wore driving gauntlets and a wide shade hat, trimmed with red poppies. Her face, too, was rather like a poppy, round and brown, with rich color in her cheeks and lips, and her dancing yellow-brown eyes bubbled with gayety. The wind was flapping her big hat and teasing a curl of her chestnut-colored hair. She shook her head at the tall youth. “What time did you get over here? That’s"
24,O Pioneers!,"Cather, Willa",PS,poppy,"Marie took out a pan of delicate little rolls, stuffed with stewed apricots, and began to dust them over with powdered sugar. “I hope you’ll like these, Mrs. Lee; Alexandra does. The Bohemians always like them with their coffee. But if you don’t, I have a coffee-cake with nuts and poppy seeds. Alexandra, will you get the cream jug? I put it in the window to keep cool.” “The Bohemians,” said Alexandra, as they drew up to the table, “certainly know how to make more kinds of bread than any other people in the world. Old Mrs. Hiller told me once"
33,The Scarlet Letter,"Hawthorne, Nathaniel",PS,nepenthe,"his attention on the mother. With calm and intent scrutiny, he felt her pulse, looked into her eyes—a gaze that made her heart shrink and shudder, because so familiar, and yet so strange and cold—and, finally, satisfied with his investigation, proceeded to mingle another draught. “I know not Lethe nor Nepenthe,” remarked he; “but I have learned many new secrets in the wilderness, and here is one of them—a recipe that an Indian taught me, in requital of some lessons of my own, that were as old as Paracelsus. Drink it! It may be less soothing than a sinless conscience. That"
44,The Song of the Lark,"Cather, Willa",PS,opium,"resolutely and took Ray’s hand. “You ain’t scared now, are you?” he asked affectionately. “You were a regular brick to come, Thee. Did you get any breakfast?” “No, Ray, I’m not scared. Only I’m dreadful sorry you’re hurt, and I can’t help crying.” His broad, earnest face, languid from the opium and smiling with such simple happiness, reassured her. She drew nearer to him and lifted his hand to her knee. He looked at her with his clear, shallow blue eyes. How he loved everything about that face and head! How many nights in his cupola, looking up the track, he"
82,Ivanhoe: A Romance,"Scott, Walter",PR,narcotic,"shall send thee by the hand of Reuben, compose thyself again to rest, that thou mayest be the more able to endure the journey on the succeeding day.” Ivanhoe was convinced by the reasoning, and obeyed the directions, of Rebecca. The drought which Reuben administered was of a sedative and narcotic quality, and secured the patient sound and undisturbed slumbers. In the morning his kind physician found him entirely free from feverish symptoms, and fit to undergo the fatigue of a journey. He was deposited in the horse-litter which had brought him from the lists, and every precaution taken for his"
82,Ivanhoe: A Romance,"Scott, Walter",PR,opium,"they were guilty of by liberality to the church, stupefying by this means their terrors by the idea of atonement and forgiveness; and although the refuge which success thus purchased, was no more like to the peace of mind which follows on sincere repentance, than the turbid stupefaction procured by opium resembles healthy and natural slumbers, it was still a state of mind preferable to the agonies of awakened remorse. But among the vices of Front-de-Bœuf, a hard and griping man, avarice was predominant; and he preferred setting church and churchmen at defiance, to purchasing from them pardon and absolution at"
98,A Tale of Two Cities,"Dickens, Charles",PR,narcotic,"looked to the younger, who said haughtily, ‘There is a case of medicines here;’ and brought it from a closet, and put it on the table. ***** “I opened some of the bottles, smelt them, and put the stoppers to my lips. If I had wanted to use anything save narcotic medicines that were poisons in themselves, I would not have administered any of those. “‘Do you doubt them?’ asked the younger brother. “‘You see, monsieur, I am going to use them,’ I replied, and said no more. “I made the patient swallow, with great difficulty, and after many efforts, the"
98,A Tale of Two Cities,"Dickens, Charles",PR,laudanum,"eye upon your mother now and then, and if you see any signs of more flopping, give me a call. For, I tell you,” here he addressed his wife once more, “I won’t be gone agin, in this manner. I am as rickety as a hackney-coach, I’m as sleepy as laudanum, my lines is strained to that degree that I shouldn’t know, if it wasn’t for the pain in ’em, which was me and which somebody else, yet I’m none the better for it in pocket; and it’s my suspicion that you’ve been at it from morning to night to prevent"
119,A Tramp Abroad,"Twain, Mark",PS,paregoric,"for same 1 Barrel Sugar 2 Mosquito-nets 1 Keg Lemons 29 Tents 2,000 Cigars Scientific Instruments 1 Barrel Pies 97 Ice-axes 1 Ton of Pemmican 5 Cases Dynamite 143 Pair Crutches 7 Cans Nitroglycerin 2 Barrels Arnica 22 40-foot Ladders 1 Bale of Lint 2 Miles of Rope 27 Kegs Paregoric 154 Umbrellas It was full four o'clock in the afternoon before my cavalcade was entirely ready. At that hour it began to move. In point of numbers and spectacular effect, it was the most imposing expedition that had ever marched from Zermatt. I commanded the chief guide to arrange the"
119,A Tramp Abroad,"Twain, Mark",PS,paregoric,"The men pitched the tents with some little show of cheerfulness, and we were snugly under cover when the night shut down. I now reaped the reward of my wisdom in providing one article which is not mentioned in any book of Alpine adventure but this. I refer to the paregoric. But for that beneficent drug, would have not one of those men slept a moment during that fearful night. But for that gentle persuader they must have tossed, unsoothed, the night through; for the whiskey was for me. Yes, they would have risen in the morning unfitted for their heavy"
119,A Tramp Abroad,"Twain, Mark",PS,paregoric,"We went into camp on that wild spot to which that ram had brought us. The men were greatly fatigued. Their conviction that we were lost was forgotten in the cheer of a good supper, and before the reaction had a chance to set in, I loaded them up with paregoric and put them to bed. Next morning I was considering in my mind our desperate situation and trying to think of a remedy, when Harris came to me with a Baedeker map which showed conclusively that the mountain we were on was still in Switzerland--yes, every part of it was"
119,A Tramp Abroad,"Twain, Mark",PS,paregoric,"not one of them was able to do more than lie down or walk about; yet so effective was the arnica, that on the fourth all were able to sit up. I consider that, more than to anything else, I owe the success of our great undertaking to arnica and paregoric. My men are being restored to health and strength, my main perplexity, now, was how to get them down the mountain again. I was not willing to expose the brave fellows to the perils, fatigues, and hardships of that fearful route again if it could be helped. First I thought"
133,The Damnation of Theron Ware,"Frederic, Harold",PS,opium,"the whimsical half-smile. “I am increasing his dose monthly by regular stages, and the results promise to be rather remarkable. Heretofore, observations have been made mostly on diseased or morbidly deteriorated subjects. This fellow of mine is strong as an ox, perfectly nourished, and watched over intelligently. He can assimilate opium enough to kill you and me and every other vertebrate creature on the premises, without turning a hair, and he hasn't got even fairly under way yet.” The thing was unpleasant, and the young minister turned away. They walked together up the path toward the house. His mind was full"
139,The Lost World,"Doyle, Arthur Conan",PR,opium,"unique. It is incredible. No one on earth has ever dreamed of such a possibility. Now the next."" I turned it over, and gave an exclamation of surprise. There was a full-page picture of the most extraordinary creature that I had ever seen. It was the wild dream of an opium smoker, a vision of delirium. The head was like that of a fowl, the body that of a bloated lizard, the trailing tail was furnished with upward-turned spikes, and the curved back was edged with a high serrated fringe, which looked like a dozen cocks' wattles placed behind each other."
140,The Jungle,"Sinclair, Upton",PS,opium,"man holding out to you a finger rotting and discolored with gangrene—or one with livid scarlet wounds half escaped from their filthy bandages. These desperate ones were the dregs of the city’s cesspools, wretches who hid at night in the rain-soaked cellars of old ramshackle tenements, in “stale-beer dives” and opium joints, with abandoned women in the last stages of the harlot’s progress—women who had been kept by Chinamen and turned away at last to die. Every day the police net would drag hundreds of them off the streets, and in the detention hospital you might see them, herded together in"
140,The Jungle,"Sinclair, Upton",PS,morphine,"you been sick?” he asked. “Sick?” she said. “Hell!” (Marija had learned to scatter her conversation with as many oaths as a longshoreman or a mule driver.) “How can I ever be anything but sick, at this life?” She fell silent for a moment, staring ahead of her gloomily. “It’s morphine,” she said, at last. “I seem to take more of it every day.” “What’s that for?” he asked. “It’s the way of it; I don’t know why. If it isn’t that, it’s drink. If the girls didn’t booze they couldn’t stand it any time at all. And the madame always"
145,Middlemarch,"Eliot, George",PR,anodyne,"a very miry slough, that was in the midst of the plain; and they, being heedless, did both fall suddenly into the bog. The name of the slough was Despond.”—BUNYAN. When Rosamond was quiet, and Lydgate had left her, hoping that she might soon sleep under the effect of an anodyne, he went into the drawing-room to fetch a book which he had left there, meaning to spend the evening in his work-room, and he saw on the table Dorothea’s letter addressed to him. He had not ventured to ask Rosamond if Mrs. Casaubon had called, but the reading of this"
145,Middlemarch,"Eliot, George",PR,opium,"had sincerely tried many of them. He was not excessively fond of wine, but he had several times taken too much, simply as an experiment in that form of ecstasy; he had fasted till he was faint, and then supped on lobster; he had made himself ill with doses of opium. Nothing greatly original had resulted from these measures; and the effects of the opium had convinced him that there was an entire dissimilarity between his constitution and De Quincey’s. The superadded circumstance which would evolve the genius had not yet come; the universe had not yet beckoned. Even Caesar’s fortune"
145,Middlemarch,"Eliot, George",PR,opium,"he had several times taken too much, simply as an experiment in that form of ecstasy; he had fasted till he was faint, and then supped on lobster; he had made himself ill with doses of opium. Nothing greatly original had resulted from these measures; and the effects of the opium had convinced him that there was an entire dissimilarity between his constitution and De Quincey’s. The superadded circumstance which would evolve the genius had not yet come; the universe had not yet beckoned. Even Caesar’s fortune at one time was but a grand presentiment. We know what a masquerade all"
145,Middlemarch,"Eliot, George",PR,opium,"text—which side is injured? I support the man who supports their claims; not the virtuous upholder of the wrong.” “That general talk about a particular case is mere question begging, Ladislaw. When I say, I go in for the dose that cures, it doesn’t follow that I go in for opium in a given case of gout.” “I am not begging the question we are upon—whether we are to try for nothing till we find immaculate men to work with. Should you go on that plan? If there were one man who would carry you a medical reform and another who"
145,Middlemarch,"Eliot, George",PR,opium,"Under the first galling pressure of foreseen difficulties, and the first perception that his marriage, if it were not to be a yoked loneliness, must be a state of effort to go on loving without too much care about being loved, he had once or twice tried a dose of opium. But he had no hereditary constitutional craving after such transient escapes from the hauntings of misery. He was strong, could drink a great deal of wine, but did not care about it; and when the men round him were drinking spirits, he took sugar and water, having a contemptuous pity"
145,Middlemarch,"Eliot, George",PR,opium,"towards a beneficent result. The power he longed for could not be represented by agitated fingers clutching a heap of coin, or by the half-barbarous, half-idiotic triumph in the eyes of a man who sweeps within his arms the ventures of twenty chapfallen companions. But just as he had tried opium, so his thought now began to turn upon gambling—not with appetite for its excitement, but with a sort of wistful inward gaze after that easy way of getting money, which implied no asking and brought no responsibility. If he had been in London or Paris at that time, it is"
145,Middlemarch,"Eliot, George",PR,opium,"the publication of Dr. Ware’s abundant experience in America, as to the right way of treating cases of alcoholic poisoning such as this. Lydgate, when abroad, had already been interested in this question: he was strongly convinced against the prevalent practice of allowing alcohol and persistently administering large doses of opium; and he had repeatedly acted on this conviction with a favorable result. “The man is in a diseased state,” he thought, “but there’s a good deal of wear in him still. I suppose he is an object of charity to Bulstrode. It is curious what patches of hardness and tenderness"
145,Middlemarch,"Eliot, George",PR,opium,"and her husband are not experienced enough to be left quite alone, and this kind of responsibility is scarcely included in their service of me. You have some fresh instructions, I presume.” The chief new instruction that Lydgate had to give was on the administration of extremely moderate doses of opium, in case of the sleeplessness continuing after several hours. He had taken the precaution of bringing opium in his pocket, and he gave minute directions to Bulstrode as to the doses, and the point at which they should cease. He insisted on the risk of not ceasing; and repeated his"
