,Book_ID,Keyword,Full_Context
0,135,opium,"Joly and Bossuet to wine; Bossuet and Joly had conducted Grantaire back towards cheerfulness. As for Grantaire, he had got beyond wine, that merely moderate inspirer of dreams, ever since midday. Wine enjoys only a conventional popularity with serious drinkers. There is, in fact, in the matter of inebriety, white magic and black magic; wine is only white magic. Grantaire was a daring drinker of dreams. The blackness of a terrible fit of drunkenness yawning before him, far from arresting him, attracted him. He had abandoned the bottle and taken to the beerglass. The beer-glass is the abyss. Having neither opium nor hashish on hand, and being desirous of filling his brain with twilight, he had had recourse to that fearful mixture of brandy, stout, absinthe, which produces the most terrible of lethargies. It is of these three vapors, beer, brandy, and absinthe, that the lead of the soul is composed. They are three grooms; the celestial butterfly is drowned in them; and there are formed there in a membranous smoke, vaguely condensed into the wing of the bat, three mute furies, Nightmare, Night, and Death, which hover about the slumbering Psyche. Grantaire had not yet reached that lamentable phase; far"
1,135,poppy,"their head shouting: “Long live Poland!” They reached the Quai Morland. Cravatless, hatless, breathless, soaked by the rain, with lightning in their eyes. Gavroche accosted them calmly:— “Where are we going?” “Come along,” said Courfeyrac. Behind Feuilly marched, or rather bounded, Bahorel, who was like a fish in water in a riot. He wore a scarlet waistcoat, and indulged in the sort of words which break everything. His waistcoat astounded a passer-by, who cried in bewilderment:— “Here are the reds!” “The reds, the reds!” retorted Bahorel. “A queer kind of fear, bourgeois. For my part I don’t tremble before a poppy , the little red hat inspires me with no alarm. Take my advice, bourgeois, let’s leave fear of the red to horned cattle.” He caught sight of a corner of the wall on which was placarded the most peaceable sheet of paper in the world, a permission to eat eggs, a Lenten admonition addressed by the Archbishop of Paris to his “flock.” Bahorel exclaimed:— “‘Flock’; a polite way of saying geese.” And he tore the charge from the nail. This conquered Gavroche. From that instant Gavroche set himself to study Bahorel. “Bahorel,” observed Enjolras, “you are wrong. You should have"
2,135,narcotic,"was now summed up in two words; absolute uncertainty within an impenetrable fog. To see her once again; he still aspired to this, but he no longer expected it. To crown all, his poverty had returned. He felt that icy breath close to him, on his heels. In the midst of his torments, and long before this, he had discontinued his work, and nothing is more dangerous than discontinued work; it is a habit which vanishes. A habit which is easy to get rid of, and difficult to take up again. A certain amount of dreaming is good, like a narcotic in discreet doses. It lulls to sleep the fevers of the mind at labor, which are sometimes severe, and produces in the spirit a soft and fresh vapor which corrects the over-harsh contours of pure thought, fills in gaps here and there, binds together and rounds off the angles of the ideas. But too much dreaming sinks and drowns. Woe to the brain-worker who allows himself to fall entirely from thought into reverie! He thinks that he can re-ascend with equal ease, and he tells himself that, after all, it is the same thing. Error! Thought is the toil of"
3,135,narcotic,"the north end, one had on one’s left the four dormer-windows, on one’s right, facing the windows, at regular intervals, four square, tolerably vast cages, separated by narrow passages, built of masonry to about the height of the elbow, and the rest, up to the roof, of iron bars. Thénardier had been in solitary confinement in one of these cages since the night of the 3d of February. No one was ever able to discover how, and by what connivance, he succeeded in procuring, and secreting a bottle of wine, invented, so it is said, by Desrues, with which a narcotic is mixed, and which the band of the _Endormeurs_, or _Sleep-compellers_, rendered famous. There are, in many prisons, treacherous employees, half-jailers, half-thieves, who assist in escapes, who sell to the police an unfaithful service, and who turn a penny whenever they can. On that same night, then, when Little Gavroche picked up the two lost children, Brujon and Guelemer, who knew that Babet, who had escaped that morning, was waiting for them in the street as well as Montparnasse, rose softly, and with the nail which Brujon had found, began to pierce the chimney against which their beds stood. The"
4,103,opium,"train. Poor Passepartout, quite crestfallen, followed his master without a word. Fix was on the point of entering another carriage, when an idea struck him which induced him to alter his plan. “No, I’ll stay,” muttered he. “An offence has been committed on Indian soil. I’ve got my man.” Just then the locomotive gave a sharp screech, and the train passed out into the darkness of the night. CHAPTER XI. IN WHICH PHILEAS FOGG SECURES A CURIOUS MEANS OF CONVEYANCE AT A FABULOUS PRICE The train had started punctually. Among the passengers were a number of officers, Government officials, and opium and indigo merchants, whose business called them to the eastern coast. Passepartout rode in the same carriage with his master, and a third passenger occupied a seat opposite to them. This was Sir Francis Cromarty, one of Mr. Fogg’s whist partners on the “Mongolia,” now on his way to join his corps at Benares. Sir Francis was a tall, fair man of fifty, who had greatly distinguished himself in the last Sepoy revolt. He made India his home, only paying brief visits to England at rare intervals; and was almost as familiar as a native with the customs, history, and"
5,103,opium,"to be burned along with her husband’s body; but, as you may imagine, he refused. The woman left the town, took refuge with an independent rajah, and there carried out her self-devoted purpose.” While Sir Francis was speaking, the guide shook his head several times, and now said: “The sacrifice which will take place to-morrow at dawn is not a voluntary one.” “How do you know?” “Everybody knows about this affair in Bundelcund.” “But the wretched creature did not seem to be making any resistance,” observed Sir Francis. “That was because they had intoxicated her with fumes of hemp and opium .” “But where are they taking her?” “To the pagoda of Pillaji, two miles from here; she will pass the night there.” “And the sacrifice will take place—” “To-morrow, at the first light of dawn.” The guide now led the elephant out of the thicket, and leaped upon his neck. Just at the moment that he was about to urge Kiouni forward with a peculiar whistle, Mr. Fogg stopped him, and, turning to Sir Francis Cromarty, said, “Suppose we save this woman.” “Save the woman, Mr. Fogg!” “I have yet twelve hours to spare; I can devote them to that.”"
6,103,opium,"sleep, or was it safer to attempt to make a hole in the walls? This could only be determined at the moment and the place themselves; but it was certain that the abduction must be made that night, and not when, at break of day, the victim was led to her funeral pyre. Then no human intervention could save her. As soon as night fell, about six o’clock, they decided to make a reconnaissance around the pagoda. The cries of the fakirs were just ceasing; the Indians were in the act of plunging themselves into the drunkenness caused by liquid opium mingled with hemp, and it might be possible to slip between them to the temple itself. The Parsee, leading the others, noiselessly crept through the wood, and in ten minutes they found themselves on the banks of a small stream, whence, by the light of the rosin torches, they perceived a pyre of wood, on the top of which lay the embalmed body of the rajah, which was to be burned with his wife. The pagoda, whose minarets loomed above the trees in the deepening dusk, stood a hundred steps away. “Come!” whispered the guide. He slipped more cautiously than"
7,103,opium,"frightening the gulls which float upon its surface, the turtles swarming along its banks, and the faithful dwelling upon its borders? The panorama passed before their eyes like a flash, save when the steam concealed it fitfully from the view; the travellers could scarcely discern the fort of Chupenie, twenty miles south-westward from Benares, the ancient stronghold of the rajahs of Behar; or Ghazipur and its famous rose-water factories; or the tomb of Lord Cornwallis, rising on the left bank of the Ganges; the fortified town of Buxar, or Patna, a large manufacturing and trading-place, where is held the principal opium market of India; or Monghir, a more than European town, for it is as English as Manchester or Birmingham, with its iron foundries, edgetool factories, and high chimneys puffing clouds of black smoke heavenward. Night came on; the train passed on at full speed, in the midst of the roaring of the tigers, bears, and wolves which fled before the locomotive; and the marvels of Bengal, Golconda ruined Gour, Murshedabad, the ancient capital, Burdwan, Hugly, and the French town of Chandernagor, where Passepartout would have been proud to see his country’s flag flying, were hidden from their view in the"
8,103,opium,"all. It seemed to be the only possible means of keeping Phileas Fogg several days longer at Hong Kong. He accordingly invited his companion into a tavern which caught his eye on the quay. On entering, they found themselves in a large room handsomely decorated, at the end of which was a large camp-bed furnished with cushions. Several persons lay upon this bed in a deep sleep. At the small tables which were arranged about the room some thirty customers were drinking English beer, porter, gin, and brandy; smoking, the while, long red clay pipes stuffed with little balls of opium mingled with essence of rose. From time to time one of the smokers, overcome with the narcotic, would slip under the table, whereupon the waiters, taking him by the head and feet, carried and laid him upon the bed. The bed already supported twenty of these stupefied sots. Fix and Passepartout saw that they were in a smoking-house haunted by those wretched, cadaverous, idiotic creatures to whom the English merchants sell every year the miserable drug called opium, to the amount of one million four hundred thousand pounds—thousands devoted to one of the most despicable vices which afflict humanity! The"
9,103,opium,"thirty customers were drinking English beer, porter, gin, and brandy; smoking, the while, long red clay pipes stuffed with little balls of opium mingled with essence of rose. From time to time one of the smokers, overcome with the narcotic, would slip under the table, whereupon the waiters, taking him by the head and feet, carried and laid him upon the bed. The bed already supported twenty of these stupefied sots. Fix and Passepartout saw that they were in a smoking-house haunted by those wretched, cadaverous, idiotic creatures to whom the English merchants sell every year the miserable drug called opium , to the amount of one million four hundred thousand pounds—thousands devoted to one of the most despicable vices which afflict humanity! The Chinese government has in vain attempted to deal with the evil by stringent laws. It passed gradually from the rich, to whom it was at first exclusively reserved, to the lower classes, and then its ravages could not be arrested. Opium is smoked everywhere, at all times, by men and women, in the Celestial Empire; and, once accustomed to it, the victims cannot dispense with it, except by suffering horrible bodily contortions and agonies. A great smoker"
