Book_ID,Keyword,Etext Number,Authors,LoCC,Published Year,Author Gender,Assigned_Gender,Character_Name,Verb,Role,Agency,Power,Sentiment
15,opium,15,"Melville, Herman",PS,1851,male,Male,Whales,lose,agent,0.0,-1.0,0.1
15,opium,15,"Melville, Herman",PS,1851,male,Male,Whales,elude,theme,,,
15,paregoric,15,"Melville, Herman",PS,1851,male,Male,Stubb,stick,agent,1.0,,-0.233333333333
15,paregoric,15,"Melville, Herman",PS,1851,male,Male,Stubb,retard,theme,,,
15,paregoric,15,"Melville, Herman",PS,1851,male,Male,Stubb,have,agent,,,0.333333333333
15,paregoric,15,"Melville, Herman",PS,1851,male,Male,Stubb,think,agent,1.0,0.0,0.2
15,paregoric,15,"Melville, Herman",PS,1851,male,Male,Stubb,lose,agent,0.0,-1.0,0.1
15,laudanum,15,"Melville, Herman",PS,1851,male,Male,Jeroboam,nurture,theme,,,
15,laudanum,15,"Melville, Herman",PS,1851,male,Male,Jeroboam,carry,agent,1.0,1.0,0.3
15,laudanum,15,"Melville, Herman",PS,1851,male,Male,Jeroboam,seize,theme,,-1.0,-0.0333333333333
15,laudanum,15,"Melville, Herman",PS,1851,male,Male,Jeroboam,leave,agent,0.0,1.0,0.0666666666667
15,laudanum,15,"Melville, Herman",PS,1851,male,Male,Jeroboam,assume,agent,-1.0,1.0,0.233333333333
15,laudanum,15,"Melville, Herman",PS,1851,male,Male,Jeroboam,engage,theme,,-1.0,0.166666666667
15,laudanum,15,"Melville, Herman",PS,1851,male,Male,Jeroboam,announce,agent,1.0,-1.0,0.366666666667
15,laudanum,15,"Melville, Herman",PS,1851,male,Male,Jeroboam,command,theme,,-1.0,0.333333333333
15,laudanum,15,"Melville, Herman",PS,1851,male,Male,Jeroboam,publish,agent,1.0,1.0,0.6
15,laudanum,15,"Melville, Herman",PS,1851,male,Male,Jeroboam,set,agent,1.0,1.0,0.133333333333
44,opium,44,"Cather, Willa",PS,1915,female,Female,Kronborg,sit,agent,-1.0,,0.166666666667
44,opium,44,"Cather, Willa",PS,1915,female,Female,Kronborg,reassure,theme,,-1.0,0.566666666667
44,opium,44,"Cather, Willa",PS,1915,female,Female,Kronborg,draw,agent,1.0,1.0,0.1
95,narcotic,95,"Hope, Anthony",PR,1894,male,Male,Rupert Hentzau,ask,agent,1.0,-1.0,0.166666666667
95,narcotic,95,"Hope, Anthony",PR,1894,male,Male,Rupert Hentzau,fear,theme,,1.0,-0.533333333333
95,narcotic,95,"Hope, Anthony",PR,1894,male,Male,Rupert Hentzau,know,agent,-1.0,1.0,0.5
98,narcotic,98,"Dickens, Charles",PR,1859,male,Male,Anonymous,look,agent,0.0,0.0,0.333333333333
98,narcotic,98,"Dickens, Charles",PR,1859,male,Male,Anonymous,ask,theme,,1.0,0.2
110,narcotic,110,"Hardy, Thomas",PR,1919,male,Male,Tess Durbeyfield,leave,agent,0.0,1.0,0.0666666666667
110,narcotic,110,"Hardy, Thomas",PR,1919,male,Male,Tess Durbeyfield,put,agent,0.0,1.0,0.266666666667
110,narcotic,110,"Hardy, Thomas",PR,1919,male,Male,Tess Durbeyfield,wish,agent,-1.0,-1.0,0.6
110,narcotic,110,"Hardy, Thomas",PR,1919,male,Male,Tess Durbeyfield,ask,agent,1.0,-1.0,0.166666666667
110,narcotic,110,"Hardy, Thomas",PR,1919,male,Male,Tess Durbeyfield,watch,agent,0.0,1.0,0.6
119,paregoric,119,"Twain, Mark",PS,1880,male,Male,Harris,take,agent,1.0,0.0,0.6
119,paregoric,119,"Twain, Mark",PS,1880,male,Male,Harris,tow,theme,,-1.0,
119,paregoric,119,"Twain, Mark",PS,1880,male,Male,Anonymous,miss,agent,-1.0,-1.0,0.266666666667
133,opium,133,"Frederic, Harold",PS,1896,male,Male,Anonymous,inscribe,agent,,,
133,opium,133,"Frederic, Harold",PS,1896,male,Male,Anonymous,point,agent,,,0.166666666667
133,opium,133,"Frederic, Harold",PS,1896,male,Male,Anonymous,explain,agent,1.0,-1.0,0.433333333333
133,opium,133,"Frederic, Harold",PS,1896,male,Male,Anonymous,assimilate,agent,,,
133,opium,133,"Frederic, Harold",PS,1896,male,Male,Anonymous,get,agent,1.0,1.0,0.333333333333
133,opium,133,"Frederic, Harold",PS,1896,male,Male,Anonymous,sympathize,agent,,,
133,opium,133,"Frederic, Harold",PS,1896,male,Male,Anonymous,feel,agent,0.0,0.0,0.366666666667
140,morphine,140,"Sinclair, Upton",PS,1905,male,Female,Anonymous,say,agent,1.0,0.0,0.166666666667
140,morphine,140,"Sinclair, Upton",PS,1905,male,Female,Anonymous,fall,agent,1.0,,0.0333333333333
140,morphine,140,"Sinclair, Upton",PS,1905,male,Female,Anonymous,say,agent,1.0,0.0,0.166666666667
140,morphine,140,"Sinclair, Upton",PS,1905,male,Female,Anonymous,give,agent,1.0,1.0,0.4
145,opium,145,"Eliot, George",PR,1871,female,Male,Will,have,agent,,,0.333333333333
145,opium,145,"Eliot, George",PR,1871,female,Male,Will,fast,agent,1.0,,
145,opium,145,"Eliot, George",PR,1871,female,Male,Will,make,agent,1.0,1.0,0.1
145,opium,145,"Eliot, George",PR,1871,female,Male,Will,convince,theme,,-1.0,0.4
145,opium,145,"Eliot, George",PR,1871,female,Male,Farebrother,sustain,theme,,-1.0,0.233333333333
145,opium,145,"Eliot, George",PR,1871,female,Male,Farebrother,try,agent,1.0,0.0,0.266666666667
145,opium,145,"Eliot, George",PR,1871,female,Male,Farebrother,have,agent,,,0.333333333333
145,opium,145,"Eliot, George",PR,1871,female,Male,Farebrother,round,theme,,0.0,0.166666666667
145,opium,145,"Eliot, George",PR,1871,female,Male,Farebrother,take,agent,1.0,0.0,0.6
