,Book_ID,Keyword,Full_Context
0,24,poppy,"had been mowing the better part of an hour, he heard the rattle of a light cart on the road behind him. Supposing that it was his sister coming back from one of her farms, he kept on with his work. The cart stopped at the gate and a merry contralto voice called, “Almost through, Emil?” He dropped his scythe and went toward the fence, wiping his face and neck with his handkerchief. In the cart sat a young woman who wore driving gauntlets and a wide shade hat, trimmed with red poppies. Her face, too, was rather like a poppy , round and brown, with rich color in her cheeks and lips, and her dancing yellow-brown eyes bubbled with gayety. The wind was flapping her big hat and teasing a curl of her chestnut-colored hair. She shook her head at the tall youth. “What time did you get over here? That’s not much of a job for an athlete. Here I’ve been to town and back. Alexandra lets you sleep late. Oh, I know! Lou’s wife was telling me about the way she spoils you. I was going to give you a lift, if you were done.” She gathered up"
1,24,poppy,"Marie bent down and opened the oven door. A delicious hot fragrance blew out into the tidy kitchen. “My, somet’ing smell good!” She turned to Alexandra with a wink, her three yellow teeth making a brave show, “I ta-ank dat stop my yaw from ache no more!” she said contentedly. Marie took out a pan of delicate little rolls, stuffed with stewed apricots, and began to dust them over with powdered sugar. “I hope you’ll like these, Mrs. Lee; Alexandra does. The Bohemians always like them with their coffee. But if you don’t, I have a coffee-cake with nuts and poppy seeds. Alexandra, will you get the cream jug? I put it in the window to keep cool.” “The Bohemians,” said Alexandra, as they drew up to the table, “certainly know how to make more kinds of bread than any other people in the world. Old Mrs. Hiller told me once at the church supper that she could make seven kinds of fancy bread, but Marie could make a dozen.” Mrs. Lee held up one of the apricot rolls between her brown thumb and forefinger and weighed it critically. “Yust like-a fedders,” she pronounced with satisfaction. “My, a-an’t dis nice!” she"
2,36,black smoke,"below the house were burning while I did this, and the palings up the road glowed red. While I was occupied in this way, one of the dismounted hussars came running up. He was going from house to house, warning people to leave. He was going on as I came out of my front door, lugging my treasures, done up in a tablecloth. I shouted after him: “What news?” He turned, stared, bawled something about “crawling out in a thing like a dish cover,” and ran on to the gate of the house at the crest. A sudden whirl of black smoke driving across the road hid him for a moment. I ran to my neighbour’s door and rapped to satisfy myself of what I already knew, that his wife had gone to London with him and had locked up their house. I went in again, according to my promise, to get my servant’s box, lugged it out, clapped it beside her on the tail of the dog cart, and then caught the reins and jumped up into the driver’s seat beside my wife. In another moment we were clear of the smoke and noise, and spanking down the opposite slope of"
3,36,black smoke,"her on the tail of the dog cart, and then caught the reins and jumped up into the driver’s seat beside my wife. In another moment we were clear of the smoke and noise, and spanking down the opposite slope of Maybury Hill towards Old Woking. In front was a quiet sunny landscape, a wheat field ahead on either side of the road, and the Maybury Inn with its swinging sign. I saw the doctor’s cart ahead of me. At the bottom of the hill I turned my head to look at the hillside I was leaving. Thick streamers of black smoke shot with threads of red fire were driving up into the still air, and throwing dark shadows upon the green treetops eastward. The smoke already extended far away to the east and west—to the Byfleet pine woods eastward, and to Woking on the west. The road was dotted with people running towards us. And very faint now, but very distinct through the hot, quiet air, one heard the whirr of a machine-gun that was presently stilled, and an intermittent cracking of rifles. Apparently the Martians were setting fire to everything within range of their Heat-Ray. I am not an expert"
4,36,black smoke,"smoke already extended far away to the east and west—to the Byfleet pine woods eastward, and to Woking on the west. The road was dotted with people running towards us. And very faint now, but very distinct through the hot, quiet air, one heard the whirr of a machine-gun that was presently stilled, and an intermittent cracking of rifles. Apparently the Martians were setting fire to everything within range of their Heat-Ray. I am not an expert driver, and I had immediately to turn my attention to the horse. When I looked back again the second hill had hidden the black smoke . I slashed the horse with the whip, and gave him a loose rein until Woking and Send lay between us and that quivering tumult. I overtook and passed the doctor between Woking and Send. X. IN THE STORM. Leatherhead is about twelve miles from Maybury Hill. The scent of hay was in the air through the lush meadows beyond Pyrford, and the hedges on either side were sweet and gay with multitudes of dog-roses. The heavy firing that had broken out while we were driving down Maybury Hill ceased as abruptly as it began, leaving the evening very peaceful"
5,36,black smoke,"grey, magnified by the mist. They had passed by me, and two were stooping over the frothing, tumultuous ruins of their comrade. The third and fourth stood beside him in the water, one perhaps two hundred yards from me, the other towards Laleham. The generators of the Heat-Rays waved high, and the hissing beams smote down this way and that. The air was full of sound, a deafening and confusing conflict of noises—the clangorous din of the Martians, the crash of falling houses, the thud of trees, fences, sheds flashing into flame, and the crackling and roaring of fire. Dense black smoke was leaping up to mingle with the steam from the river, and as the Heat-Ray went to and fro over Weybridge its impact was marked by flashes of incandescent white, that gave place at once to a smoky dance of lurid flames. The nearer houses still stood intact, awaiting their fate, shadowy, faint and pallid in the steam, with the fire behind them going to and fro. For a moment perhaps I stood there, breast-high in the almost boiling water, dumbfounded at my position, hopeless of escape. Through the reek I could see the people who had been with me"
6,36,black smoke,"questions, dressing hastily as the first breath of the coming storm of Fear blew through the streets. It was the dawn of the great panic. London, which had gone to bed on Sunday night oblivious and inert, was awakened, in the small hours of Monday morning, to a vivid sense of danger. Unable from his window to learn what was happening, my brother went down and out into the street, just as the sky between the parapets of the houses grew pink with the early dawn. The flying people on foot and in vehicles grew more numerous every moment. “ Black Smoke !” he heard people crying, and again “Black Smoke!” The contagion of such a unanimous fear was inevitable. As my brother hesitated on the door-step, he saw another newsvendor approaching, and got a paper forthwith. The man was running away with the rest, and selling his papers for a shilling each as he ran—a grotesque mingling of profit and panic. And from this paper my brother read that catastrophic dispatch of the Commander-in-Chief: “The Martians are able to discharge enormous clouds of a black and poisonous vapour by means of rockets. They have smothered our batteries, destroyed Richmond, Kingston, and"
7,36,black smoke,"the coming storm of Fear blew through the streets. It was the dawn of the great panic. London, which had gone to bed on Sunday night oblivious and inert, was awakened, in the small hours of Monday morning, to a vivid sense of danger. Unable from his window to learn what was happening, my brother went down and out into the street, just as the sky between the parapets of the houses grew pink with the early dawn. The flying people on foot and in vehicles grew more numerous every moment. “Black Smoke!” he heard people crying, and again “ Black Smoke !” The contagion of such a unanimous fear was inevitable. As my brother hesitated on the door-step, he saw another newsvendor approaching, and got a paper forthwith. The man was running away with the rest, and selling his papers for a shilling each as he ran—a grotesque mingling of profit and panic. And from this paper my brother read that catastrophic dispatch of the Commander-in-Chief: “The Martians are able to discharge enormous clouds of a black and poisonous vapour by means of rockets. They have smothered our batteries, destroyed Richmond, Kingston, and Wimbledon, and are advancing slowly towards London, destroying"
8,36,black smoke,"door-step, he saw another newsvendor approaching, and got a paper forthwith. The man was running away with the rest, and selling his papers for a shilling each as he ran—a grotesque mingling of profit and panic. And from this paper my brother read that catastrophic dispatch of the Commander-in-Chief: “The Martians are able to discharge enormous clouds of a black and poisonous vapour by means of rockets. They have smothered our batteries, destroyed Richmond, Kingston, and Wimbledon, and are advancing slowly towards London, destroying everything on the way. It is impossible to stop them. There is no safety from the Black Smoke but in instant flight.” That was all, but it was enough. The whole population of the great six-million city was stirring, slipping, running; presently it would be pouring _en masse_ northward. “Black Smoke!” the voices cried. “Fire!” The bells of the neighbouring church made a jangling tumult, a cart carelessly driven smashed, amid shrieks and curses, against the water trough up the street. Sickly yellow lights went to and fro in the houses, and some of the passing cabs flaunted unextinguished lamps. And overhead the dawn was growing brighter, clear and steady and calm. He heard footsteps running to and"
9,36,black smoke,"and panic. And from this paper my brother read that catastrophic dispatch of the Commander-in-Chief: “The Martians are able to discharge enormous clouds of a black and poisonous vapour by means of rockets. They have smothered our batteries, destroyed Richmond, Kingston, and Wimbledon, and are advancing slowly towards London, destroying everything on the way. It is impossible to stop them. There is no safety from the Black Smoke but in instant flight.” That was all, but it was enough. The whole population of the great six-million city was stirring, slipping, running; presently it would be pouring _en masse_ northward. “ Black Smoke !” the voices cried. “Fire!” The bells of the neighbouring church made a jangling tumult, a cart carelessly driven smashed, amid shrieks and curses, against the water trough up the street. Sickly yellow lights went to and fro in the houses, and some of the passing cabs flaunted unextinguished lamps. And overhead the dawn was growing brighter, clear and steady and calm. He heard footsteps running to and fro in the rooms, and up and down stairs behind him. His landlady came to the door, loosely wrapped in dressing gown and shawl; her husband followed, ejaculating. As my brother began"
