Unnamed: 0,Book_ID,Keyword,Snippet,Etext Number,Authors,LoCC,Published Year,Author Gender,Assigned_Gender,Character_Name
0,15,opium,"they would rather not see whales than otherwise. But all in vain; those young Platonists have a notion that their vision is imperfect; they are short-sighted; what use, then, to strain the visual nerve? They have left their opera-glasses at home. “Why, thou monkey,” said a harpooneer to one of these lads, “we’ve been cruising now hard upon three years, and thou hast not raised a whale yet. Whales are scarce as hen’s teeth whenever thou art up here.” Perhaps they were; or perhaps there might have been shoals of them in the far horizon; but lulled into such an opium -like listlessness of vacant, unconscious reverie is this absent-minded youth by the blending cadence of waves with thoughts, that at last he loses his identity; takes the mystic ocean at his feet for the visible image of that deep, blue, bottomless soul, pervading mankind and nature; and every strange, half-seen, gliding, beautiful thing that eludes him; every dimly-discovered, uprising fin of some undiscernible form, seems to him the embodiment of those elusive thoughts that only people the soul by continually flitting through it. In this enchanted mood, thy spirit ebbs away to whence it came; becomes diffused through time and",15,"Melville, Herman",PS,1851,male,Male,Whales
1,15,paregoric,"questionable; for it is not customary for such venerable leviathans to be at all social. Nevertheless, he stuck to their wake, though indeed their back water must have retarded him, because the white-bone or swell at his broad muzzle was a dashed one, like the swell formed when two hostile currents meet. His spout was short, slow, and laborious; coming forth with a choking sort of gush, and spending itself in torn shreds, followed by strange subterranean commotions in him, which seemed to have egress at his other buried extremity, causing the waters behind him to upbubble. “Who’s got some paregoric ?” said Stubb, “he has the stomach-ache, I’m afraid. Lord, think of having half an acre of stomach-ache! Adverse winds are holding mad Christmas in him, boys. It’s the first foul wind I ever knew to blow from astern; but look, did ever whale yaw so before? it must be, he’s lost his tiller.” As an overladen Indiaman bearing down the Hindostan coast with a deck load of frightened horses, careens, buries, rolls, and wallows on her way; so did this old whale heave his aged bulk, and now and then partly turning over on his cumbrous rib-ends, expose the",15,"Melville, Herman",PS,1851,male,Male,Stubb
2,15,laudanum,"previous when the Pequod spoke the Town-Ho. According to this account and what was subsequently learned, it seemed that the scaramouch in question had gained a wonderful ascendency over almost everybody in the Jeroboam. His story was this: He had been originally nurtured among the crazy society of Neskyeuna Shakers, where he had been a great prophet; in their cracked, secret meetings having several times descended from heaven by the way of a trap-door, announcing the speedy opening of the seventh vial, which he carried in his vest-pocket; but, which, instead of containing gunpowder, was supposed to be charged with laudanum . A strange, apostolic whim having seized him, he had left Neskyeuna for Nantucket, where, with that cunning peculiar to craziness, he assumed a steady, common sense exterior and offered himself as a green-hand candidate for the Jeroboam’s whaling voyage. They engaged him; but straightway upon the ship’s getting out of sight of land, his insanity broke out in a freshet. He announced himself as the archangel Gabriel, and commanded the captain to jump overboard. He published his manifesto, whereby he set himself forth as the deliverer of the isles of the sea and vicar-general of all Oceanica. The unflinching",15,"Melville, Herman",PS,1851,male,Male,Jeroboam
3,44,opium,"and scared you! Nothing to cry about. I’m the same old goods, only a little dented. Sit down on my coat there, and keep me company. I’ve got to lay still a bit.” Dr. Archie and Mr. Kronborg disappeared. Thea cast a timid glance after them, but she sat down resolutely and took Ray’s hand. “You ain’t scared now, are you?” he asked affectionately. “You were a regular brick to come, Thee. Did you get any breakfast?” “No, Ray, I’m not scared. Only I’m dreadful sorry you’re hurt, and I can’t help crying.” His broad, earnest face, languid from the opium and smiling with such simple happiness, reassured her. She drew nearer to him and lifted his hand to her knee. He looked at her with his clear, shallow blue eyes. How he loved everything about that face and head! How many nights in his cupola, looking up the track, he had seen that face in the darkness; through the sleet and snow, or in the soft blue air when the moonlight slept on the desert. “You needn’t bother to talk, Thee. The doctor’s medicine makes me sort of dopey. But it’s nice to have company. Kind of cozy, don’t you",44,"Cather, Willa",PS,1915,female,Female,Kronborg
4,95,narcotic,"that?” he asked. “Why this,” I answered. “That I shall ill requite the very great honours Ruritania has done me if I depart from it leaving one of those Six alive--neither with the help of God, will I.” And Sapt shook my hand on that. CHAPTER 13 An Improvement on Jacob’s Ladder In the morning of the day after that on which I swore my oath against the Six, I gave certain orders, and then rested in greater contentment than I had known for some time. I was at work; and work, though it cannot cure love, is yet a narcotic to it; so that Sapt, who grew feverish, marvelled to see me sprawling in an armchair in the sunshine, listening to one of my friends who sang me amorous songs in a mellow voice and induced in me a pleasing melancholy. Thus was I engaged when young Rupert Hentzau, who feared neither man nor devil, and rode through the demesne--where every tree might hide a marksman, for all he knew--as though it had been the park at Strelsau, cantered up to where I lay, bowing with burlesque deference, and craving private speech with me in order to deliver a message",95,"Hope, Anthony",PR,1894,male,Male,Rupert Hentzau
5,98,laudanum,"putting on his clothes, “if I ain’t, what with piety and one blowed thing and another, been choused this last week into as bad luck as ever a poor devil of a honest tradesman met with! Young Jerry, dress yourself, my boy, and while I clean my boots keep a eye upon your mother now and then, and if you see any signs of more flopping, give me a call. For, I tell you,” here he addressed his wife once more, “I won’t be gone agin, in this manner. I am as rickety as a hackney-coach, I’m as sleepy as laudanum , my lines is strained to that degree that I shouldn’t know, if it wasn’t for the pain in ’em, which was me and which somebody else, yet I’m none the better for it in pocket; and it’s my suspicion that you’ve been at it from morning to night to prevent me from being the better for it in pocket, and I won’t put up with it, Aggerawayter, and what do you say now!” Growling, in addition, such phrases as “Ah! yes! You’re religious, too. You wouldn’t put yourself in opposition to the interests of your husband and child, would",98,"Dickens, Charles",PR,1859,male,Unknown,Anonymous
6,98,narcotic,"my hands upon her breast, ‘how useless I am, as you have brought me! If I had known what I was coming to see, I could have come provided. As it is, time must be lost. There are no medicines to be obtained in this lonely place.’ “The elder brother looked to the younger, who said haughtily, ‘There is a case of medicines here;’ and brought it from a closet, and put it on the table. ***** “I opened some of the bottles, smelt them, and put the stoppers to my lips. If I had wanted to use anything save narcotic medicines that were poisons in themselves, I would not have administered any of those. “‘Do you doubt them?’ asked the younger brother. “‘You see, monsieur, I am going to use them,’ I replied, and said no more. “I made the patient swallow, with great difficulty, and after many efforts, the dose that I desired to give. As I intended to repeat it after a while, and as it was necessary to watch its influence, I then sat down by the side of the bed. There was a timid and suppressed woman in attendance (wife of the man down-stairs), who had",98,"Dickens, Charles",PR,1859,male,Male,Anonymous
7,110,narcotic,"I can find.” Stoke d’Urberville took her back to the lawn and into the tent, where he left her, soon reappearing with a basket of light luncheon, which he put before her himself. It was evidently the gentleman’s wish not to be disturbed in this pleasant _tête-à-tête_ by the servantry. “Do you mind my smoking?” he asked. “Oh, not at all, sir.” He watched her pretty and unconscious munching through the skeins of smoke that pervaded the tent, and Tess Durbeyfield did not divine, as she innocently looked down at the roses in her bosom, that there behind the blue narcotic haze was potentially the “tragic mischief” of her drama—one who stood fair to be the blood-red ray in the spectrum of her young life. She had an attribute which amounted to a disadvantage just now; and it was this that caused Alec d’Urberville’s eyes to rivet themselves upon her. It was a luxuriance of aspect, a fulness of growth, which made her appear more of a woman than she really was. She had inherited the feature from her mother without the quality it denoted. It had troubled her mind occasionally, till her companions had said that it was a fault",110,"Hardy, Thomas",PR,1919,male,Male,Tess Durbeyfield
8,119,paregoric,"Artist 1 Latinist TRANSPORTATION, ETC. 27 Porters 3 Coarse Washers and Ironers 44 Mules 1 Fine ditto 44 Muleteers 7 Cows 2 Milkers Total, 154 men, 51 animals. Grand Total, 205. RATIONS, ETC. APPARATUS 16 Cases Hams 25 Spring Mattresses 2 Barrels Flour 2 Hair ditto 22 Barrels Whiskey Bedding for same 1 Barrel Sugar 2 Mosquito-nets 1 Keg Lemons 29 Tents 2,000 Cigars Scientific Instruments 1 Barrel Pies 97 Ice-axes 1 Ton of Pemmican 5 Cases Dynamite 143 Pair Crutches 7 Cans Nitroglycerin 2 Barrels Arnica 22 40-foot Ladders 1 Bale of Lint 2 Miles of Rope 27 Kegs Paregoric 154 Umbrellas It was full four o'clock in the afternoon before my cavalcade was entirely ready. At that hour it began to move. In point of numbers and spectacular effect, it was the most imposing expedition that had ever marched from Zermatt. I commanded the chief guide to arrange the men and animals in single file, twelve feet apart, and lash them all together on a strong rope. He objected that the first two miles was a dead level, with plenty of room, and that the rope was never used except in very dangerous places. But I would not listen",119,"Twain, Mark",PS,1880,male,Unknown (Proper Noun),Anonymous
9,119,paregoric,"us for quite a siege--and did they suppose Zermatt would allow half a mile of men and mules to mysteriously disappear during any considerable time, right above their noses, and make no inquiries? No, Zermatt would send out searching-expeditions and we should be saved. This speech had a great effect. The men pitched the tents with some little show of cheerfulness, and we were snugly under cover when the night shut down. I now reaped the reward of my wisdom in providing one article which is not mentioned in any book of Alpine adventure but this. I refer to the paregoric . But for that beneficent drug, would have not one of those men slept a moment during that fearful night. But for that gentle persuader they must have tossed, unsoothed, the night through; for the whiskey was for me. Yes, they would have risen in the morning unfitted for their heavy task. As it was, everybody slept but my agent and me--only we and the barkeepers. I would not permit myself to sleep at such a time. I considered myself responsible for all those lives. I meant to be on hand and ready, in case of avalanches up there, but",119,"Twain, Mark",PS,1880,male,Male,Anonymous
