bertopic_topic,n_snippets,n_books,mean_probability,top_terms
-1,2381,1243,0.12684211667209877,"jasper, chinaman, says, arm, knowledge, experience, tobacco, poison, edwin, soft, answered, suppose"
0,1212,721,0.398704921993433,"won, says, suppose, don know, isn, answered, couldn, ask, wouldn, ain, wasn, nodded"
1,470,258,0.48807853200532203,"coleridge, quincey, literature, poetry, literary, genius, confessions, author, works, prose, poets, poet"
2,259,67,0.2882830604371936,"poisoning, administered, witness, poison, symptoms, bliss, quantity, expert, professor, pupils, testimony, grains"
3,250,202,0.4343623890773577,"loved, jocelyn, remorse, grief, knowledge, bitter, mary, mildred, awful, fate, hoped, hopeless"
4,163,115,0.4349814585604991,"bowl, containing, label, arm, bunks, max, covered, tray, contained, oriental, piece, key"
5,140,92,0.4440777332435225,"result, keith, gathered, noise, hearts, everybody, foreigners, members, dens, dick, objected, thieves"
6,135,106,0.4952395218935958,"hath, hast, holy, sing, song, tis, sky, gods, stars, prophet, balm, forest"
7,110,83,0.4686757763988696,"sky, huge, purple, doors, perfume, grotesque, scarlet, aromatic, moon, silver, market, gilded"
8,63,46,0.5548286670988599,"carter, charles, coleridge, essays, thomas, william, confessions, quincey, poems, english eater, introduction, confessions english"
9,52,43,0.7196968261341106,"belle, parent, wrong, mildred, jocelyn, rossetti, roger, talked, steadily, disaster, plan, lover"
10,50,41,0.7191861028571072,"paused, anthony, aunt, sofa, parlour, expression, emily, nurse, stage, pearls, maid, stairs"
11,44,32,0.8068028530887063,"experience, unconsciousness, host, feelings, dislike, unwilling, recovery, disappointment, source, distinct, reflection, meal"
12,41,25,0.8140933004343577,"dollars, officers, customs, ship, steamer, chinamen, crew, negro, coast, states, junk, chinatown"
