topic,top_terms
-1,"jasper, chinaman, says, arm, knowledge, experience, tobacco, poison, edwin, soft, answered, suppose"
0,"won, says, suppose, don know, isn, answered, couldn, ask, wouldn, ain, wasn, nodded"
1,"coleridge, quincey, literature, poetry, literary, genius, confessions, author, works, prose, poets, poet"
2,"poisoning, administered, witness, poison, symptoms, bliss, quantity, expert, professor, pupils, testimony, grains"
3,"loved, jocelyn, remorse, grief, knowledge, bitter, mary, mildred, awful, fate, hoped, hopeless"
4,"bowl, containing, label, arm, bunks, max, covered, tray, contained, oriental, piece, key"
5,"result, keith, gathered, noise, hearts, everybody, foreigners, members, dens, dick, objected, thieves"
6,"hath, hast, holy, sing, song, tis, sky, gods, stars, prophet, balm, forest"
7,"sky, huge, purple, doors, perfume, grotesque, scarlet, aromatic, moon, silver, market, gilded"
8,"carter, charles, coleridge, essays, thomas, william, confessions, quincey, poems, english eater, introduction, confessions english"
9,"belle, parent, wrong, mildred, jocelyn, rossetti, roger, talked, steadily, disaster, plan, lover"
10,"paused, anthony, aunt, sofa, parlour, expression, emily, nurse, stage, pearls, maid, stairs"
11,"experience, unconsciousness, host, feelings, dislike, unwilling, recovery, disappointment, source, distinct, reflection, meal"
12,"dollars, officers, customs, ship, steamer, chinamen, crew, negro, coast, states, junk, chinatown"
