Assigned_Gender_Group,LoCC_Display,Period,n_sentence_contexts,n_snippets,n_books,outlier_share
Male,PR,1881-1911,278,230,146,0.0
Male,PR,1912-1930,239,188,100,0.0
Male,PS,1912-1930,214,161,97,0.0
Male,PS,1881-1911,158,138,95,0.0
Male,PR,1850-1880,116,86,47,0.0
Female,PS,1881-1911,45,33,27,0.0
Female,PR,1881-1911,43,40,36,0.0
Male,PS,1850-1880,43,39,32,0.0
Female,PS,1912-1930,31,27,25,0.0
Female,PR,1912-1930,30,29,24,0.0
Female,PR,1850-1880,12,10,9,0.0
Female,PS,1850-1880,9,7,7,0.0
Male,PR; PS,1912-1930,7,2,1,0.0
Male,PR; PS,1881-1911,7,5,1,0.0
Male,PR; PZ,1850-1880,6,4,3,0.0
Male,PN; PR,1881-1911,5,5,2,0.0
Female,AC; PS,1850-1880,4,2,1,0.0
Male,PZ; PS,1881-1911,4,4,1,0.0
Male,PQ; PR,1912-1930,3,1,1,0.0
Male,PR; PZ,1881-1911,3,3,3,0.0
Female,PR; PZ,1850-1880,3,3,3,0.0
Male,E151; PS,1912-1930,2,1,1,0.0
Female,PR; PZ,1881-1911,2,2,2,0.0
Female,AC; PR,1912-1930,1,1,1,0.0
Male,DS; PR,1881-1911,1,1,1,0.0
Male,AC; PS,1850-1880,1,1,1,0.0
Male,AC; PR,1912-1930,1,1,1,0.0
Male,F850.5; PS,1850-1880,1,1,1,0.0
