Author_Gender_Group,LoCC_Display,Period,n_sentence_contexts,n_snippets,n_books,outlier_share
Male,PR,1881-1911,322,261,160,0.0
Male,PR,1912-1930,260,212,98,0.0
Male,PS,1912-1930,235,180,95,0.0
Male,PS,1881-1911,233,190,120,0.0
Male,PR,1850-1880,126,90,47,0.0
Female,PR,1881-1911,85,79,49,0.0
Female,PS,1881-1911,53,49,37,0.0
Male,PS,1850-1880,44,37,29,0.0
Female,PS,1912-1930,34,31,27,0.0
Female,PR,1850-1880,31,29,14,0.0
Female,PR,1912-1930,29,27,24,0.0
Female,PS,1850-1880,17,15,10,0.0
Male,PR; PZ,1850-1880,10,9,5,0.0
Male,PR; PS,1912-1930,9,3,1,0.0
Male,AC; PS,1850-1880,7,5,1,0.0
Male,PR; PZ,1881-1911,6,6,6,0.0
Female,PN; PR,1881-1911,4,4,1,0.0
Male,AC; PR,1912-1930,4,3,1,0.0
Female,PZ; PS,1881-1911,4,4,1,0.0
Male,PQ; PR,1912-1930,3,1,1,0.0
Male,DA; PR,1881-1911,3,1,1,0.0
Male,E151; PS,1912-1930,2,1,1,0.0
Male,DS; PR,1881-1911,2,2,1,0.0
Male,PN; PR,1881-1911,1,1,1,0.0
Male,PN; PR,1850-1880,1,1,1,0.0
Female,PZ; PS,1912-1930,1,1,1,0.0
Female,PZ; PS,1850-1880,1,1,1,0.0
