LoCC_Display,n_sentence_contexts,n_snippets,n_books,outlier_share
PR,8947,2652,1065,0.47781379233262544
PS,7716,2294,1010,0.4918351477449456
PR; PZ,121,40,18,0.49586776859504134
AC; PS,90,27,1,0.5333333333333333
PZ; PS,89,29,14,0.6179775280898876
PR; PS,57,14,4,0.40350877192982454
HV; PS,39,11,1,0.1794871794871795
AC; PR,27,9,1,0.48148148148148145
PN; PR,27,9,5,0.37037037037037035
DA; PR,18,5,3,0.6666666666666666
DS; PR,15,3,1,0.8
BF; E151; PS,10,3,1,0.4
CT; PR,10,3,3,0.5
F850.5; PS,9,3,1,0.6666666666666666
BR; PR,3,1,1,0.0
PR; Z,3,1,1,0.0
PR; SB,3,1,1,0.6666666666666666
PR; QL,3,1,1,1.0
PR; QH,3,1,1,0.6666666666666666
BF; PR,3,1,1,0.6666666666666666
DR; PS,3,1,1,0.3333333333333333
PR; D501,3,1,1,0.3333333333333333
ND; PR,3,1,1,0.3333333333333333
F1001; PS,3,1,1,0.6666666666666666
E456; PS,3,1,1,0.6666666666666666
E151; PS,3,1,1,0.3333333333333333
DU; PR,3,1,1,0.3333333333333333
PQ; PR,3,1,1,0.3333333333333333
