Assigned_Gender_Group,LoCC_Display,Period,bertopic_topic,topic_label,n_documents,group_total,topic_share
Male,PZ; PS,1912-1930,0,Topic 0: Opium and self-conscience,1,1,1.0
Male,PZ; PS,1881-1911,9,Topic 9: An illegal marchandise,3,5,0.6
Male,PZ; PS,1881-1911,0,Topic 0: Opium and self-conscience,1,5,0.2
Male,PZ; PS,1881-1911,1,Topic 1: Opium as a smoking habit,1,5,0.2
Male,PS,1912-1930,1,Topic 1: Opium as a smoking habit,77,287,0.2682926829268293
Male,PS,1912-1930,0,Topic 0: Opium and self-conscience,65,287,0.2264808362369338
Male,PS,1912-1930,9,Topic 9: An illegal marchandise,49,287,0.17073170731707318
Male,PS,1912-1930,6,Topic 6: The power of the stimulant,28,287,0.0975609756097561
Male,PS,1912-1930,13,Topic 13: Through olfaction,24,287,0.08362369337979095
Male,PS,1912-1930,8,Topic 8: Pain and sorrow,16,287,0.05574912891986063
Male,PS,1912-1930,15,Topic 15: De Quincey's book as a reference,9,287,0.0313588850174216
Male,PS,1912-1930,4,Topic 4: Opium as a dream/vision inducer,8,287,0.027874564459930314
Male,PS,1912-1930,19,Topic 19: Poison,8,287,0.027874564459930314
Male,PS,1912-1930,16,Topic 16: Refering to Coleridge himself,3,287,0.010452961672473868
Male,PS,1881-1911,0,Topic 0: Opium and self-conscience,64,238,0.2689075630252101
Male,PS,1881-1911,1,Topic 1: Opium as a smoking habit,54,238,0.226890756302521
Male,PS,1881-1911,6,Topic 6: The power of the stimulant,26,238,0.1092436974789916
Male,PS,1881-1911,9,Topic 9: An illegal marchandise,23,238,0.09663865546218488
Male,PS,1881-1911,8,Topic 8: Pain and sorrow,17,238,0.07142857142857142
Male,PS,1881-1911,19,Topic 19: Poison,17,238,0.07142857142857142
Male,PS,1881-1911,4,Topic 4: Opium as a dream/vision inducer,16,238,0.06722689075630252
Male,PS,1881-1911,13,Topic 13: Through olfaction,14,238,0.058823529411764705
Male,PS,1881-1911,15,Topic 15: De Quincey's book as a reference,6,238,0.025210084033613446
Male,PS,1881-1911,16,Topic 16: Refering to Coleridge himself,1,238,0.004201680672268907
Male,PS,1850-1880,0,Topic 0: Opium and self-conscience,16,68,0.23529411764705882
Male,PS,1850-1880,1,Topic 1: Opium as a smoking habit,11,68,0.16176470588235295
Male,PS,1850-1880,9,Topic 9: An illegal marchandise,11,68,0.16176470588235295
Male,PS,1850-1880,4,Topic 4: Opium as a dream/vision inducer,9,68,0.1323529411764706
Male,PS,1850-1880,8,Topic 8: Pain and sorrow,6,68,0.08823529411764706
Male,PS,1850-1880,19,Topic 19: Poison,5,68,0.07352941176470588
