Author_Gender_Group,bertopic_topic,topic_label,n_documents,group_total,topic_share
Unknown,0,"0: habit, smoking, drug, eater, doc",77,992,0.07762096774193548
Unknown,8,"8: poetry, poems, literary, book, poet",61,992,0.06149193548387097
Unknown,2,"2: dream, god, fear, art, church",59,992,0.059475806451612906
Unknown,1,"1: truth, kai lung, power, kai, story",49,992,0.04939516129032258
Unknown,10,"10: drink, wine, brandy, poison, drunk",45,992,0.04536290322580645
Unknown,21,"21: quincey, eater, thomas quincey, confessions, english eater",43,992,0.04334677419354839
Unknown,18,"18: coleridge, wordsworth, southey, sqq, gillman",37,992,0.037298387096774195
Unknown,5,"5: doctor, physician, fever, ill, patient",33,992,0.03326612903225806
Unknown,12,"12: captain, ship, colonel, schooner, ships",33,992,0.03326612903225806
Unknown,7,"7: diphtheria, died, sloane, death, caused death",31,992,0.03125
Unknown,6,"6: rita, gretna, mollie, mollie gretna, insane",30,992,0.03024193548387097
Unknown,3,"3: bottle, dose, drops, doctor, chemist",28,992,0.028225806451612902
Unknown,4,"4: face, door, eyes, chair, head",28,992,0.028225806451612902
Unknown,9,"9: sound, trees, atmosphere, forest, air",27,992,0.02721774193548387
Unknown,24,"24: confessions, english eater, confessions english eater, confessions english, eater",27,992,0.02721774193548387
Unknown,17,"17: smell, odour, fumes, bowl, pipe",26,992,0.02620967741935484
Unknown,13,"13: stimulant, powerful, drug, effects, effect",24,992,0.024193548387096774
Unknown,27,"27: dream, dreams, visions, delirium, ruby",22,992,0.02217741935483871
Unknown,43,"43: white bees, bees, sweet, love, song",22,992,0.02217741935483871
Unknown,23,"23: dens, den, scandal, smuggle, smuggling",20,992,0.020161290322580645
Unknown,16,"16: pain, sorrow, healing, prove, suffering",19,992,0.019153225806451613
Unknown,31,"31: sleep, possibly accident, tired, horseback, slept",19,992,0.019153225806451613
Unknown,32,"32: money, business, dollars, revenue, shillings week",19,992,0.019153225806451613
Unknown,11,"11: eaters, use, years, possible, time temporally",18,992,0.018145161290322582
Unknown,15,"15: admit, assure, doubt, certina, true got",17,992,0.017137096774193547
Unknown,22,"22: whispered, tears, lips, helen, eyes",17,992,0.017137096774193547
Unknown,19,"19: sleep, slept, awake, sleeping, gerald",16,992,0.016129032258064516
Unknown,33,"33: bottle, esther, vial, suicide, belt",15,992,0.015120967741935484
Unknown,38,"38: hilda, sleep, deep sleep, potency fell deep, crushing brows",13,992,0.01310483870967742
Unknown,20,"20: father, mocking, coaxed, night occur, eagerly crouched bed",12,992,0.012096774193548387
Unknown,40,"40: william, dickens, classics, thomas, english",12,992,0.012096774193548387
