Author_Gender_Group,LoCC_Display,Period,bertopic_topic,topic_label,n_documents,group_total,topic_share
Male,PS,1912-1930,1,Opium as a smoking habit,62,235,0.26382978723404255
Male,PS,1912-1930,9,An illegal marchandise,52,235,0.22127659574468084
Male,PS,1912-1930,6,The power of the stimulant,31,235,0.13191489361702127
Male,PS,1912-1930,8,Pain and sorrow,30,235,0.1276595744680851
Male,PS,1912-1930,13,Through olfaction,30,235,0.1276595744680851
Male,PS,1912-1930,19,Poison,17,235,0.07234042553191489
Male,PS,1912-1930,15,De Quincey's book as a reference,10,235,0.0425531914893617
Male,PS,1912-1930,16,Refering to Coleridge himself,3,235,0.01276595744680851
Male,PS,1881-1911,1,Opium as a smoking habit,44,233,0.1888412017167382
Male,PS,1881-1911,19,Poison,44,233,0.1888412017167382
Male,PS,1881-1911,9,An illegal marchandise,41,233,0.1759656652360515
Male,PS,1881-1911,13,Through olfaction,32,233,0.13733905579399142
Male,PS,1881-1911,8,Pain and sorrow,31,233,0.13304721030042918
Male,PS,1881-1911,6,The power of the stimulant,28,233,0.12017167381974249
Male,PS,1881-1911,15,De Quincey's book as a reference,11,233,0.04721030042918455
Male,PS,1881-1911,16,Refering to Coleridge himself,2,233,0.008583690987124463
Male,PS,1850-1880,9,An illegal marchandise,11,44,0.25
Male,PS,1850-1880,13,Through olfaction,8,44,0.18181818181818182
Male,PS,1850-1880,8,Pain and sorrow,7,44,0.1590909090909091
Male,PS,1850-1880,1,Opium as a smoking habit,6,44,0.13636363636363635
Male,PS,1850-1880,19,Poison,6,44,0.13636363636363635
Male,PS,1850-1880,15,De Quincey's book as a reference,4,44,0.09090909090909091
Male,PS,1850-1880,6,The power of the stimulant,2,44,0.045454545454545456
Male,PR; PZ,1881-1911,6,The power of the stimulant,3,6,0.5
Male,PR; PZ,1881-1911,9,An illegal marchandise,2,6,0.3333333333333333
Male,PR; PZ,1881-1911,1,Opium as a smoking habit,1,6,0.16666666666666666
Male,PR; PZ,1850-1880,9,An illegal marchandise,6,10,0.6
Male,PR; PZ,1850-1880,19,Poison,2,10,0.2
Male,PR; PZ,1850-1880,6,The power of the stimulant,1,10,0.1
Male,PR; PZ,1850-1880,8,Pain and sorrow,1,10,0.1
Male,PR; PS,1912-1930,15,De Quincey's book as a reference,7,9,0.7777777777777778
Male,PR; PS,1912-1930,1,Opium as a smoking habit,1,9,0.1111111111111111
Male,PR; PS,1912-1930,16,Refering to Coleridge himself,1,9,0.1111111111111111
Male,PR,1912-1930,1,Opium as a smoking habit,68,260,0.26153846153846155
Male,PR,1912-1930,13,Through olfaction,43,260,0.16538461538461538
Male,PR,1912-1930,15,De Quincey's book as a reference,42,260,0.16153846153846155
Male,PR,1912-1930,8,Pain and sorrow,33,260,0.12692307692307692
Male,PR,1912-1930,6,The power of the stimulant,22,260,0.08461538461538462
Male,PR,1912-1930,16,Refering to Coleridge himself,20,260,0.07692307692307693
Male,PR,1912-1930,9,An illegal marchandise,16,260,0.06153846153846154
Male,PR,1912-1930,19,Poison,16,260,0.06153846153846154
Male,PR,1881-1911,1,Opium as a smoking habit,72,322,0.2236024844720497
