Period,bertopic_topic,topic_label,n_documents,group_total,topic_share
1912-1930,1,Opium as a smoking habit,180,751,0.2396804260985353
1912-1930,15,De Quincey's book as a reference,104,751,0.1384820239680426
1912-1930,13,Through olfaction,100,751,0.13315579227696406
1912-1930,8,Pain and sorrow,98,751,0.13049267643142476
1912-1930,9,An illegal marchandise,91,751,0.12117177097203728
1912-1930,6,The power of the stimulant,85,751,0.11318242343541944
1912-1930,16,Refering to Coleridge himself,51,751,0.06790945406125166
1912-1930,19,Poison,42,751,0.0559254327563249
1881-1911,1,Opium as a smoking habit,173,746,0.23190348525469168
1881-1911,6,The power of the stimulant,117,746,0.15683646112600536
1881-1911,8,Pain and sorrow,103,746,0.1380697050938338
1881-1911,9,An illegal marchandise,101,746,0.1353887399463807
1881-1911,13,Through olfaction,71,746,0.09517426273458444
1881-1911,19,Poison,71,746,0.09517426273458444
1881-1911,16,Refering to Coleridge himself,58,746,0.0777479892761394
1881-1911,15,De Quincey's book as a reference,52,746,0.06970509383378017
1850-1880,1,Opium as a smoking habit,55,274,0.20072992700729927
1850-1880,16,Refering to Coleridge himself,45,274,0.16423357664233576
1850-1880,6,The power of the stimulant,41,274,0.14963503649635038
1850-1880,8,Pain and sorrow,37,274,0.13503649635036497
1850-1880,9,An illegal marchandise,35,274,0.12773722627737227
1850-1880,19,Poison,25,274,0.09124087591240876
1850-1880,13,Through olfaction,18,274,0.06569343065693431
1850-1880,15,De Quincey's book as a reference,18,274,0.06569343065693431
