Unnamed: 0,Book_ID,Keyword,Snippet,Etext Number,Authors,LoCC,Published Year,Author Gender,Assigned_Gender,Character_Name,snippet_id,document,LoCC_group,Period,sentence_id,sentence_number,contains_target_term,near_target_term,bertopic_topic,bertopic_topic_probability,model_group
0,15,opium,"“Why, thou monkey,” said a harpooneer to one of these lads, “we’ve been cruising now hard upon three years, and thou hast not raised a whale yet.",15,"Melville, Herman",PS,1851,male,Male,Whales,0,why thou monkey said a harpooneer to one of these lads we ve been cruising now hard upon three years and thou hast not raised a whale yet,American Literature,1850-1880,0_3,3,False,True,9,0.4093263674867373,context_leaf_mcs60_ms1_nn10
0,15,opium,"Whales are scarce as hen’s teeth whenever thou art up here.” Perhaps they were; or perhaps there might have been shoals of them in the far horizon; but lulled into such an opium -like listlessness of vacant, unconscious reverie is this absent-minded youth by the blending cadence of waves with thoughts, that at last he loses his identity; takes the mystic ocean at his feet for the visible image of that deep, blue, bottomless soul, pervading mankind and nature; and every strange, half-seen, gliding, beautiful thing that eludes him; every dimly-discovered, uprising fin of some undiscernible form, seems to him the embodiment of those elusive thoughts that only people the soul by continually flitting through it.",15,"Melville, Herman",PS,1851,male,Male,Whales,0,whales are scarce as hen s teeth whenever thou art up here perhaps they were or perhaps there might have been shoals of them in the far horizon but lulled into such an opium like listlessness of vacant unconscious reverie is this absent minded youth by the blending cadence of waves with thoughts that at last he loses his identity takes the mystic ocean at his feet for the visible image of that deep blue bottomless soul pervading mankind and nature and every strange half seen gliding beautiful thing that eludes him every dimly discovered uprising fin of some undiscernible form seems to him the embodiment of those elusive thoughts that only people the soul by continually flitting through it,American Literature,1850-1880,0_4,4,True,True,-1,0.0,context_leaf_mcs60_ms1_nn10
0,15,opium,"In this enchanted mood, thy spirit ebbs away to whence it came; becomes diffused through time and",15,"Melville, Herman",PS,1851,male,Male,Whales,0,in this enchanted mood thy spirit ebbs away to whence it came becomes diffused through time and,American Literature,1850-1880,0_5,5,False,True,44,0.8382873352346161,context_leaf_mcs60_ms1_nn10
1,15,paregoric,"His spout was short, slow, and laborious; coming forth with a choking sort of gush, and spending itself in torn shreds, followed by strange subterranean commotions in him, which seemed to have egress at his other buried extremity, causing the waters behind him to upbubble.",15,"Melville, Herman",PS,1851,male,Male,Stubb,1,his spout was short slow and laborious coming forth with a choking sort of gush and spending itself in torn shreds followed by strange subterranean commotions in him which seemed to have egress at his other buried extremity causing the waters behind him to upbubble,American Literature,1850-1880,1_2,2,False,True,-1,0.0,context_leaf_mcs60_ms1_nn10
1,15,paregoric,"“Who’s got some paregoric ?” said Stubb, “he has the stomach-ache, I’m afraid.",15,"Melville, Herman",PS,1851,male,Male,Stubb,1,who s got some paregoric said stubb he has the stomach ache i m afraid,American Literature,1850-1880,1_3,3,True,True,-1,0.0,context_leaf_mcs60_ms1_nn10
1,15,paregoric,"Lord, think of having half an acre of stomach-ache!",15,"Melville, Herman",PS,1851,male,Male,Stubb,1,lord think of having half an acre of stomach ache,American Literature,1850-1880,1_4,4,False,True,-1,0.0,context_leaf_mcs60_ms1_nn10
2,15,laudanum,"According to this account and what was subsequently learned, it seemed that the scaramouch in question had gained a wonderful ascendency over almost everybody in the Jeroboam.",15,"Melville, Herman",PS,1851,male,Male,Jeroboam,2,according to this account and what was subsequently learned it seemed that the scaramouch in question had gained a wonderful ascendency over almost everybody in the jeroboam,American Literature,1850-1880,2_1,1,False,True,-1,0.0,context_leaf_mcs60_ms1_nn10
2,15,laudanum,"His story was this: He had been originally nurtured among the crazy society of Neskyeuna Shakers, where he had been a great prophet; in their cracked, secret meetings having several times descended from heaven by the way of a trap-door, announcing the speedy opening of the seventh vial, which he carried in his vest-pocket; but, which, instead of containing gunpowder, was supposed to be charged with laudanum .",15,"Melville, Herman",PS,1851,male,Male,Jeroboam,2,his story was this he had been originally nurtured among the crazy society of neskyeuna shakers where he had been a great prophet in their cracked secret meetings having several times descended from heaven by the way of a trap door announcing the speedy opening of the seventh vial which he carried in his vest pocket but which instead of containing gunpowder was supposed to be charged with laudanum,American Literature,1850-1880,2_2,2,True,True,22,0.8137474497589313,context_leaf_mcs60_ms1_nn10
2,15,laudanum,"A strange, apostolic whim having seized him, he had left Neskyeuna for Nantucket, where, with that cunning peculiar to craziness, he assumed a steady, common sense exterior and offered himself as a green-hand candidate for the Jeroboam’s whaling voyage.",15,"Melville, Herman",PS,1851,male,Male,Jeroboam,2,a strange apostolic whim having seized him he had left neskyeuna for nantucket where with that cunning peculiar to craziness he assumed a steady common sense exterior and offered himself as a green hand candidate for the jeroboam s whaling voyage,American Literature,1850-1880,2_3,3,False,True,9,0.9063329934590988,context_leaf_mcs60_ms1_nn10
3,44,opium,"Did you get any breakfast?” “No, Ray, I’m not scared.",44,"Cather, Willa",PS,1915,female,Female,Kronborg,3,did you get any breakfast no ray i m not scared,American Literature,1912-1930,3_6,6,False,True,-1,0.0,context_leaf_mcs60_ms1_nn10
3,44,opium,"Only I’m dreadful sorry you’re hurt, and I can’t help crying.” His broad, earnest face, languid from the opium and smiling with such simple happiness, reassured her.",44,"Cather, Willa",PS,1915,female,Female,Kronborg,3,only i m dreadful sorry you re hurt and i can t help crying his broad earnest face languid from the opium and smiling with such simple happiness reassured her,American Literature,1912-1930,3_7,7,True,True,38,1.0,context_leaf_mcs60_ms1_nn10
3,44,opium,She drew nearer to him and lifted his hand to her knee.,44,"Cather, Willa",PS,1915,female,Female,Kronborg,3,she drew nearer to him and lifted his hand to her knee,American Literature,1912-1930,3_8,8,False,True,-1,0.0,context_leaf_mcs60_ms1_nn10
4,95,narcotic,"CHAPTER 13 An Improvement on Jacob’s Ladder In the morning of the day after that on which I swore my oath against the Six, I gave certain orders, and then rested in greater contentment than I had known for some time.",95,"Hope, Anthony",PR,1894,male,Male,Rupert Hentzau,4,chapter an improvement on jacob s ladder in the morning of the day after that on which i swore my oath against the six i gave certain orders and then rested in greater contentment than i had known for some time,English Literature,1881-1911,4_1,1,False,True,-1,0.0,context_leaf_mcs60_ms1_nn10
4,95,narcotic,"I was at work; and work, though it cannot cure love, is yet a narcotic to it; so that Sapt, who grew feverish, marvelled to see me sprawling in an armchair in the sunshine, listening to one of my friends who sang me amorous songs in a mellow voice and induced in me a pleasing melancholy.",95,"Hope, Anthony",PR,1894,male,Male,Rupert Hentzau,4,i was at work and work though it cannot cure love is yet a narcotic to it so that sapt who grew feverish marvelled to see me sprawling in an armchair in the sunshine listening to one of my friends who sang me amorous songs in a mellow voice and induced in me a pleasing melancholy,English Literature,1881-1911,4_2,2,True,True,4,0.6682425633838046,context_leaf_mcs60_ms1_nn10
4,95,narcotic,"Thus was I engaged when young Rupert Hentzau, who feared neither man nor devil, and rode through the demesne--where every tree might hide a marksman, for all he knew--as though it had been the park at Strelsau, cantered up to where I lay, bowing with burlesque deference, and craving private speech with me in order to deliver a message",95,"Hope, Anthony",PR,1894,male,Male,Rupert Hentzau,4,thus was i engaged when young rupert hentzau who feared neither man nor devil and rode through the demesne where every tree might hide a marksman for all he knew as though it had been the park at strelsau cantered up to where i lay bowing with burlesque deference and craving private speech with me in order to deliver a message,English Literature,1881-1911,4_3,3,False,True,-1,0.0,context_leaf_mcs60_ms1_nn10
5,98,laudanum,"For, I tell you,” here he addressed his wife once more, “I won’t be gone agin, in this manner.",98,"Dickens, Charles",PR,1859,male,Unknown,Anonymous,5,for i tell you here he addressed his wife once more i won t be gone agin in this manner,English Literature,1850-1880,5_2,2,False,True,-1,0.0,context_leaf_mcs60_ms1_nn10
5,98,laudanum,"I am as rickety as a hackney-coach, I’m as sleepy as laudanum , my lines is strained to that degree that I shouldn’t know, if it wasn’t for the pain in ’em, which was me and which somebody else, yet I’m none the better for it in pocket; and it’s my suspicion that you’ve been at it from morning to night to prevent me from being the better for it in pocket, and I won’t put up with it, Aggerawayter, and what do you say now!” Growling, in addition, such phrases as “Ah!",98,"Dickens, Charles",PR,1859,male,Unknown,Anonymous,5,i am as rickety as a hackney coach i m as sleepy as laudanum my lines is strained to that degree that i shouldn t know if it wasn t for the pain in em which was me and which somebody else yet i m none the better for it in pocket and it s my suspicion that you ve been at it from morning to night to prevent me from being the better for it in pocket and i won t put up with it aggerawayter and what do you say now growling in addition such phrases as ah,English Literature,1850-1880,5_3,3,True,True,-1,0.0,context_leaf_mcs60_ms1_nn10
5,98,laudanum,"You wouldn’t put yourself in opposition to the interests of your husband and child, would",98,"Dickens, Charles",PR,1859,male,Unknown,Anonymous,5,you wouldn t put yourself in opposition to the interests of your husband and child would,English Literature,1850-1880,5_4,4,False,True,57,1.0,context_leaf_mcs60_ms1_nn10
6,98,narcotic,"***** “I opened some of the bottles, smelt them, and put the stoppers to my lips.",98,"Dickens, Charles",PR,1859,male,Male,Anonymous,6,i opened some of the bottles smelt them and put the stoppers to my lips,English Literature,1850-1880,6_4,4,False,True,35,1.0,context_leaf_mcs60_ms1_nn10
