model_group,bertopic_topic,n_documents,mean_probability,n_books,top_terms
context_leaf_mcs60_ms1_nn10,-1,8749,0.0,1971,"eyes, room, night, old, face, life, long, good, away, woman, hand, house"
context_leaf_mcs60_ms1_nn10,0,420,0.877932605017874,299,"felt, evil, life, energy, misery, mind, conscience, failure, power, seldom, knew, constantly"
context_leaf_mcs60_ms1_nn10,1,408,0.864351630958215,210,"habit, ali, eater, eating, smoker, neuralgia, money, knew, excusable, large quantities, smoking, dupe"
context_leaf_mcs60_ms1_nn10,2,352,0.5892760798414955,211,"doctor, physician, fever, medical, patient, surgeon, ill, disease, symptoms, morrhage, severe, wounds"
context_leaf_mcs60_ms1_nn10,3,315,0.6267734265867942,197,"rita, husband, insane, leroux, smuggling, thousand pounds, eater, poppies, smoked, pipe, wild, denise ryland"
context_leaf_mcs60_ms1_nn10,4,297,0.8607237605451635,209,"sleep, nightmare, dream, dreams, mac, asleep, tired, vividly, sleep nightmare, possibly accident, awake, night"
context_leaf_mcs60_ms1_nn10,5,259,0.8136909054833905,206,"chair, eyes, bed, breathing, face, robe, turned, foot, hat, head, gaston, coat"
context_leaf_mcs60_ms1_nn10,6,243,0.7997791633033102,205,"stimulant, powerful, effects, drug, effect, began, fell fast, practise, influence, sleep, administered, lungs"
context_leaf_mcs60_ms1_nn10,7,239,0.8746965612530021,197,"trees, atmosphere, forest, sun, hills, bird, roof, air, breeze, sky, flowers, summer"
context_leaf_mcs60_ms1_nn10,8,238,0.8019097303459465,196,"pain, sorrow, healing, eve, friendship, labor, nobly, love, despair, lulled, prove, suffering"
context_leaf_mcs60_ms1_nn10,9,227,0.7286528544372285,139,"ship, captain, schooner, smugglers, island, ships, skipper, boats, mutiny, shore, vessel, boat"
context_leaf_mcs60_ms1_nn10,10,209,0.8176267347264701,143,"admit, let leave matters, leave matters, equally continuance wise, mess readily, wisdom great, legitimate results later, wise prove, equally continuance, assumed admit best, wisdom great reply, reason existence"
context_leaf_mcs60_ms1_nn10,11,204,0.9337260279235152,122,"dens, smokers, den, cocaine, nirvana, pipes, laid love, single pipe, single pipe smoked, new york, york, sale"
context_leaf_mcs60_ms1_nn10,12,194,0.9105498182359368,140,"wine, drink, drunk, brandy, cup, drinking, water, alcohol, coffee, pour, whisky, drunkard"
