topic,top_terms
-1,"eyes, room, night, old, face, life, long, good, away, woman, hand, house"
0,"felt, evil, life, energy, misery, mind, conscience, failure, power, seldom, knew, constantly"
1,"habit, ali, eater, eating, smoker, neuralgia, money, knew, excusable, large quantities, smoking, dupe"
2,"doctor, physician, fever, medical, patient, surgeon, ill, disease, symptoms, morrhage, severe, wounds"
3,"rita, husband, insane, leroux, smuggling, thousand pounds, eater, poppies, smoked, pipe, wild, denise ryland"
4,"sleep, nightmare, dream, dreams, mac, asleep, tired, vividly, sleep nightmare, possibly accident, awake, night"
5,"chair, eyes, bed, breathing, face, robe, turned, foot, hat, head, gaston, coat"
6,"stimulant, powerful, effects, drug, effect, began, fell fast, practise, influence, sleep, administered, lungs"
7,"trees, atmosphere, forest, sun, hills, bird, roof, air, breeze, sky, flowers, summer"
8,"pain, sorrow, healing, eve, friendship, labor, nobly, love, despair, lulled, prove, suffering"
9,"ship, captain, schooner, smugglers, island, ships, skipper, boats, mutiny, shore, vessel, boat"
10,"admit, let leave matters, leave matters, equally continuance wise, mess readily, wisdom great, legitimate results later, wise prove, equally continuance, assumed admit best, wisdom great reply, reason existence"
11,"dens, smokers, den, cocaine, nirvana, pipes, laid love, single pipe, single pipe smoked, new york, york, sale"
12,"wine, drink, drunk, brandy, cup, drinking, water, alcohol, coffee, pour, whisky, drunkard"
13,"odour, smell, fumes, heavy, odor, pipe, incense, bowl, lamp, air, room, heavy odour"
14,"misery, joy, life, passions, spiritual, peace, human, sham, rhythm, immortal, happy, earth"
15,"quincey, thomas quincey, eater, confessions, english eater, confessions english eater, confessions english, thomas, english, quincey confessions, quincey confessions english, eater thomas"
16,"coleridge, wordsworth, cottle, southey, gillman, wordsworth coleridge, coleridge wordsworth, coleridge coleridge, coleridge habit, contributions, addiction, merry england"
17,"betteredge, subject diamond, told, rumours, untouched, betteredge unoccupied moment, wanted company dropped, unoccupied moment, hotter really need, hot hotter, hot hotter really, measure exactly point"
18,"foot tracks, insulting offered lead, mary coaxed, night occur, departure knowing, offered lead new, assure perfect safety, bed mary continued, bed mary, times night occur, letters insulting offered, letters insulting"
19,"poison, alkaloids, poisons, apparent death, poisoned, alkaloid, potion, pybus, druggist, patent, sleeping potion, apparent"
20,"confessions, english eater, confessions english, confessions english eater, eater, english, suspiria, suspiria profundis, profundis, copy confessions, london magazine, sketches"
21,"sleep, asleep, clock, sleepy, pillow, slept, interfere mother earning, interfere mother, tea sends, tea sends sleep, small wage, small wage given"
22,"dose, drops, large dose, poisoning, drops dose, trifling, grog, weak, meschini, pint, prescribed, bed entire day"
23,"poisoning, poisonous dose, poisonous, kidneys, coroner physician, fatally, autopsy, later exactly half, admits taken, grains missing medicine, half grains missing, missing medicine case"
24,"syringe, case kept, injection, taken, overdose, capsule, knew, sara, illness, hypodermic, judging, kidney cause accumulation"
25,"god, church, christian, religion, christ, growers, holy, faith, saints, sermons, world, churches"
26,"chinese, chang, chinaman, manchu, smith, chinatown, treasurer, shen yan, shen, yan, china, mandarin"
27,"sleep, slept, awake, morning, asleep, sleeping, alert, night, awoke, wake, sleep night, minutes"
28,"sleep, goeberlin, deep sleep, hilda, trafton, crushing brows unwilling, unwilling sleep strong, sleep strong, crushing brows, silverdale, unwilling sleep, young trafton"
29,"dream, dreams, visions, musset slave, alfred musset, alfred musset slave, musset, vision, ruby, alfred, heavens revealed lord, revealed lord"
30,"owen, gaza, guessed, fiend, turned maybe better, vast quantity heaped, college mistake measuring, physicians watch, grain guessed gave, guessed gave vast, began struggling johnson, fellows hardly"
31,"bottle, delicious flow spirits, zest, flow spirits comfortable, flow spirits, delicious flow, spirits comfortable, spirits comfortable nap, comfortable nap, gave knowing able, gave knowing, tartlets"
32,"bliss, evidence, witness, examination, recorder, cross examination, jury, professor, witnesses, verdict, orton, professor orton"
33,"bottle, ask pierre, suicide, vial, pierre, dressing case, belt, pierre inwardly, remarked ask, remarked ask pierre, thank god half, melted influence"
34,"drood, ought deserted, drood handsome ought, handsome ought deserted, drood alive, handsome ought, drood handsome, maggie, hour called, end half, ought deserted drood, half hour called"
35,"bottle, bottles, glass, liquid, tiny, bottle filled, filled, stopper, tied, sealed, small, vial"
36,"nicholas, nicholas carter, carter, william, dickens, classics, thomas, readings, english, suggested readings, references, grattan"
37,"china, chinese, smuggling, aubrey, lieutenant aubrey, smuggle, chinamen, missionaries, premises den, den body, den body lieutenant, raid premises den"
38,"doc, doc callers, callers, sin resumed, time let, boldly late, looking chance, lough luck, brown guv, instance boldly late, guv, guv lough"
39,"relating matter dropped, matter dropped, relating matter, gentlemen, insurance kind, right admirable, complaint arises, admit gentlemen, admirable sir, entire insurance kind, mark studied answer, insurance kind heathens"
40,"craze, heard effect, gretna foolish giggling, simile good shouldn, sought life, sought life longer, frightfully ill dear, eighty jimmies bob, emphasis delight store, emphasis delight, obtain lola, jimmies bob"
41,"drink, stupefied, maid drink, fight englishman david, inclined head, drink heard worse, david inclined, says sleep directly, judge remarked, day difficult, day difficult quite, returned car judge"
42,"grain shape followed, mind ease indefinable, limehouse dive visited, course game, times week ends, triumphed running away, game beating, game beating clients, experience intently, experience intently night, beating clients, fallen experience intently"
43,"poetry, poems, poet, poets, essays, wordsworth, verse, wrote, henley, muse, essays elia, elia"
44,"sound, sounds, room silent, clicking, voices, silence, thump, veil, murmur, rhythmic, faint, spirit sight"
45,"jasper, edwin, hag, john jasper, princess puffer, puffer, opens, princess, ned, prematurely, guardian, son jasper"
46,"peace distress, distress confirmed, giver life death, peace distress confirmed, renewed gifts, distress confirmed renewed, giver life, death peace, life death peace, confirmed renewed, death peace distress, confirmed renewed gifts"
47,"time temporally considereth, considereth, temporally considereth, temporally, antidote time temporally, time temporally, antidote time, criminals, slaves, fathers, mind notably, felt experience"
48,"margaret capel, capel, respite, cup, saw margaret, saw margaret capel, hath, margaret, lent, old heart, god hath, let thirsty"
49,"address, fellow officer, police, san francisco, francisco, san, officer, fear personal safety, ascertaining customer address, twice lodged tavistock, inform asked dismissed, vanished utterly"
50,"literary, literature, novels, preface, fiction, novel, incomplete, readers, thousand readers especially, common requires light, title page insure, time death life"
51,"got sort, instead familiar morphia, got sort bad, sort bad, looking drug occurred, marked case started, marked case, word instead, word instead familiar, possession use, possession use word, started looking drug"
52,"lantern, lamp, light, stairs, end room, candle, dark, later von, later von blon, trap whereinto, room staircase, lantern head"
53,"sloane, died, diphtheria, died poisoning, caused death, death, died diphtheria, sloane died, mabel sloane, meredith, mabel, poisoning"
54,"love, heart, deeds, arrears debt putting, forget cancel, away bars, deeds untrue, set bitter, deep arrears, deep arrears debt, cancel welcome smile, forget cancel welcome"
55,"fear, replied shudder ran, let longer, shudder ran, surely pain, hurrying grave, grave replied, let longer stand, hushed trembling, shudder ran nerves, nerves fear, longer stand"
56,"occupants lying, lying motionless, camping, noisily sucking, noisily, occupants lying motionless, crack, bedstead, sucking, occupants, cabin pestilence, fled cabin pestilence"
57,"husband, wife, married, harriet, loved husband, evidence guilt, tale awful, tale awful evidence, evidence guilt removed, awful evidence, awful evidence guilt, barmaid"
58,"tobacco, use tobacco, cigarettes, aroma, tobacco stimulant, undue use, ordinary tobacco, undue use tobacco, moy, weed, fragrant, cigarette"
