snippet_id,Book_ID,Keyword,Full_Context,topic_0,topic_1,topic_2,topic_3,dominant_topic,dominant_topic_weight
0,44,opium,"and scared you! Nothing to cry about. I’m the same old goods, only a little dented. Sit down on my coat there, and keep me company. I’ve got to lay still a bit.” Dr. Archie and Mr. Kronborg disappeared. Thea cast a timid glance after them, but she sat down resolutely and took Ray’s hand. “You ain’t scared now, are you?” he asked affectionately. “You were a regular brick to come, Thee. Did you get any breakfast?” “No, Ray, I’m not scared. Only I’m dreadful sorry you’re hurt, and I can’t help crying.” His broad, earnest face, languid from the opium and smiling with such simple happiness, reassured her. She drew nearer to him and lifted his hand to her knee. He looked at her with his clear, shallow blue eyes. How he loved everything about that face and head! How many nights in his cupola, looking up the track, he had seen that face in the darkness; through the sleet and snow, or in the soft blue air when the moonlight slept on the desert. “You needn’t bother to talk, Thee. The doctor’s medicine makes me sort of dopey. But it’s nice to have company. Kind of cozy, don’t you",0.0031515337054899635,0.0030792077627824883,0.9792299947443839,0.014539263787343755,2,0.9792299947443839
1,119,paregoric,"Artist 1 Latinist TRANSPORTATION, ETC. 27 Porters 3 Coarse Washers and Ironers 44 Mules 1 Fine ditto 44 Muleteers 7 Cows 2 Milkers Total, 154 men, 51 animals. Grand Total, 205. RATIONS, ETC. APPARATUS 16 Cases Hams 25 Spring Mattresses 2 Barrels Flour 2 Hair ditto 22 Barrels Whiskey Bedding for same 1 Barrel Sugar 2 Mosquito-nets 1 Keg Lemons 29 Tents 2,000 Cigars Scientific Instruments 1 Barrel Pies 97 Ice-axes 1 Ton of Pemmican 5 Cases Dynamite 143 Pair Crutches 7 Cans Nitroglycerin 2 Barrels Arnica 22 40-foot Ladders 1 Bale of Lint 2 Miles of Rope 27 Kegs Paregoric 154 Umbrellas It was full four o'clock in the afternoon before my cavalcade was entirely ready. At that hour it began to move. In point of numbers and spectacular effect, it was the most imposing expedition that had ever marched from Zermatt. I commanded the chief guide to arrange the men and animals in single file, twelve feet apart, and lash them all together on a strong rope. He objected that the first two miles was a dead level, with plenty of room, and that the rope was never used except in very dangerous places. But I would not listen",0.004419972655305594,0.2091286241011641,0.5616481990548357,0.22480320418869457,2,0.5616481990548357
2,119,paregoric,"us for quite a siege--and did they suppose Zermatt would allow half a mile of men and mules to mysteriously disappear during any considerable time, right above their noses, and make no inquiries? No, Zermatt would send out searching-expeditions and we should be saved. This speech had a great effect. The men pitched the tents with some little show of cheerfulness, and we were snugly under cover when the night shut down. I now reaped the reward of my wisdom in providing one article which is not mentioned in any book of Alpine adventure but this. I refer to the paregoric . But for that beneficent drug, would have not one of those men slept a moment during that fearful night. But for that gentle persuader they must have tossed, unsoothed, the night through; for the whiskey was for me. Yes, they would have risen in the morning unfitted for their heavy task. As it was, everybody slept but my agent and me--only we and the barkeepers. I would not permit myself to sleep at such a time. I considered myself responsible for all those lives. I meant to be on hand and ready, in case of avalanches up there, but",0.003996533761690241,0.06408797272738037,0.9278439421469934,0.004071551363935945,2,0.9278439421469934
3,119,paregoric,"that a cow would naturally know more than a guide, he took her by the tail, and the result justified his judgment. She nibbled her leisurely way downhill till it was near milking-time, then she struck for home and towed him into Zermatt. CHAPTER XXXVIII [I Conquer the Gorner Grat] We went into camp on that wild spot to which that ram had brought us. The men were greatly fatigued. Their conviction that we were lost was forgotten in the cheer of a good supper, and before the reaction had a chance to set in, I loaded them up with paregoric and put them to bed. Next morning I was considering in my mind our desperate situation and trying to think of a remedy, when Harris came to me with a Baedeker map which showed conclusively that the mountain we were on was still in Switzerland--yes, every part of it was in Switzerland. So we were not lost, after all. This was an immense relief; it lifted the weight of two such mountains from my breast. I immediately had the news disseminated and the map was exhibited. The effect was wonderful. As soon as the men saw with their own eyes",0.051733282743828025,0.17290044008842295,0.7712432432897435,0.004123033878005695,2,0.7712432432897435
4,119,paregoric,"estimate of the elevation of the several localities above sea-level is pretty correct--for Baedeker. He only misses it about a hundred and eighty or ninety thousand feet. I found my arnica invaluable. My men were suffering excruciatingly, from the friction of sitting down so much. During two or three days, not one of them was able to do more than lie down or walk about; yet so effective was the arnica, that on the fourth all were able to sit up. I consider that, more than to anything else, I owe the success of our great undertaking to arnica and paregoric . My men are being restored to health and strength, my main perplexity, now, was how to get them down the mountain again. I was not willing to expose the brave fellows to the perils, fatigues, and hardships of that fearful route again if it could be helped. First I thought of balloons; but, of course, I had to give that idea up, for balloons were not procurable. I thought of several other expedients, but upon consideration discarded them, for cause. But at last I hit it. I was aware that the movement of glaciers is an established fact, for",0.005889836714570954,0.14419214490265242,0.8439709698595677,0.005947048523209,2,0.8439709698595677
5,133,opium,"light, he inscribed some notes in his book, put it back in his pocket, and came out. In answer to Theron's marvelling stare, he pointed toward a pipe of odd construction lying on the floor beneath the sleeper. “This is one of my regular afternoon duties,” he explained, again with the whimsical half-smile. “I am increasing his dose monthly by regular stages, and the results promise to be rather remarkable. Heretofore, observations have been made mostly on diseased or morbidly deteriorated subjects. This fellow of mine is strong as an ox, perfectly nourished, and watched over intelligently. He can assimilate opium enough to kill you and me and every other vertebrate creature on the premises, without turning a hair, and he hasn't got even fairly under way yet.” The thing was unpleasant, and the young minister turned away. They walked together up the path toward the house. His mind was full now of the hostile things which Celia had said about the doctor. He had vaguely sympathized with her then, upon no special knowledge of his own. Now he felt that his sentiments were vehemently in accord with hers. The doctor WAS a beast. And yet--as they moved slowly along through",0.0039025041416544596,0.0038992902007600042,0.9582993263145162,0.03389887934306942,2,0.9582993263145162
6,139,opium,"crag. Behind it all, a blue tropical sky. A thin green line of vegetation fringed the summit of the ruddy cliff. ""Well?"" he asked. ""It is no doubt a curious formation,"" said I ""but I am not geologist enough to say that it is wonderful."" ""Wonderful!"" he repeated. ""It is unique. It is incredible. No one on earth has ever dreamed of such a possibility. Now the next."" I turned it over, and gave an exclamation of surprise. There was a full-page picture of the most extraordinary creature that I had ever seen. It was the wild dream of an opium smoker, a vision of delirium. The head was like that of a fowl, the body that of a bloated lizard, the trailing tail was furnished with upward-turned spikes, and the curved back was edged with a high serrated fringe, which looked like a dozen cocks' wattles placed behind each other. In front of this creature was an absurd mannikin, or dwarf, in human form, who stood staring at it. ""Well, what do you think of that?"" cried the Professor, rubbing his hands with an air of triumph. ""It is monstrous--grotesque."" ""But what made him draw such an animal?"" ""Trade gin,",0.004376468263552838,0.004422683660280194,0.9867534725499231,0.004447375526243937,2,0.9867534725499231
7,140,opium,"who had no legs, and pushed themselves upon a wheeled platform—some who had been favored with blindness, and were led by pretty little dogs. Some less fortunate had mutilated themselves or burned themselves, or had brought horrible sores upon themselves with chemicals; you might suddenly encounter upon the street a man holding out to you a finger rotting and discolored with gangrene—or one with livid scarlet wounds half escaped from their filthy bandages. These desperate ones were the dregs of the city’s cesspools, wretches who hid at night in the rain-soaked cellars of old ramshackle tenements, in “stale-beer dives” and opium joints, with abandoned women in the last stages of the harlot’s progress—women who had been kept by Chinamen and turned away at last to die. Every day the police net would drag hundreds of them off the streets, and in the detention hospital you might see them, herded together in a miniature inferno, with hideous, beastly faces, bloated and leprous with disease, laughing, shouting, screaming in all stages of drunkenness, barking like dogs, gibbering like apes, raving and tearing themselves in delirium. CHAPTER XXIV In the face of all his handicaps, Jurgis was obliged to make the price of a",0.027436846161702354,0.08402182570766452,0.8851448975314751,0.0033964305991580875,2,0.8851448975314751
8,140,morphine,"took Jurgis upstairs to her room, and they sat and talked. By daylight, Jurgis was able to observe that the color on her cheeks was not the old natural one of abounding health; her complexion was in reality a parchment yellow, and there were black rings under her eyes. “Have you been sick?” he asked. “Sick?” she said. “Hell!” (Marija had learned to scatter her conversation with as many oaths as a longshoreman or a mule driver.) “How can I ever be anything but sick, at this life?” She fell silent for a moment, staring ahead of her gloomily. “It’s morphine ,” she said, at last. “I seem to take more of it every day.” “What’s that for?” he asked. “It’s the way of it; I don’t know why. If it isn’t that, it’s drink. If the girls didn’t booze they couldn’t stand it any time at all. And the madame always gives them dope when they first come, and they learn to like it; or else they take it for headaches and such things, and get the habit that way. I’ve got it, I know; I’ve tried to quit, but I never will while I’m here.” “How long are you",0.03795808824739774,0.0041544320594094014,0.9537115603460167,0.004175919347176209,2,0.9537115603460167
9,145,opium,"one hand it must have the utmost play for its spontaneity; on the other, it may confidently await those messages from the universe which summon it to its peculiar work, only placing itself in an attitude of receptivity towards all sublime chances. The attitudes of receptivity are various, and Will had sincerely tried many of them. He was not excessively fond of wine, but he had several times taken too much, simply as an experiment in that form of ecstasy; he had fasted till he was faint, and then supped on lobster; he had made himself ill with doses of opium . Nothing greatly original had resulted from these measures; and the effects of the opium had convinced him that there was an entire dissimilarity between his constitution and De Quincey’s. The superadded circumstance which would evolve the genius had not yet come; the universe had not yet beckoned. Even Caesar’s fortune at one time was but a grand presentiment. We know what a masquerade all development is, and what effective shapes may be disguised in helpless embryos. In fact, the world is full of hopeful analogies and handsome dubious eggs called possibilities. Will saw clearly enough the pitiable instances of",0.00435918181661971,0.08284638518405767,0.3327881761035852,0.5800062568957375,3,0.5800062568957375
