model_group,bertopic_topic,n_documents,mean_probability,n_books,top_terms
context_leaf_mcs80_ms1_nn12,-1,8344,0.0,1968,"room, eyes, good, house, woman, great, away, face, hand, saw, death, small"
context_leaf_mcs80_ms1_nn12,0,843,0.7293542344804984,356,"habit, smoking, drug, eater, doc, drink, smoker, taking, use, money, gave, pipe"
context_leaf_mcs80_ms1_nn12,1,477,0.9281746873576624,326,"truth, kai lung, power, kai, story, misery, lung, nature, bitter, meant, sense, mind"
context_leaf_mcs80_ms1_nn12,2,439,0.9043353701889814,313,"dream, god, fear, art, church, spiritual, mind, love, religion, christ, misery, faith"
context_leaf_mcs80_ms1_nn12,3,344,0.8302545383160447,174,"bottle, dose, drops, doctor, chemist, pint, weak, vial, phial, spirits, poured, taken"
context_leaf_mcs80_ms1_nn12,4,335,0.8611520322065103,237,"face, door, eyes, chair, head, clothes, flung, wore, floor, open, hat, foot"
context_leaf_mcs80_ms1_nn12,5,327,0.7805481932645525,204,"doctor, physician, fever, ill, patient, surgeon, symptoms, medical, morrhage, hospital, wounds, stomach"
context_leaf_mcs80_ms1_nn12,6,311,0.6742723872066704,197,"rita, gretna, mollie, mollie gretna, insane, husband, eater, pipe, wild, smoked, poppies, surely rita pipe"
context_leaf_mcs80_ms1_nn12,7,305,0.6831356568242101,104,"diphtheria, died, sloane, death, caused death, caused, illness, mabel, died poisoning, taken, disease, dose"
context_leaf_mcs80_ms1_nn12,8,302,0.8143256262853201,180,"poetry, poems, literary, book, poet, prose, literature, poets, genius, wrote, essays, keats"
context_leaf_mcs80_ms1_nn12,9,300,0.9128165065790558,238,"sound, trees, atmosphere, forest, air, sea, blue, sky, summer, hills, sun, bee"
context_leaf_mcs80_ms1_nn12,10,277,0.857860030270798,186,"drink, wine, brandy, poison, drunk, drinking, cup, alcohol, coffee, ale, water, poisons"
context_leaf_mcs80_ms1_nn12,11,258,0.9065739310958667,143,"eaters, use, years, possible, time temporally, reactions disgust, leaving works unfinished, leaving works, unfinished suffering reactions, observed eaters, unfinished suffering, time temporally considereth"
context_leaf_mcs80_ms1_nn12,12,257,0.7391583779324051,159,"captain, ship, colonel, schooner, ships, skipper, island, mutiny, vessel, sailor, boat, deck"
context_leaf_mcs80_ms1_nn12,13,231,0.7787080850532115,196,"stimulant, powerful, drug, effects, effect, sleep, influence, practise, stimulants, began, administered, influence sufficiently"
context_leaf_mcs80_ms1_nn12,14,212,0.8363925415861827,89,"bliss, evidence, witness, examination, case, recorder, cross examination, professor, witnesses, occur, verdict, expert"
context_leaf_mcs80_ms1_nn12,15,210,0.8994886304365638,136,"admit, assure, doubt, certina, true got, resign let, self murder honourable, assumed admit, true got awfully, upheld felt, life morally equally, life morally"
context_leaf_mcs80_ms1_nn12,16,190,0.9628590620127241,159,"pain, sorrow, healing, prove, suffering, grateful, winter peace, winter peace village, falls apple, apple bleeds vine, village enveloping, suffering grateful unless"
context_leaf_mcs80_ms1_nn12,17,184,0.8786603190950559,115,"smell, odour, fumes, bowl, pipe, lamp, odor, heavy, incense, room, den, shop"
context_leaf_mcs80_ms1_nn12,18,168,0.8048349477818404,47,"coleridge, wordsworth, southey, sqq, gillman, cottle, wordsworth coleridge, coleridge wordsworth, lamb, coleridge coleridge, coleridge habit, contributions"
