n_topics,perplexity,log_likelihood
2,6002.71655001634,-3217682.9443997717
3,6337.664219802791,-3237765.1173507012
4,6657.192412892557,-3255957.134592904
5,6940.180175342,-3271353.95310836
6,7117.992888533803,-3280710.4376253514
7,7287.939348369411,-3289437.066791977
8,7449.353883584896,-3297539.1724264086
9,7568.0040201508145,-3303383.5648198198
10,7671.901879945637,-3308426.538056812
11,7789.344677376431,-3314045.3675474036
12,7954.3164423104245,-3321796.6828372846
13,8075.769190020788,-3327401.1642253525
14,8128.282387558864,-3329798.3516213116
15,8257.514304924078,-3335632.3573255013
16,8414.805184069997,-3342611.0812771088
17,8468.161500683136,-3344948.81015712
18,8575.443955185727,-3349604.9775339947
19,8710.153736974664,-3355369.7098101033
